Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
V350082740_L01_100-100_1	35.6004	35.2834	35.236	35.2855	35.4004	35.4646	35.4252	35.4661	35.2253	35.2894	35.2482	35.2215	35.3427	35.3956	35.3265	35.246	35.2409	35.3014	35.2107	35.2219	34.9737	35.3644	35.1088	35.2945	35.2059	35.34	34.9797	35.3543	35.2072	35.1525	35.1115	35.1405	35.2507	34.9557	35.3138	35.2242	35.2644	35.0445	35.252	35.0758	35.198	35.2101	35.0475	35.1681	35.0742	34.9843	35.0346	35.0399	35.1029	35.2651	35.0279	35.047	35.148	35.0682	35.0901	35.1588	34.8915	35.1816	34.8339	35.015	35.1	35.0838	35.0088	35.0102	34.9588	35.0139	35.0651	35.069	34.9753	34.842	34.9073	34.9129	34.9584	34.9176	34.899	34.8973	34.9028	34.8958	34.8552	34.82	34.8144	34.8363	34.9059	34.7578	34.7548	34.7487	34.7724	34.7585	34.7143	34.688	34.6822	34.7041	34.773	34.7495	34.6395	34.6103	34.6719	34.6817	34.7303	34.6681
V350082740_L01_101-101_1	35.4477	35.1119	34.9257	35.0015	35.081	35.1601	35.1119	35.129	34.8608	34.9486	34.8992	34.8745	34.9967	35.0512	34.967	34.8618	34.874	34.9045	34.8243	34.8433	34.5511	34.9896	34.7103	34.9258	34.82	34.9519	34.5505	34.9848	34.8148	34.7507	34.7025	34.7507	34.8701	34.5126	34.923	34.8173	34.8704	34.6338	34.8632	34.6413	34.793	34.7954	34.6318	34.7737	34.6353	34.5474	34.603	34.6128	34.6816	34.8788	34.5899	34.6488	34.7244	34.6538	34.6804	34.7625	34.4495	34.7794	34.3866	34.5937	34.6816	34.6611	34.5826	34.5755	34.5418	34.5684	34.6476	34.6423	34.5461	34.396	34.4716	34.4528	34.5212	34.4655	34.4419	34.4408	34.4556	34.4491	34.4023	34.3809	34.3533	34.3731	34.4437	34.2843	34.2761	34.2737	34.3014	34.3039	34.2448	34.2095	34.2069	34.2151	34.2917	34.2719	34.1461	34.1287	34.1915	34.1952	34.26	34.1932
V350082740_L01_102-102_1	36.1408	34.652	33.5918	33.3986	33.1343	32.9021	32.6901	32.5006	32.0663	32.097	32.0257	31.8449	31.7018	31.8516	31.9294	31.3626	31.1135	31.5455	31.1217	30.6967	30.1621	31.0348	30.2762	30.5268	30.4374	30.9606	30.1699	30.7887	30.5148	30.4815	30.52	30.4439	30.4165	30.1493	30.7017	30.5243	30.3975	30.2817	30.5897	30.2406	30.3588	30.364	30.0767	30.0395	30.0663	29.5979	30.0857	29.6911	29.8262	29.7557	29.7584	29.3042	29.9391	29.7764	29.2973	29.3882	28.7536	29.7312	29.0472	29.0651	29.3911	29.4693	29.2241	29.2547	28.8794	29.2898	29.1614	29.4164	29.0843	29.0626	29.0507	29.2886	29.0261	29.2185	28.895	29.0995	29.0292	28.8753	28.9671	28.9682	28.9461	29.067	29.1093	28.9864	29.0564	28.8643	29.0941	28.9488	28.7363	28.9106	28.7901	28.948	29.0032	29.0547	28.7573	28.9264	28.8332	28.9333	28.9844	28.8299
V350082740_L01_103-103_1	35.533	35.1768	35.0304	35.0747	35.1721	35.2338	35.1819	35.2181	34.9543	35.02	34.9768	34.9488	35.0736	35.1387	35.0651	34.9592	34.9542	35.0146	34.9128	34.9263	34.6497	35.0829	34.7995	35.0008	34.9087	35.0524	34.6547	35.0684	34.8998	34.841	34.7938	34.829	34.9515	34.6258	35.0208	34.9223	34.965	34.7338	34.9562	34.753	34.8879	34.8974	34.7239	34.8593	34.7473	34.6534	34.7071	34.7082	34.7798	34.9564	34.6937	34.7207	34.827	34.7418	34.7615	34.8394	34.5399	34.8555	34.4831	34.6714	34.7612	34.7432	34.6611	34.6611	34.6073	34.6611	34.7207	34.7237	34.6184	34.4868	34.5557	34.5444	34.5941	34.551	34.5305	34.5288	34.5369	34.5135	34.4768	34.4548	34.4357	34.4598	34.5356	34.3675	34.3691	34.3583	34.3988	34.3778	34.3231	34.2903	34.2743	34.3026	34.384	34.3554	34.2272	34.206	34.2611	34.2744	34.3289	34.2592
V350082740_L01_104-104_1	35.5551	35.2554	35.1794	35.2384	35.3456	35.4137	35.3738	35.4153	35.1728	35.2395	35.1985	35.1736	35.2988	35.3504	35.2832	35.1848	35.1904	35.2477	35.1588	35.1748	34.922	35.3156	35.0619	35.2464	35.1611	35.2928	34.9295	35.3074	35.1622	35.1077	35.0626	35.0978	35.2055	34.9085	35.2707	35.1817	35.221	35.0009	35.2114	35.0312	35.1531	35.1642	35.0039	35.1247	35.0338	34.9462	34.9916	35.0011	35.0652	35.2265	34.9881	35.0093	35.11	35.0278	35.0517	35.1169	34.8541	35.1386	34.7977	34.9735	35.0614	35.0421	34.9688	34.9762	34.9229	34.9781	35.0238	35.0282	34.9341	34.8023	34.8693	34.8754	34.9192	34.8795	34.8632	34.8605	34.8621	34.8609	34.8204	34.7838	34.7807	34.8035	34.876	34.7207	34.7215	34.7142	34.739	34.7243	34.6802	34.6531	34.6465	34.6682	34.7418	34.7169	34.6018	34.5771	34.6315	34.6447	34.695	34.6324
V350082740_L01_11-11_1	35.4986	34.9149	35.3792	35.583	35.6199	35.5566	35.5517	35.5624	35.3666	35.4042	35.4861	35.3188	35.4823	35.6248	35.6536	35.3759	35.3839	35.4499	35.3133	35.2563	35.2873	35.5006	35.3225	35.5399	35.3198	35.6757	35.3487	35.6545	35.4823	35.3689	35.2963	35.2799	35.5493	35.3845	35.5824	35.4781	35.566	35.4321	35.6398	35.306	35.4243	35.5176	35.3356	35.4787	35.2892	35.3579	35.3702	35.399	35.2269	35.5582	35.3193	35.2827	35.481	35.2319	35.1586	35.3555	35.4728	35.5294	35.3303	35.309	35.4453	35.2747	35.3071	35.405	35.2272	35.3516	35.358	35.5394	35.4744	34.9374	34.9319	35.3696	35.2259	34.8465	35.1711	35.3674	35.1492	35.1664	35.2206	35.0485	35.2418	35.3465	35.2531	35.1206	35.3587	35.0496	35.0416	35.0101	34.994	35.0626	35.2083	35.0482	35.0893	34.89	35.1284	34.9932	35.1363	35.0236	34.9931	35.0994
V350082740_L01_12-12_1	35.309	34.7042	35.2517	35.474	35.5213	35.4005	35.4675	35.48	35.294	35.331	35.366	35.2144	35.3375	35.5015	35.5549	35.2144	35.2835	35.3658	35.2404	35.1828	35.2339	35.4152	35.222	35.4465	35.2299	35.5931	35.2969	35.5582	35.4183	35.3126	35.2029	35.1686	35.4739	35.3115	35.4692	35.3876	35.4731	35.4133	35.5505	35.2673	35.3788	35.4435	35.1896	35.3885	35.2182	35.3249	35.2963	35.3596	35.2309	35.5231	35.238	35.2118	35.4126	35.22	35.1507	35.2826	35.3923	35.4358	35.3079	35.3055	35.3616	35.2227	35.2625	35.3421	35.2042	35.304	35.2443	35.4292	35.3995	34.9582	34.9327	35.332	35.2236	34.8389	35.0707	35.2932	35.1363	35.141	35.202	34.9971	35.2098	35.283	35.2228	35.0912	35.28	34.9939	35.0043	34.9828	34.9686	34.9878	35.1376	34.9769	35.1077	34.8504	35.0542	35.0203	35.093	35.0425	34.9884	35.0219
V350082740_L01_13-13_1	35.463	34.847	35.3144	35.524	35.5359	35.4105	35.4081	35.4181	35.2701	35.2321	35.2963	35.1025	35.319	35.4466	35.5119	35.2007	35.219	35.2829	35.0862	35.0428	35.1108	35.3057	35.1567	35.3449	35.0938	35.5082	35.128	35.4731	35.3003	35.1873	35.1406	35.0513	35.3649	35.1732	35.4266	35.2992	35.4191	35.3397	35.4749	35.1226	35.2874	35.3517	35.1282	35.2772	35.0801	35.1873	35.1653	35.1805	35.0404	35.3986	35.1256	35.08	35.294	35.0175	34.9562	35.1451	35.2426	35.3255	35.087	35.0898	35.2255	35.0659	35.0584	35.1566	34.9691	35.1022	35.1062	35.2932	35.2509	34.6873	34.6865	35.1354	34.9665	34.5725	34.8943	35.1244	34.906	34.9207	34.9712	34.7741	34.9442	35.0431	34.9782	34.871	35.1245	34.7538	34.7688	34.6966	34.6885	34.76	34.9132	34.7662	34.8319	34.538	34.7946	34.7339	34.8859	34.7332	34.7151	34.7868
V350082740_L01_14-14_1	35.4474	34.9292	35.3655	35.5953	35.6087	35.5207	35.5411	35.5396	35.3772	35.4375	35.4372	35.2787	35.3658	35.5426	35.5731	35.2804	35.2848	35.4233	35.2892	35.3096	35.2184	35.4347	35.2332	35.4123	35.2299	35.6705	35.3528	35.6353	35.4107	35.3469	35.205	35.1778	35.4065	35.28	35.5153	35.3462	35.4858	35.4039	35.6043	35.2593	35.4354	35.4998	35.3403	35.4781	35.3142	35.3902	35.348	35.396	35.3739	35.6348	35.3226	35.26	35.4302	35.2809	35.1702	35.3238	35.413	35.538	35.3601	35.2659	35.4297	35.2257	35.2991	35.2877	35.2437	35.2911	35.2752	35.4459	35.4904	35.0211	35.013	35.3298	35.1465	34.8632	35.0893	35.3377	35.1192	35.1569	35.2601	34.97	35.2428	35.297	35.2365	35.1308	35.2325	35.0227	35.0002	35.0136	34.8588	35.0738	35.223	35.1542	35.1244	34.8639	35.1272	34.9435	35.0098	34.9334	35.0251	35.0926
V350082740_L01_15-15_1	35.456	34.7917	35.2646	35.4961	35.5299	35.4139	35.4089	35.411	35.2355	35.2532	35.2978	35.1346	35.2839	35.4418	35.5055	35.1798	35.1804	35.2759	35.1692	35.0734	35.0874	35.298	35.1303	35.3576	35.0814	35.5162	35.2092	35.5138	35.2752	35.1993	35.1035	35.0757	35.4046	35.1886	35.388	35.2784	35.3867	35.3134	35.4908	35.111	35.295	35.3333	35.0693	35.2589	35.0845	35.1723	35.1185	35.2409	35.056	35.383	35.0898	35.0551	35.3173	35.0547	34.9722	35.1691	35.3058	35.3507	35.095	35.0803	35.2258	35.0403	35.0991	35.1747	35.0046	35.1113	35.0576	35.3355	35.2874	34.7429	34.7105	35.1301	35.0083	34.5472	34.8905	35.1132	34.9606	34.9216	34.9553	34.7487	34.9758	35.0469	34.9621	34.8397	35.1473	34.7588	34.7666	34.7238	34.6777	34.7808	34.8853	34.7277	34.8069	34.5536	34.8339	34.7216	34.8363	34.7063	34.7192	34.79
