Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
V350082740_L01_100-100_1	35.3153	35.0037	35.1208	35.0895	34.9996	35.0186	35.0427	35.1199	35.1011	35.0906	35.0024	34.9778	35.1487	35.0618	34.9415	35.0229	34.9931	35.1048	35.0687	35.0602	34.9214	34.9652	34.9931	34.9861	34.9635	35.103	34.9109	35.0002	35.019	34.9784	34.9415	34.8616	35.1546	34.9328	35.0303	35.0932	35.0992	34.9608	35.0148	35.0293	35.1166	34.9016	35.0814	35.0507	34.8681	34.9807	34.9274	34.9909	34.9824	34.8611	35.0057	34.7583	34.8818	34.908	34.9234	34.7342	34.8592	34.6773	34.8693	34.6438	34.7579	34.7029	34.7761	34.7373	34.75	34.8532	34.6715	34.6646	34.6709	34.6495	34.5273	34.7824	34.5918	34.7269	34.6369	34.5518	34.6175	34.5769	34.517	34.6069	34.5004	34.6341	34.4534	34.4907	34.5115	34.467	34.3741	34.3137	34.4009	34.3201	34.3644	34.3348	34.2942	34.2697	34.2064	34.1517	34.0786	33.9902	34.0207	34.1102
V350082740_L01_101-101_1	35.5951	35.3083	35.4101	35.4022	35.3245	35.3398	35.3617	35.4243	35.4117	35.3978	35.3257	35.2944	35.4519	35.3733	35.267	35.3513	35.3222	35.4307	35.3985	35.3886	35.2657	35.296	35.3273	35.3191	35.3009	35.4246	35.2521	35.3394	35.3612	35.3153	35.2753	35.1893	35.4734	35.2675	35.3517	35.4219	35.4227	35.2988	35.3477	35.3613	35.4371	35.239	35.405	35.38	35.2157	35.3253	35.276	35.3183	35.331	35.2071	35.3506	35.1273	35.2328	35.2679	35.278	35.106	35.2222	35.0532	35.2298	35.0083	35.1282	35.0794	35.1469	35.1072	35.1179	35.2107	35.0551	35.0488	35.0447	35.0259	34.9053	35.1399	34.9699	35.1027	35.0173	34.9396	35.0032	34.9668	34.9127	34.9868	34.8878	35.0198	34.8592	34.8858	34.9116	34.8713	34.7868	34.7327	34.8108	34.7288	34.7698	34.7392	34.7058	34.6858	34.6307	34.5818	34.5214	34.4294	34.4475	34.5316
V350082740_L01_102-102_1	35.9902	35.7092	35.825	35.7956	35.7626	35.7543	35.7855	35.8367	35.827	35.7922	35.7418	35.724	35.8612	35.7751	35.6617	35.7765	35.7341	35.8365	35.8076	35.8002	35.6788	35.712	35.7461	35.7274	35.7427	35.8263	35.6962	35.7565	35.7783	35.723	35.7018	35.6392	35.8662	35.7041	35.7855	35.8371	35.8376	35.7182	35.772	35.7868	35.8424	35.669	35.8178	35.7915	35.6639	35.7442	35.7094	35.7471	35.752	35.6494	35.7589	35.5825	35.6676	35.6953	35.6925	35.5529	35.6452	35.5065	35.6519	35.4527	35.5616	35.5179	35.5734	35.5491	35.5438	35.619	35.4921	35.4841	35.492	35.4644	35.3558	35.5649	35.4134	35.5189	35.4456	35.3687	35.4226	35.4004	35.3562	35.4	35.3195	35.4224	35.2892	35.3222	35.3215	35.2942	35.2029	35.1616	35.2316	35.1429	35.2003	35.1662	35.1374	35.1111	35.0495	34.9946	34.952	34.8501	34.8963	34.9495
V350082740_L01_103-103_1	35.3222	35.0281	35.1379	35.0968	35.0106	35.0376	35.0588	35.1298	35.1163	35.1123	35.0169	34.9912	35.1617	35.0822	34.9674	35.0433	35.0067	35.1216	35.0851	35.0805	34.9467	34.992	35.0137	35.0068	34.9837	35.126	34.9257	35.0265	35.0395	35.0078	34.9539	34.8818	35.1772	34.9524	35.0355	35.113	35.1191	34.9765	35.0337	35.0489	35.1389	34.9164	35.0947	35.066	34.8829	35.0103	34.9556	35.0168	35.0082	34.8731	35.0348	34.7892	34.901	34.9388	34.9537	34.7548	34.8894	34.7067	34.9032	34.6675	34.7881	34.7327	34.8116	34.7639	34.7844	34.8918	34.7069	34.6985	34.7003	34.6818	34.564	34.807	34.6219	34.767	34.6682	34.6021	34.6668	34.6174	34.5602	34.6469	34.5385	34.682	34.501	34.5419	34.5658	34.5111	34.4318	34.364	34.4579	34.3759	34.4111	34.3831	34.352	34.3339	34.2727	34.2202	34.1489	34.0529	34.071	34.1707
V350082740_L01_104-104_1	35.2997	35.0161	35.1174	35.0923	34.9973	35.0236	35.0462	35.1168	35.0993	35.1021	35.0152	34.9832	35.1535	35.0746	34.9646	35.0307	35.0123	35.1151	35.082	35.0765	34.9436	34.984	35.0152	35.0104	34.9815	35.1249	34.9282	35.026	35.0429	35.0106	34.964	34.8887	35.1793	34.953	35.0495	35.1197	35.1197	34.9928	35.0437	35.0566	35.1379	34.9315	35.1099	35.0816	34.902	35.0168	34.9626	35.0261	35.0194	34.8955	35.0488	34.8015	34.9143	34.955	34.976	34.7834	34.9074	34.7301	34.9263	34.6972	34.8136	34.7618	34.8321	34.7957	34.8145	34.9161	34.7418	34.7365	34.7346	34.7171	34.5997	34.8468	34.6613	34.799	34.7108	34.6413	34.7026	34.6605	34.5989	34.6937	34.5851	34.7231	34.5468	34.5826	34.6088	34.5634	34.4829	34.4172	34.5049	34.4254	34.4643	34.4367	34.4035	34.384	34.3281	34.2781	34.2025	34.1212	34.1357	34.2329
V350082740_L01_11-11_1	35.7596	35.3709	35.6723	35.5665	35.636	35.3687	35.7179	35.6667	35.847	35.6445	35.5257	35.6792	35.6986	35.5584	35.4779	35.8171	35.5642	35.6391	35.52	35.6863	35.5694	35.6542	35.6327	35.4473	35.7499	35.7157	35.6829	35.6408	35.6179	35.6215	35.6094	35.5988	35.6882	35.7301	35.7453	35.7817	35.8323	35.6749	35.7621	35.8174	35.7908	35.7618	35.821	35.654	35.7689	35.7116	35.7016	35.7378	35.7341	35.7434	35.783	35.7218	35.7296	35.8379	35.7167	35.7132	35.6443	35.6623	35.7706	35.5871	35.6803	35.743	35.7227	35.7007	35.5797	35.7149	35.6379	35.6646	35.6906	35.6087	35.5925	35.7439	35.6477	35.6844	35.6193	35.6337	35.633	35.6086	35.7437	35.5499	35.508	35.4619	35.5621	35.5282	35.3211	35.4387	35.4645	35.4338	35.4673	35.4693	35.372	35.5753	35.3812	35.0996	35.4049	35.2914	35.3528	35.4321	35.3308	35.2002
V350082740_L01_12-12_1	35.332	34.9169	35.3089	35.1582	35.245	34.8816	35.3579	35.3065	35.484	35.2544	35.1127	35.2785	35.3129	35.1475	35.0606	35.4707	35.1591	35.2476	35.1392	35.2951	35.1733	35.2725	35.2607	35.0103	35.3676	35.3441	35.2845	35.256	35.1748	35.2445	35.188	35.1539	35.2922	35.3576	35.3636	35.4312	35.4673	35.2971	35.4288	35.4464	35.4283	35.4161	35.4928	35.3038	35.4382	35.3367	35.3121	35.3608	35.3482	35.3895	35.4157	35.3372	35.3408	35.5112	35.3819	35.3382	35.2397	35.2916	35.3743	35.1303	35.2868	35.3529	35.3518	35.2487	35.1687	35.3799	35.242	35.2936	35.2999	35.2473	35.1733	35.4048	35.2806	35.3408	35.2427	35.242	35.2195	35.2175	35.3312	35.1686	35.066	35.0314	35.1635	35.0905	34.886	35.0337	35.0401	35.0034	35.0497	35.0778	34.9662	35.1757	34.9184	34.6455	34.9968	34.8204	34.8791	34.9884	34.928	34.8278
V350082740_L01_13-13_1	35.3938	34.9481	35.3318	35.2001	35.2835	34.9624	35.4019	35.3219	35.5555	35.2989	35.1341	35.3236	35.3511	35.1821	35.0771	35.5138	35.2001	35.2807	35.1671	35.3081	35.1964	35.3286	35.2669	35.0584	35.4028	35.3614	35.3351	35.2684	35.2274	35.2809	35.2142	35.2577	35.3344	35.3984	35.4263	35.4732	35.5174	35.3753	35.4663	35.4822	35.4822	35.4451	35.5483	35.3845	35.4843	35.402	35.3858	35.3809	35.4195	35.4327	35.4679	35.3777	35.3948	35.5617	35.4241	35.3872	35.3045	35.3159	35.438	35.2205	35.3348	35.4194	35.397	35.3994	35.206	35.396	35.3239	35.3147	35.3833	35.3106	35.2809	35.4381	35.3087	35.3769	35.2978	35.279	35.3253	35.2881	35.4233	35.2155	35.1274	35.1082	35.2591	35.1664	34.999	35.1289	35.1033	35.0597	35.1433	35.1774	35.0325	35.2602	35.0634	34.7151	35.0512	34.9682	34.9806	35.0789	34.9986	34.9328
V350082740_L01_14-14_1	35.7567	35.3425	35.707	35.5617	35.6149	35.3846	35.7432	35.7248	35.8519	35.637	35.5134	35.6138	35.6239	35.5424	35.5324	35.8094	35.5455	35.603	35.5629	35.5942	35.5988	35.6288	35.6511	35.3615	35.7578	35.5889	35.6694	35.6493	35.5823	35.6811	35.6077	35.5364	35.7226	35.6896	35.717	35.8066	35.8527	35.7091	35.7328	35.8049	35.819	35.7866	35.8443	35.7294	35.7708	35.7074	35.713	35.786	35.745	35.7175	35.8003	35.6828	35.6815	35.9219	35.731	35.7622	35.6972	35.7332	35.7617	35.6161	35.7464	35.7402	35.7429	35.6859	35.5873	35.7137	35.6414	35.6683	35.7299	35.6947	35.5795	35.7827	35.6534	35.7464	35.66	35.606	35.5869	35.6717	35.6325	35.5447	35.538	35.4942	35.6093	35.5349	35.4185	35.5573	35.4746	35.4274	35.5075	35.5308	35.4048	35.5459	35.3439	35.1333	35.4279	35.2155	35.4173	35.4061	35.4201	35.3008
V350082740_L01_15-15_1	35.6322	35.221	35.5442	35.4389	35.5232	35.2395	35.621	35.5437	35.7348	35.522	35.4018	35.5339	35.5613	35.4338	35.3524	35.7268	35.4718	35.5276	35.4292	35.5836	35.4622	35.5486	35.5657	35.3073	35.6427	35.6212	35.5271	35.4979	35.4637	35.5165	35.4603	35.4533	35.5626	35.5986	35.6352	35.6799	35.7184	35.5716	35.6818	35.7178	35.7095	35.643	35.7037	35.5863	35.6715	35.6037	35.5528	35.6226	35.6346	35.6279	35.6733	35.6097	35.6147	35.7654	35.6235	35.5951	35.528	35.5389	35.6323	35.4327	35.551	35.5976	35.601	35.5075	35.4359	35.6012	35.5586	35.5681	35.5911	35.5315	35.4803	35.679	35.5479	35.5875	35.5043	35.5112	35.5101	35.4642	35.602	35.4259	35.3683	35.2853	35.4592	35.3512	35.1901	35.3045	35.3391	35.2613	35.3293	35.3455	35.2431	35.4302	35.1933	34.9243	35.2943	35.0489	35.2112	35.2368	35.1914	35.0941
V350082740_L01_16-16_1	35.6997	35.3323	35.6568	35.5401	35.6129	35.3234	35.6971	35.6534	35.8293	35.5996	35.4849	35.6506	35.6796	35.5173	35.4544	35.7872	35.5223	35.6097	35.5263	35.6235	35.538	35.6164	35.584	35.4038	35.7184	35.6809	35.6653	35.617	35.5843	35.5852	35.55	35.5273	35.6546	35.6891	35.7177	35.7556	35.7999	35.6566	35.73	35.7693	35.7582	35.7348	35.8009	35.6622	35.7463	35.6747	35.6735	35.6849	35.711	35.6955	35.7407	35.6542	35.6834	35.8201	35.6726	35.6845	35.5992	35.6279	35.7323	35.5739	35.6737	35.7073	35.6827	35.6719	35.5572	35.6784	35.6076	35.6313	35.6708	35.5838	35.5387	35.6875	35.6056	35.6644	35.5975	35.5845	35.6134	35.5903	35.6777	35.509	35.4541	35.4349	35.5497	35.4583	35.3071	35.4221	35.4164	35.4067	35.4567	35.449	35.3486	35.5579	35.3433	35.0526	35.3776	35.2721	35.2956	35.3639	35.3188	35.2378
V350082740_L01_17-17_1	35.9345	35.6015	35.8593	35.765	35.845	35.6173	35.909	35.8354	35.9942	35.8173	35.7199	35.8251	35.8577	35.7471	35.6747	35.9853	35.7278	35.8334	35.7544	35.8666	35.7614	35.7948	35.8425	35.6625	35.9215	35.8966	35.8395	35.8183	35.8064	35.8055	35.7729	35.7185	35.8732	35.8741	35.9007	35.9519	35.9675	35.84	35.9075	35.9504	35.9365	35.8914	35.9557	35.8529	35.8989	35.8703	35.8649	35.8803	35.8954	35.8756	35.9283	35.8629	35.8828	36.003	35.8496	35.8762	35.8319	35.8425	35.9004	35.7668	35.8584	35.888	35.8845	35.8443	35.7113	35.8643	35.8046	35.8327	35.8703	35.7885	35.7522	35.887	35.8093	35.8639	35.7939	35.7809	35.7706	35.7691	35.8638	35.6924	35.6623	35.6083	35.7553	35.6755	35.5605	35.6209	35.6489	35.5826	35.6572	35.6295	35.5444	35.6988	35.5229	35.296	35.5983	35.4559	35.5269	35.5434	35.5161	35.3936
V350082740_L01_18-18_1	35.8305	35.5778	35.8687	35.762	35.8416	35.5834	35.8971	35.8677	36.007	35.8464	35.7439	35.8375	35.8475	35.8032	35.6777	36.0026	35.7436	35.834	35.6955	35.9204	35.7379	35.8279	35.887	35.6148	35.9666	35.9152	35.8598	35.8595	35.8128	35.8564	35.8176	35.6983	35.8945	35.8728	35.914	35.9718	35.9919	35.8139	35.9278	35.9992	35.98	35.928	35.9622	35.8667	35.9584	35.8094	35.8568	35.8864	35.91	35.9047	35.9395	35.8537	35.8558	36.018	35.8756	35.8951	35.8382	35.8455	35.9005	35.7442	35.8977	35.891	35.8972	35.7747	35.7421	35.8707	35.7936	35.8422	35.8801	35.7769	35.7633	35.9138	35.8039	35.8572	35.7949	35.7669	35.6942	35.7775	35.8151	35.695	35.7058	35.6413	35.7559	35.6993	35.5896	35.6298	35.6657	35.6123	35.635	35.6219	35.57	35.7197	35.5197	35.3094	35.5463	35.2874	35.5692	35.5861	35.5468	35.3246
V350082740_L01_19-19_1	35.6437	35.3387	35.6408	35.5234	35.6272	35.3457	35.7043	35.6475	35.8276	35.6143	35.4843	35.6372	35.6595	35.5411	35.4571	35.807	35.5325	35.6346	35.5192	35.6667	35.524	35.6224	35.6305	35.3818	35.7338	35.6991	35.6394	35.5829	35.5807	35.603	35.5758	35.5384	35.6834	35.6927	35.7202	35.7756	35.7918	35.6613	35.7282	35.7875	35.7703	35.7243	35.8057	35.6785	35.7657	35.6926	35.671	35.6827	35.6908	35.7042	35.7095	35.6299	35.645	35.8072	35.6564	35.6817	35.6034	35.6241	35.7287	35.5078	35.6627	35.691	35.6705	35.6499	35.5041	35.6856	35.5722	35.6113	35.6621	35.5702	35.5148	35.7067	35.5888	35.6382	35.5809	35.5739	35.5747	35.5497	35.6291	35.483	35.4413	35.4319	35.5323	35.4673	35.2865	35.3947	35.3916	35.3547	35.4348	35.4321	35.3166	35.5184	35.3178	35.0131	35.3391	35.1808	35.302	35.3777	35.3189	35.1793
