,cluster1,cluster2,cluster3
6607,20.0,17.0,16.0
6610,32.0,17.0,21.0
6619,20.0,13.0,20.0
6621,22.0,11.0,12.0
6623,28.0,14.0,20.0
6624,27.0,14.0,18.0
6625,33.0,17.0,23.0
6627,21.0,7.0,15.0
6635,22.0,7.0,12.0
6637,36.0,29.0,29.0
6638,33.0,29.0,27.0
6640,22.0,15.0,16.0
6643,26.0,13.0,18.0
6654,22.0,12.0,13.0
6661,31.0,15.0,25.0
6663,34.0,21.0,26.0
6667,20.0,10.0,14.0
6668,26.0,13.0,13.0
6672,32.0,19.0,23.0
6702,35.0,28.0,26.0
6703,36.0,29.0,29.0
6705,18.0,11.0,14.0
6711,20.0,18.0,15.0
6712,21.0,10.0,11.0
6721,31.0,20.0,23.0
6728,33.0,24.0,24.0
6729,34.0,26.0,23.0
6731,35.0,26.0,25.0
6733,32.0,23.0,22.0
6735,35.0,26.0,27.0
6736,30.0,20.0,26.0
6739,26.0,14.0,17.0
6740,33.0,18.0,20.0
6778,22.0,15.0,17.0
6782,33.0,20.0,22.0
6825,35.0,30.0,27.0
6827,36.0,20.0,26.0
6868,36.0,29.0,29.0
6869,34.0,29.0,25.0
6870,14.0,15.0,6.0
6871,34.0,17.0,24.0
6877,9.0,2.0,4.0
6895,32.0,15.0,23.0
6899,28.0,19.0,18.0
6900,30.0,15.0,18.0
6904,31.0,16.0,22.0
6905,30.0,14.0,23.0
6917,18.0,9.0,11.0
6921,33.0,18.0,21.0
6923,24.0,16.0,16.0
6925,34.0,22.0,23.0
6931,32.0,29.0,25.0
6934,29.0,16.0,19.0
6937,35.0,26.0,28.0
6938,35.0,24.0,25.0
6939,36.0,28.0,29.0
6940,35.0,29.0,29.0
6942,36.0,27.0,29.0
6943,31.0,21.0,24.0
6944,36.0,28.0,29.0
6945,35.0,23.0,27.0
6946,36.0,28.0,28.0
6947,36.0,29.0,29.0
6948,36.0,29.0,29.0
6949,36.0,26.0,29.0
6950,33.0,22.0,28.0
6951,34.0,25.0,27.0
6952,33.0,26.0,27.0
6953,34.0,23.0,28.0
6954,36.0,29.0,29.0
6955,35.0,23.0,25.0
6956,36.0,25.0,27.0
6957,36.0,25.0,29.0
6958,35.0,28.0,29.0
6959,36.0,28.0,28.0
6960,35.0,24.0,26.0
6961,34.0,25.0,27.0
6962,36.0,28.0,29.0
6963,36.0,27.0,29.0
6964,36.0,28.0,29.0
6965,36.0,28.0,29.0
6966,34.0,25.0,29.0
6967,34.0,24.0,26.0
6971,36.0,20.0,23.0
6974,19.0,9.0,14.0
6976,23.0,15.0,17.0
6979,25.0,11.0,15.0
6980,21.0,11.0,16.0
6988,34.0,19.0,24.0
6995,15.0,8.0,12.0
7004,32.0,19.0,24.0
7010,34.0,26.0,26.0
7035,36.0,28.0,29.0
7036,27.0,13.0,14.0
7040,35.0,18.0,23.0
7041,34.0,17.0,22.0
7056,21.0,12.0,11.0
7060,25.0,19.0,19.0
7066,27.0,13.0,17.0
7068,33.0,18.0,24.0
7070,34.0,24.0,21.0
7077,28.0,14.0,15.0
7082,29.0,14.0,20.0
7094,33.0,17.0,25.0
7095,36.0,29.0,27.0
7096,34.0,29.0,26.0
7100,19.0,4.0,11.0
7103,21.0,12.0,10.0
7109,24.0,13.0,13.0
7117,33.0,18.0,21.0
7126,32.0,16.0,20.0
7127,35.0,24.0,27.0
7129,30.0,13.0,17.0
7132,33.0,20.0,24.0
7134,33.0,23.0,22.0
7136,35.0,23.0,27.0
7138,27.0,15.0,19.0
7147,26.0,10.0,16.0
7152,18.0,6.0,13.0
7156,22.0,11.0,12.0
7161,34.0,21.0,25.0
7163,35.0,25.0,28.0
7168,36.0,30.0,29.0
7169,35.0,28.0,27.0
7171,32.0,20.0,22.0
7172,33.0,16.0,21.0
7174,34.0,22.0,27.0
7180,29.0,19.0,21.0
7181,31.0,15.0,22.0
7188,36.0,29.0,28.0
7189,35.0,27.0,27.0
7190,34.0,26.0,27.0
7191,35.0,27.0,28.0
7192,35.0,27.0,26.0
7193,35.0,25.0,28.0
7194,32.0,22.0,24.0
7197,34.0,25.0,25.0
7198,35.0,25.0,26.0
7199,36.0,29.0,27.0
7202,34.0,24.0,25.0
7204,33.0,21.0,23.0
7207,21.0,11.0,12.0
7210,27.0,14.0,18.0
7216,23.0,8.0,12.0
7222,30.0,14.0,16.0
7225,32.0,13.0,19.0
7226,30.0,18.0,19.0
7230,22.0,16.0,15.0
7234,36.0,26.0,29.0
7235,36.0,20.0,23.0
7236,31.0,15.0,17.0
7254,19.0,6.0,13.0
7255,36.0,21.0,26.0
7256,17.0,8.0,6.0
7260,36.0,24.0,27.0
7261,33.0,18.0,25.0
7263,36.0,28.0,29.0
7264,36.0,26.0,27.0
7265,36.0,28.0,27.0
7266,34.0,21.0,26.0
7268,32.0,20.0,25.0
7274,32.0,15.0,22.0
7275,35.0,16.0,24.0
7276,36.0,20.0,25.0
7277,35.0,20.0,25.0
7278,33.0,19.0,25.0
7282,36.0,25.0,28.0
7284,23.0,12.0,13.0
7285,25.0,13.0,17.0
7286,35.0,19.0,22.0
7287,36.0,28.0,29.0
7288,36.0,22.0,27.0
7291,35.0,22.0,27.0
7292,33.0,21.0,25.0
7293,31.0,17.0,23.0
7295,22.0,9.0,18.0
7296,30.0,15.0,22.0
7297,34.0,21.0,26.0
7298,16.0,6.0,8.0
7300,35.0,19.0,26.0
7301,35.0,19.0,26.0
7302,34.0,21.0,26.0
7304,36.0,19.0,26.0
7305,36.0,24.0,26.0
7308,36.0,29.0,29.0
7309,36.0,29.0,29.0
7310,36.0,29.0,29.0
7311,36.0,29.0,29.0
7312,36.0,27.0,29.0
7313,36.0,29.0,29.0
7314,36.0,29.0,29.0
7315,36.0,29.0,29.0
7316,36.0,30.0,29.0
7317,36.0,29.0,29.0
7318,36.0,29.0,29.0
7319,36.0,29.0,29.0
7320,36.0,29.0,29.0
7321,36.0,29.0,29.0
7322,36.0,29.0,29.0
7323,36.0,28.0,29.0
7324,36.0,29.0,29.0
7325,36.0,29.0,29.0
7326,36.0,29.0,29.0
7327,36.0,29.0,29.0
7328,36.0,29.0,29.0
7329,36.0,29.0,29.0
7330,36.0,29.0,29.0
7331,36.0,29.0,29.0
7332,36.0,29.0,29.0
7333,36.0,29.0,29.0
7335,36.0,19.0,26.0
7336,34.0,18.0,23.0
7337,32.0,17.0,24.0
7341,25.0,13.0,17.0
7348,34.0,18.0,23.0
7349,36.0,24.0,28.0
7351,33.0,18.0,26.0
7352,34.0,23.0,29.0
7356,33.0,19.0,25.0
7357,17.0,6.0,9.0
7359,36.0,23.0,27.0
7361,32.0,19.0,25.0
7364,30.0,15.0,18.0
7371,30.0,14.0,20.0
7374,28.0,13.0,18.0
7375,36.0,24.0,28.0
7376,36.0,27.0,27.0
7377,36.0,26.0,27.0
7378,36.0,25.0,28.0
7380,31.0,15.0,21.0
7381,29.0,18.0,23.0
7383,36.0,26.0,27.0
7384,36.0,23.0,27.0
7385,36.0,21.0,25.0
7395,36.0,28.0,28.0
7396,36.0,27.0,28.0
7397,35.0,28.0,29.0
7398,30.0,19.0,21.0
7399,36.0,28.0,29.0
7400,36.0,27.0,27.0
7402,34.0,25.0,28.0
7404,36.0,24.0,27.0
7405,35.0,28.0,27.0
7406,36.0,29.0,29.0
7407,36.0,29.0,29.0
7408,36.0,29.0,27.0
7409,35.0,28.0,28.0
7411,35.0,25.0,29.0
7412,36.0,28.0,29.0
7413,36.0,27.0,28.0
7414,34.0,25.0,24.0
7415,36.0,27.0,29.0
7418,29.0,11.0,17.0
7421,34.0,19.0,23.0
7426,33.0,19.0,25.0
7427,8.0,5.0,3.0
7430,31.0,17.0,18.0
7431,27.0,16.0,11.0
7451,30.0,19.0,21.0
7458,26.0,18.0,19.0
7461,31.0,21.0,21.0
7462,30.0,14.0,18.0
7465,31.0,19.0,24.0
7470,21.0,11.0,13.0
7483,21.0,12.0,12.0
7485,32.0,21.0,20.0
7486,36.0,28.0,29.0
7487,35.0,29.0,29.0
7488,34.0,21.0,20.0
7489,36.0,27.0,28.0
7490,35.0,29.0,29.0
7491,33.0,26.0,27.0
7492,35.0,28.0,27.0
7493,36.0,28.0,29.0
7494,36.0,29.0,29.0
7495,34.0,27.0,26.0
7496,34.0,28.0,28.0
7497,36.0,28.0,29.0
7498,31.0,23.0,25.0
7499,36.0,29.0,29.0
7501,35.0,29.0,29.0
7502,34.0,24.0,23.0
7503,34.0,25.0,29.0
7504,29.0,17.0,21.0
7505,36.0,28.0,28.0
7506,34.0,25.0,27.0
7507,36.0,26.0,29.0
7508,33.0,21.0,21.0
7509,32.0,21.0,23.0
7510,34.0,19.0,24.0
7511,33.0,21.0,22.0
7512,34.0,28.0,28.0
7513,34.0,19.0,24.0
7514,34.0,25.0,24.0
7516,35.0,27.0,29.0
7517,33.0,20.0,22.0
7518,36.0,29.0,29.0
7519,36.0,29.0,29.0
7520,35.0,28.0,29.0
7521,34.0,23.0,25.0
7522,35.0,29.0,28.0
7523,34.0,27.0,28.0
7525,34.0,29.0,29.0
7526,31.0,18.0,24.0
7527,34.0,28.0,26.0
7528,34.0,24.0,27.0
7529,34.0,26.0,27.0
7531,26.0,15.0,18.0
7540,36.0,30.0,29.0
7552,34.0,16.0,22.0
7559,26.0,15.0,17.0
7581,23.0,15.0,17.0
7583,36.0,29.0,29.0
7584,36.0,29.0,29.0
7585,34.0,24.0,24.0
7591,33.0,22.0,26.0
7598,22.0,9.0,16.0
7608,28.0,18.0,18.0
7613,34.0,27.0,28.0
7614,34.0,24.0,23.0
7616,35.0,28.0,27.0
7617,35.0,27.0,29.0
7637,27.0,16.0,21.0
7642,18.0,16.0,15.0
7646,36.0,24.0,27.0
7647,25.0,11.0,15.0
7678,36.0,24.0,28.0
7680,35.0,21.0,27.0
7683,34.0,21.0,25.0
7685,32.0,20.0,21.0
7687,32.0,17.0,24.0
7692,26.0,14.0,19.0
7700,33.0,20.0,23.0
7702,34.0,17.0,24.0
7706,22.0,11.0,12.0
7711,34.0,24.0,28.0
7712,25.0,12.0,10.0
7717,31.0,17.0,23.0
7719,32.0,22.0,26.0
7724,32.0,21.0,23.0
7727,29.0,18.0,24.0
7729,32.0,16.0,20.0
7733,34.0,20.0,25.0
7735,34.0,27.0,29.0
7736,34.0,25.0,27.0
7737,35.0,28.0,29.0
7738,35.0,28.0,29.0
7739,35.0,25.0,26.0
7740,36.0,29.0,29.0
7741,35.0,28.0,28.0
7742,35.0,29.0,29.0
7743,34.0,23.0,27.0
7744,35.0,29.0,29.0
7745,34.0,24.0,26.0
7746,32.0,17.0,25.0
7750,31.0,17.0,22.0
7752,31.0,13.0,19.0
7754,33.0,19.0,25.0
7755,34.0,25.0,26.0
7757,35.0,29.0,29.0
7758,35.0,22.0,25.0
7762,34.0,21.0,24.0
7763,31.0,22.0,23.0
7767,33.0,27.0,25.0
7768,36.0,29.0,28.0
7769,36.0,29.0,27.0
7771,34.0,18.0,24.0
7773,35.0,22.0,26.0
7778,33.0,19.0,24.0
7779,27.0,13.0,21.0
7780,34.0,18.0,23.0
7786,33.0,20.0,24.0
7789,34.0,16.0,24.0
7792,31.0,17.0,22.0
7794,24.0,13.0,17.0
7799,35.0,24.0,28.0
7801,35.0,21.0,27.0
7806,33.0,14.0,20.0
7808,34.0,16.0,25.0
7810,32.0,18.0,24.0
7812,34.0,16.0,24.0
7813,34.0,17.0,24.0
7814,32.0,17.0,23.0
7816,32.0,15.0,22.0
7818,32.0,16.0,22.0
7820,33.0,16.0,24.0
7830,22.0,13.0,16.0
7832,22.0,10.0,16.0
7833,35.0,29.0,29.0
7834,34.0,28.0,28.0
7849,34.0,25.0,25.0
7855,35.0,25.0,26.0
7856,34.0,27.0,28.0
7857,35.0,28.0,28.0
7858,34.0,25.0,24.0
7859,36.0,29.0,28.0
7860,34.0,23.0,24.0
7861,35.0,28.0,28.0
7862,34.0,29.0,27.0
7863,36.0,29.0,28.0
7864,35.0,29.0,28.0
7865,34.0,25.0,27.0
7866,35.0,26.0,27.0
7867,36.0,28.0,28.0
7868,29.0,15.0,18.0
7870,26.0,13.0,17.0
7872,36.0,30.0,29.0
7873,35.0,18.0,19.0
7874,33.0,14.0,17.0
7884,27.0,14.0,19.0
7896,28.0,17.0,22.0
7903,23.0,13.0,17.0
7906,35.0,30.0,29.0
7907,35.0,21.0,23.0
7908,33.0,17.0,25.0
7909,35.0,21.0,25.0
7912,34.0,25.0,26.0
7914,35.0,26.0,26.0
7915,35.0,23.0,27.0
7917,33.0,18.0,25.0
7918,36.0,24.0,26.0
7919,29.0,16.0,22.0
7921,34.0,21.0,24.0
7922,29.0,14.0,17.0
7924,34.0,19.0,25.0
7927,34.0,20.0,25.0
7928,35.0,20.0,22.0
7937,10.0,5.0,7.0
7953,35.0,29.0,28.0
7954,36.0,22.0,26.0
7959,26.0,17.0,17.0
7961,31.0,17.0,19.0
7963,29.0,18.0,21.0
7965,33.0,19.0,22.0
7966,22.0,10.0,12.0
7970,34.0,26.0,26.0
7971,34.0,26.0,26.0
7981,11.0,4.0,7.0
7986,27.0,17.0,19.0
7995,34.0,29.0,26.0
7996,32.0,25.0,25.0
7997,36.0,29.0,29.0
7998,30.0,27.0,21.0
7999,35.0,20.0,25.0
8002,34.0,24.0,26.0
8004,19.0,10.0,14.0
8014,20.0,9.0,13.0
8018,31.0,16.0,19.0
8020,36.0,30.0,29.0
8022,34.0,23.0,28.0
8023,36.0,23.0,27.0
8026,35.0,28.0,29.0
8031,34.0,22.0,24.0
8032,32.0,16.0,24.0
8033,33.0,19.0,23.0
8034,27.0,16.0,20.0
8036,35.0,22.0,27.0
8038,36.0,20.0,25.0
8040,36.0,23.0,26.0
8047,36.0,30.0,29.0
8049,25.0,13.0,17.0
8057,33.0,17.0,23.0
8058,34.0,20.0,26.0
8059,35.0,23.0,26.0
8063,33.0,17.0,24.0
8065,35.0,30.0,29.0
8066,33.0,18.0,22.0
8068,35.0,21.0,25.0
8069,35.0,21.0,25.0
8070,33.0,18.0,24.0
8073,34.0,23.0,25.0
8075,36.0,29.0,29.0
8076,36.0,29.0,29.0
8077,36.0,29.0,29.0
8078,35.0,28.0,29.0
8079,35.0,29.0,29.0
8080,36.0,28.0,29.0
8081,36.0,29.0,29.0
8082,36.0,29.0,29.0
8083,35.0,29.0,29.0
8084,36.0,29.0,29.0
8085,36.0,29.0,29.0
8086,36.0,29.0,29.0
8087,36.0,29.0,29.0
8088,36.0,29.0,29.0
8089,36.0,29.0,29.0
8090,35.0,24.0,27.0
8091,36.0,29.0,29.0
8092,35.0,25.0,27.0
8093,36.0,29.0,29.0
8094,36.0,29.0,29.0
8095,36.0,29.0,29.0
8096,36.0,29.0,29.0
8098,33.0,17.0,21.0
8103,29.0,15.0,20.0
8104,33.0,15.0,23.0
8105,24.0,11.0,11.0
8107,33.0,16.0,25.0
8110,34.0,16.0,23.0
8113,35.0,27.0,28.0
8115,34.0,21.0,27.0
8116,35.0,28.0,29.0
8119,35.0,26.0,28.0
8121,35.0,25.0,26.0
8122,35.0,28.0,29.0
8124,34.0,23.0,27.0
8125,34.0,18.0,26.0
8128,35.0,29.0,27.0
8129,35.0,23.0,28.0
8130,34.0,24.0,26.0
8133,34.0,28.0,29.0
8134,33.0,18.0,23.0
8136,35.0,29.0,28.0
8138,35.0,28.0,28.0
8141,35.0,17.0,23.0
8162,16.0,6.0,11.0
8170,24.0,14.0,20.0
8172,20.0,10.0,10.0
8173,36.0,30.0,29.0
8174,36.0,27.0,29.0
8181,36.0,29.0,28.0
8182,36.0,28.0,27.0
8195,25.0,14.0,18.0
8199,31.0,17.0,19.0
8200,32.0,15.0,20.0
8206,31.0,20.0,25.0
8207,32.0,17.0,21.0
8211,29.0,14.0,20.0
8212,32.0,17.0,23.0
8216,36.0,29.0,28.0
8217,36.0,29.0,29.0
8218,35.0,22.0,26.0
8220,34.0,23.0,29.0
8221,31.0,17.0,23.0
8224,26.0,12.0,18.0
8225,32.0,16.0,24.0
8237,35.0,18.0,25.0
8248,36.0,25.0,29.0
8250,35.0,22.0,25.0
8252,34.0,24.0,28.0
8256,34.0,19.0,26.0
8257,35.0,24.0,28.0
8261,29.0,15.0,19.0
8263,33.0,15.0,20.0
8266,34.0,15.0,21.0
8268,33.0,18.0,24.0
8273,34.0,17.0,23.0
8275,36.0,29.0,27.0
8276,36.0,29.0,25.0
8277,36.0,29.0,29.0
8278,36.0,30.0,29.0
8279,36.0,29.0,29.0
8280,36.0,29.0,29.0
8281,35.0,28.0,29.0
8282,36.0,29.0,29.0
8283,36.0,29.0,29.0
8284,36.0,29.0,29.0
8285,36.0,29.0,29.0
8286,36.0,29.0,29.0
8287,36.0,29.0,29.0
8288,36.0,28.0,29.0
8289,36.0,29.0,29.0
8290,35.0,29.0,29.0
8291,36.0,29.0,29.0
8292,36.0,29.0,29.0
8293,36.0,29.0,29.0
8294,36.0,29.0,29.0
8295,36.0,29.0,29.0
8296,36.0,29.0,29.0
8297,36.0,29.0,29.0
8298,36.0,29.0,29.0
8299,36.0,29.0,28.0
8300,36.0,30.0,29.0
8301,36.0,29.0,29.0
8302,36.0,29.0,29.0
8303,35.0,29.0,29.0
8304,36.0,29.0,29.0
8305,36.0,29.0,29.0
8306,34.0,29.0,29.0
8307,36.0,29.0,29.0
8308,36.0,29.0,29.0
8309,36.0,29.0,29.0
8310,36.0,29.0,29.0
8311,35.0,29.0,29.0
8312,36.0,29.0,29.0
8313,36.0,29.0,29.0
8314,36.0,29.0,29.0
8315,36.0,29.0,29.0
8317,35.0,29.0,29.0
8321,29.0,13.0,19.0
8322,31.0,17.0,20.0
8323,36.0,28.0,29.0
8325,36.0,28.0,29.0
8328,34.0,26.0,26.0
8329,35.0,24.0,27.0
8330,26.0,16.0,17.0
8332,35.0,20.0,25.0
8335,35.0,24.0,27.0
8336,36.0,30.0,29.0
8338,30.0,15.0,22.0
8339,17.0,11.0,16.0
8340,35.0,25.0,26.0
8341,35.0,22.0,26.0
8343,36.0,27.0,28.0
8345,36.0,29.0,29.0
8350,34.0,23.0,27.0
8356,33.0,18.0,24.0
8370,26.0,12.0,19.0
8373,29.0,15.0,21.0
8374,28.0,16.0,19.0
8375,27.0,9.0,4.0
8376,27.0,12.0,14.0
8377,34.0,21.0,24.0
8378,27.0,18.0,17.0
8379,31.0,17.0,21.0
8380,31.0,22.0,23.0
8381,35.0,20.0,25.0
8382,35.0,24.0,25.0
8383,35.0,29.0,29.0
8384,34.0,28.0,28.0
8385,36.0,29.0,29.0
8386,33.0,26.0,25.0
8387,36.0,28.0,29.0
8388,36.0,29.0,29.0
8389,32.0,30.0,28.0
8391,35.0,29.0,29.0
8392,32.0,28.0,29.0
8395,34.0,16.0,23.0
8397,29.0,15.0,19.0
8399,33.0,19.0,21.0
8402,25.0,14.0,20.0
8405,34.0,18.0,24.0
8406,36.0,27.0,28.0
8409,35.0,29.0,26.0
8411,15.0,8.0,9.0
8413,34.0,20.0,26.0
8414,21.0,21.0,15.0
8415,35.0,28.0,29.0
8416,35.0,21.0,24.0
8417,34.0,21.0,24.0
8418,33.0,25.0,25.0
8420,28.0,14.0,17.0
8421,32.0,22.0,24.0
8423,33.0,19.0,27.0
8425,33.0,18.0,24.0
8427,33.0,19.0,26.0
8429,32.0,19.0,25.0
8431,33.0,21.0,24.0
8433,33.0,20.0,22.0
8434,33.0,17.0,25.0
8436,31.0,17.0,23.0
8437,33.0,19.0,22.0
8443,27.0,12.0,18.0
8444,35.0,24.0,26.0
8445,35.0,22.0,28.0
8446,35.0,19.0,22.0
8448,35.0,22.0,26.0
8449,26.0,16.0,20.0
8450,25.0,16.0,20.0
8452,15.0,11.0,10.0
8479,30.0,16.0,19.0
8480,33.0,27.0,25.0
8481,36.0,29.0,29.0
8494,25.0,13.0,20.0
8497,30.0,14.0,18.0
8498,34.0,26.0,26.0
8499,33.0,20.0,22.0
8500,34.0,28.0,24.0
8501,35.0,27.0,26.0
8502,26.0,14.0,16.0
8503,32.0,20.0,23.0
8504,30.0,19.0,21.0
8506,33.0,21.0,22.0
8507,33.0,23.0,24.0
8508,30.0,20.0,22.0
8509,34.0,28.0,27.0
8510,24.0,16.0,17.0
8511,36.0,28.0,28.0
8512,34.0,25.0,26.0
8517,34.0,19.0,24.0
8519,35.0,26.0,23.0
8551,21.0,12.0,14.0
8576,24.0,14.0,17.0
8577,29.0,15.0,22.0
8589,24.0,12.0,11.0
8590,21.0,12.0,12.0
8596,27.0,13.0,19.0
8597,35.0,22.0,22.0
8598,27.0,15.0,16.0
8601,23.0,12.0,20.0
8603,32.0,19.0,22.0
8604,29.0,18.0,22.0
8607,33.0,16.0,24.0
8608,29.0,15.0,20.0
8609,35.0,28.0,29.0
8610,34.0,24.0,26.0
8611,35.0,27.0,28.0
8613,35.0,27.0,27.0
8614,34.0,28.0,28.0
8615,34.0,25.0,23.0
8616,36.0,29.0,29.0
8617,34.0,23.0,23.0
8624,29.0,14.0,17.0
8626,36.0,29.0,29.0
8627,34.0,29.0,28.0
8641,29.0,14.0,20.0
8644,31.0,15.0,23.0
8647,32.0,16.0,23.0
8649,32.0,17.0,23.0
8652,27.0,11.0,18.0
8654,21.0,12.0,15.0
8657,32.0,22.0,20.0
8661,33.0,22.0,26.0
8665,36.0,21.0,28.0
8667,31.0,20.0,20.0
8669,35.0,25.0,26.0
8670,35.0,22.0,28.0
8671,34.0,19.0,24.0
8672,34.0,17.0,24.0
8674,34.0,20.0,26.0
8675,28.0,15.0,19.0
8679,35.0,28.0,28.0
8680,35.0,24.0,29.0
8681,32.0,18.0,24.0
8683,36.0,29.0,29.0
8689,34.0,28.0,26.0
8693,36.0,24.0,28.0
8694,33.0,19.0,25.0
8696,23.0,14.0,16.0
8701,29.0,13.0,20.0
8703,34.0,25.0,28.0
8704,35.0,29.0,28.0
8707,35.0,17.0,23.0
8709,33.0,24.0,18.0
8710,35.0,26.0,28.0
8712,35.0,26.0,29.0
8713,34.0,28.0,26.0
8714,36.0,29.0,29.0
8715,35.0,26.0,26.0
8716,36.0,29.0,29.0
8717,36.0,28.0,26.0
8718,36.0,29.0,29.0
8719,36.0,29.0,29.0
8720,35.0,26.0,28.0
8721,36.0,29.0,29.0
8722,36.0,30.0,29.0
8723,36.0,30.0,29.0
8724,36.0,30.0,29.0
8725,36.0,28.0,29.0
8728,27.0,17.0,22.0
8729,34.0,23.0,27.0
8734,29.0,16.0,19.0
8741,32.0,14.0,19.0
8743,30.0,17.0,21.0
8745,27.0,14.0,19.0
8751,22.0,13.0,13.0
8755,36.0,30.0,29.0
8757,34.0,25.0,29.0
8758,33.0,18.0,25.0
8759,23.0,14.0,14.0
8761,34.0,23.0,25.0
8764,33.0,16.0,24.0
8766,28.0,14.0,17.0
8767,34.0,24.0,28.0
8769,35.0,28.0,28.0
8771,36.0,29.0,29.0
8773,35.0,29.0,29.0
8774,33.0,14.0,19.0
8777,34.0,19.0,25.0
8778,29.0,15.0,22.0
8779,28.0,14.0,16.0
8780,24.0,17.0,16.0
8783,18.0,6.0,12.0
8784,36.0,28.0,28.0
8808,33.0,22.0,24.0
8810,34.0,27.0,26.0
8811,26.0,12.0,17.0
8812,36.0,29.0,29.0
8813,36.0,29.0,29.0
8814,34.0,29.0,28.0
8815,36.0,29.0,28.0
8816,36.0,29.0,29.0
8817,35.0,29.0,29.0
8818,35.0,28.0,28.0
8819,36.0,29.0,28.0
8820,35.0,28.0,29.0
8821,36.0,29.0,28.0
8822,36.0,29.0,29.0
8823,24.0,11.0,13.0
8825,34.0,17.0,21.0
8830,33.0,16.0,24.0
8833,35.0,25.0,27.0
8835,32.0,18.0,26.0
8837,32.0,17.0,22.0
8840,34.0,21.0,23.0
8842,33.0,21.0,25.0
8843,28.0,15.0,19.0
8845,36.0,29.0,29.0
8846,32.0,28.0,23.0
8847,36.0,29.0,29.0
8848,34.0,21.0,23.0
8854,33.0,20.0,25.0
8855,34.0,16.0,23.0
8857,33.0,16.0,23.0
8859,34.0,18.0,22.0
8862,36.0,23.0,26.0
8866,32.0,19.0,25.0
8869,30.0,15.0,21.0
8870,34.0,21.0,25.0
8871,34.0,25.0,27.0
8875,35.0,23.0,27.0
8878,31.0,12.0,17.0
8879,36.0,28.0,29.0
8882,36.0,22.0,26.0
8885,29.0,13.0,19.0
8891,34.0,20.0,25.0
8902,32.0,17.0,20.0
8904,34.0,16.0,24.0
8910,36.0,29.0,29.0
8911,36.0,29.0,29.0
8914,33.0,24.0,28.0
8915,30.0,13.0,19.0
8916,33.0,16.0,21.0
8917,25.0,24.0,20.0
8926,33.0,20.0,23.0
8935,32.0,13.0,19.0
8938,34.0,22.0,25.0
8943,33.0,27.0,26.0
8944,36.0,29.0,26.0
8946,31.0,19.0,20.0
8948,36.0,27.0,29.0
8949,36.0,22.0,25.0
8953,33.0,18.0,22.0
8957,28.0,14.0,21.0
8966,13.0,2.0,8.0
8981,34.0,29.0,29.0
8983,34.0,21.0,23.0
8985,29.0,18.0,20.0
8987,34.0,21.0,25.0
8989,34.0,22.0,26.0
8992,32.0,19.0,23.0
8993,34.0,25.0,28.0
8995,34.0,21.0,28.0
8996,29.0,15.0,21.0
8998,34.0,21.0,24.0
9001,33.0,23.0,24.0
9002,34.0,28.0,29.0
9004,34.0,23.0,26.0
9006,34.0,24.0,27.0
9008,32.0,17.0,24.0
9009,33.0,17.0,22.0
9019,35.0,17.0,24.0
9034,30.0,14.0,20.0
9041,35.0,26.0,28.0
9042,36.0,22.0,23.0
9045,34.0,26.0,26.0
9046,34.0,28.0,28.0
9047,36.0,29.0,29.0
9052,34.0,20.0,26.0
9055,21.0,12.0,5.0
9062,30.0,14.0,17.0
9064,24.0,12.0,12.0
9067,25.0,14.0,14.0
9069,33.0,17.0,25.0
9084,33.0,17.0,25.0
9085,34.0,21.0,25.0
9088,33.0,20.0,24.0
9089,30.0,18.0,21.0
9090,24.0,21.0,17.0
9091,36.0,29.0,29.0
9092,27.0,25.0,22.0
9093,35.0,22.0,24.0
9104,32.0,16.0,20.0
9115,36.0,28.0,29.0
9117,35.0,25.0,29.0
9119,35.0,28.0,29.0
9121,35.0,29.0,29.0
9124,34.0,18.0,23.0
9127,32.0,18.0,26.0
9129,32.0,18.0,26.0
9132,34.0,18.0,26.0
9134,31.0,15.0,24.0
9138,35.0,26.0,28.0
9139,31.0,15.0,23.0
9141,33.0,21.0,27.0
9143,36.0,29.0,29.0
9144,36.0,29.0,28.0
9145,16.0,9.0,6.0
9147,27.0,16.0,19.0
9150,34.0,19.0,25.0
9151,33.0,19.0,25.0
9153,29.0,15.0,18.0
9155,35.0,23.0,26.0
9156,35.0,21.0,27.0
9157,35.0,20.0,25.0
9162,33.0,22.0,28.0
9164,35.0,28.0,28.0
9171,34.0,18.0,23.0
9172,35.0,21.0,26.0
9174,33.0,20.0,26.0
9175,36.0,29.0,29.0
9176,17.0,22.0,16.0
9178,36.0,29.0,29.0
9179,34.0,25.0,29.0
9181,33.0,19.0,27.0
9183,32.0,15.0,23.0
9187,35.0,26.0,28.0
9190,36.0,29.0,29.0
9194,33.0,22.0,26.0
9196,36.0,25.0,28.0
9199,36.0,25.0,25.0
9200,34.0,17.0,19.0
9201,34.0,17.0,22.0
9202,31.0,20.0,23.0
9205,34.0,21.0,25.0
9208,24.0,11.0,17.0
9210,33.0,21.0,27.0
9215,34.0,19.0,24.0
9222,30.0,16.0,23.0
9224,27.0,15.0,15.0
9226,20.0,8.0,11.0
9227,36.0,28.0,29.0
9229,34.0,21.0,26.0
9230,35.0,26.0,26.0
9232,36.0,27.0,28.0
9234,36.0,29.0,29.0
9235,35.0,26.0,27.0
9236,36.0,29.0,29.0
9238,35.0,28.0,28.0
9239,32.0,19.0,26.0
9241,36.0,27.0,28.0
9243,35.0,25.0,26.0
