,cluster1,cluster2,cluster3
755,36.0,29.0,29.0
756,35.0,29.0,29.0
757,36.0,29.0,29.0
758,35.0,29.0,29.0
759,36.0,29.0,29.0
760,36.0,29.0,29.0
761,34.0,29.0,29.0
762,36.0,28.0,29.0
763,36.0,28.0,29.0
764,36.0,29.0,29.0
771,29.0,19.0,25.0
778,34.0,27.0,28.0
780,35.0,21.0,27.0
781,33.0,19.0,27.0
783,34.0,24.0,27.0
785,34.0,26.0,29.0
786,35.0,20.0,27.0
790,34.0,20.0,28.0
792,34.0,28.0,28.0
795,34.0,23.0,26.0
798,34.0,23.0,25.0
802,34.0,27.0,29.0
808,29.0,17.0,22.0
812,31.0,15.0,23.0
820,29.0,14.0,21.0
828,25.0,16.0,20.0
834,36.0,30.0,29.0
835,34.0,28.0,28.0
836,29.0,16.0,24.0
838,23.0,11.0,14.0
840,34.0,26.0,24.0
841,35.0,27.0,27.0
842,35.0,24.0,26.0
843,31.0,19.0,20.0
844,35.0,29.0,29.0
845,35.0,24.0,25.0
846,36.0,29.0,29.0
847,36.0,29.0,29.0
848,36.0,24.0,28.0
849,35.0,28.0,29.0
850,34.0,28.0,28.0
851,35.0,29.0,29.0
852,36.0,28.0,29.0
856,31.0,20.0,21.0
858,29.0,12.0,18.0
861,36.0,26.0,28.0
862,36.0,25.0,25.0
863,32.0,20.0,21.0
871,20.0,12.0,13.0
873,25.0,13.0,15.0
876,21.0,12.0,14.0
877,27.0,11.0,18.0
883,25.0,11.0,17.0
886,34.0,22.0,24.0
893,26.0,10.0,10.0
894,31.0,17.0,22.0
895,35.0,28.0,28.0
898,35.0,20.0,26.0
899,34.0,24.0,25.0
901,36.0,21.0,25.0
902,36.0,26.0,28.0
905,36.0,24.0,25.0
907,34.0,18.0,24.0
908,30.0,13.0,19.0
909,35.0,19.0,26.0
911,35.0,21.0,27.0
916,33.0,17.0,22.0
919,14.0,5.0,5.0
931,25.0,9.0,15.0
933,28.0,13.0,22.0
935,29.0,12.0,20.0
937,31.0,13.0,18.0
939,36.0,24.0,29.0
940,20.0,17.0,17.0
941,29.0,15.0,24.0
946,26.0,17.0,21.0
954,36.0,29.0,27.0
955,36.0,24.0,24.0
956,36.0,29.0,27.0
957,35.0,24.0,27.0
958,36.0,24.0,23.0
959,35.0,27.0,27.0
960,35.0,23.0,27.0
961,26.0,11.0,13.0
963,25.0,11.0,16.0
964,36.0,21.0,23.0
975,28.0,12.0,17.0
976,25.0,14.0,19.0
977,28.0,15.0,19.0
990,34.0,28.0,26.0
991,36.0,29.0,29.0
992,32.0,27.0,24.0
993,36.0,29.0,29.0
994,34.0,17.0,24.0
995,32.0,16.0,19.0
997,33.0,16.0,22.0
1003,21.0,11.0,16.0
1005,32.0,15.0,21.0
1015,21.0,9.0,14.0
1020,36.0,26.0,29.0
1022,35.0,22.0,26.0
1024,34.0,21.0,28.0
1027,34.0,18.0,24.0
1028,29.0,14.0,17.0
1032,32.0,14.0,23.0
1033,32.0,16.0,24.0
1034,35.0,21.0,27.0
1038,34.0,18.0,20.0
1039,28.0,15.0,17.0
1044,29.0,12.0,19.0
1045,36.0,27.0,28.0
1046,35.0,21.0,27.0
1047,35.0,25.0,28.0
1049,34.0,19.0,27.0
1050,34.0,20.0,27.0
1051,36.0,24.0,28.0
1052,29.0,16.0,12.0
1053,36.0,28.0,27.0
1054,34.0,17.0,22.0
1056,35.0,29.0,26.0
1058,35.0,25.0,27.0
1061,35.0,23.0,26.0
1062,34.0,23.0,26.0
1064,34.0,19.0,24.0
1065,33.0,18.0,25.0
1066,34.0,29.0,25.0
1067,34.0,27.0,23.0
1071,34.0,23.0,27.0
1072,35.0,25.0,28.0
1073,34.0,18.0,25.0
1075,34.0,21.0,25.0
1078,31.0,16.0,22.0
1079,29.0,15.0,20.0
1082,23.0,8.0,16.0
1083,30.0,14.0,20.0
1084,34.0,21.0,26.0
1085,35.0,19.0,25.0
1086,30.0,13.0,14.0
1087,36.0,29.0,29.0
1088,36.0,29.0,29.0
1089,36.0,29.0,29.0
1090,36.0,30.0,29.0
1099,34.0,18.0,23.0
1103,21.0,12.0,15.0
1110,28.0,16.0,19.0
1112,34.0,24.0,27.0
1116,35.0,26.0,26.0
1117,34.0,17.0,25.0
1119,35.0,26.0,27.0
1120,35.0,26.0,27.0
1123,33.0,19.0,24.0
1124,34.0,23.0,24.0
1128,34.0,21.0,26.0
1129,34.0,20.0,26.0
1131,34.0,26.0,28.0
1132,36.0,29.0,29.0
1133,36.0,28.0,29.0
1134,36.0,29.0,29.0
1136,35.0,28.0,29.0
1137,35.0,29.0,28.0
1138,36.0,29.0,29.0
1139,34.0,21.0,28.0
1140,36.0,27.0,29.0
1143,35.0,26.0,27.0
1144,35.0,26.0,28.0
1146,36.0,29.0,29.0
1147,35.0,22.0,26.0
1151,35.0,23.0,28.0
1152,36.0,20.0,27.0
1160,34.0,28.0,27.0
1162,34.0,25.0,26.0
1163,33.0,17.0,25.0
1173,30.0,14.0,22.0
1177,30.0,15.0,21.0
1184,36.0,27.0,29.0
1185,36.0,24.0,29.0
1186,36.0,27.0,29.0
1187,36.0,27.0,27.0
1189,35.0,22.0,26.0
1192,30.0,15.0,20.0
1194,34.0,15.0,22.0
1197,35.0,18.0,25.0
1198,35.0,26.0,26.0
1199,26.0,13.0,17.0
1202,35.0,27.0,28.0
1203,35.0,22.0,26.0
1204,19.0,23.0,15.0
1207,34.0,15.0,19.0
1208,35.0,19.0,23.0
1209,32.0,15.0,18.0
1211,36.0,27.0,29.0
1213,24.0,19.0,14.0
1214,33.0,29.0,24.0
1215,36.0,30.0,29.0
1216,35.0,27.0,27.0
1217,36.0,28.0,28.0
1219,34.0,17.0,27.0
1222,36.0,27.0,29.0
1224,34.0,21.0,27.0
1226,34.0,16.0,19.0
1227,35.0,19.0,25.0
1229,36.0,23.0,28.0
1230,36.0,26.0,29.0
1232,34.0,20.0,26.0
1234,35.0,21.0,27.0
1236,35.0,25.0,27.0
