Sample	Pangolin_mqc-generalstats-pangolin-lineage	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	iVar_mqc-generalstats-ivar-reads_too_short_after_trimming	iVar_mqc-generalstats-ivar-reads_outside_primer_region	iVar_mqc-generalstats-ivar-trimmed_reads	iVar_mqc-generalstats-ivar-mapped_reads
V350082740_L14_01-01_ivar																						329963	7795787	699804	8789252
V350082740_L14_02-02		12469833	12469833	0.004927487	0.0	12746443.0	99.78678811224144	92.79300762082777	0.0008924602608583057	12773678.0															
V350082740_L14_02-02_1											81.2712	0.920506	1175393722.0	0.387045	99.77841041970947	0.08264304002657075	97.16203459400529	37.0	100.0	30.0	6401023.0				
V350082740_L14_02-02_2																	96.90749848448212	39.0	100.0	30.0	6401023.0				
V350082740_L14_02-02_ivar																						351768	11468486	1054040	12821601
V350082740_L14_03-03		2410519	2410519	0.006452227	0.0	3804518.0	37.06610839951357	35.147565183724076	0.018423361640943783	10264142.0															
V350082740_L14_03-03_1											73.8367	0.903254	767190305.0	0.577164	99.53284984672696	31.38893338799936	92.10781455247728	56.0	100.0	40.0	5156158.0				
V350082740_L14_03-03_2																	90.04555234060946	57.0	100.0	40.0	5156158.0				
V350082740_L14_03-03_ivar																						1434928	2257955	838180	3845447
V350082740_L14_04-04		46177636	46177636	0.005330779	0.0	47288027.0	99.1040589929526	94.47753802587962	0.0006161515967652461	47715530.0															
V350082740_L14_04-04_1											80.2992	0.922766	4397740713.0	0.381617	99.76441933717604	0.22752265587894538	97.16470561151988	38.0	100.0	30.0	23914102.0				
V350082740_L14_04-04_2																	97.2022665853152	38.0	100.0	30.0	23914102.0				
V350082740_L14_04-04_ivar																						1198115	42394049	3932600	47375751
V350082740_L14_05-05		24653969	24653969	0.005343803	0.0	25230302.0	99.69994745168324	94.37209029206005	0.0006836260187904688	25306234.0															
V350082740_L14_05-05_1											78.8932	0.922445	2332208610.0	0.378932	99.76892428205556	0.1794846300269278	97.08296140320145	37.0	100.0	30.0	12682423.0				
V350082740_L14_05-05_2																	96.80858880985755	38.0	100.0	30.0	12682423.0				
V350082740_L14_05-05_ivar																						626752	22693854	2032878	25280721
V350082740_L14_06-06		21281066	21281066	0.005527037	0.0	21751835.0	99.80131807378324	94.0748344883157	0.0008901067751899529	21795138.0															
V350082740_L14_06-06_1											80.3386	0.919774	2004110059.0	0.379067	99.79690919550693	0.06584402237927511	97.12414992402321	37.0	100.0	30.0	10919746.0				
V350082740_L14_06-06_2																	97.18542449885102	38.0	100.0	30.0	10919746.0				
V350082740_L14_06-06_ivar																						497096	19527895	1808050	21778162
V350082740_L14_07-07		23861180	23861180	0.005523432	0.0	24594757.0	99.77525093348287	92.83855300237832	0.0008194673640631431	24650158.0															
V350082740_L14_07-07_1											78.3852	0.911027	2244470358.0	0.376744	99.76103641379949	0.11308336763903848	96.92656545397544	37.0	100.0	30.0	12354602.0				
V350082740_L14_07-07_2																	96.6548526151385	37.0	100.0	30.0	12354602.0				
V350082740_L14_07-07_ivar																						774899	21990987	1955122	24636079
V350082740_L14_08-08		7410181	7410181	0.005329118	0.0	7711871.0	99.80033129294837	87.45652427109081	0.0006341154090044388	7727300.0															
V350082740_L14_08-08_1											77.077	0.900712	695815271.0	0.375664	99.73494534473885	0.049562226149340284	96.4139060676242	37.0	100.0	30.0	3873918.0				
V350082740_L14_08-08_2																	95.38866709222661	37.0	100.0	30.0	3873918.0				
V350082740_L14_08-08_ivar																						310223	6813843	627324	7720404
V350082740_L14_09-09		9496930	9496930	0.004996845	0.0	9855707.0	99.79739190555905	86.40574516318614	0.0007290610625092904	9875716.0															
V350082740_L14_09-09_1											78.6539	0.904962	893424779.0	0.376158	99.74173057081059	0.0573460745713083	96.85286834842871	37.0	100.0	30.0	4950644.0				
V350082740_L14_09-09_2																	95.99076764789635	37.0	100.0	30.0	4950644.0				
V350082740_L14_09-09_ivar																						368348	8728087	801858	9865278
V350082740_L14_10-10		19239897	19239897	0.004772552	0.0	19769768.0	99.81775094487168	91.21069396417141	0.0005907341381320199	19805864.0															
V350082740_L14_10-10_1											80.9562	0.916969	1815696546.0	0.378185	99.78336291689035	0.05634579389530806	97.26580985945047	37.0	100.0	30.0	9924432.0				
V350082740_L14_10-10_2																	96.92248043795529	38.0	100.0	30.0	9924432.0				
V350082740_L14_10-10_ivar																						543667	17712338	1580542	19783564
V350082740_L14_11-11		29863949	29863949	0.004621706	0.0	30640265.0	99.80417508784255	93.55879717986589	0.0007556908734431465	30700384.0															
V350082740_L14_11-11_1											83.2893	0.923057	2832507111.0	0.378309	99.77335157960364	0.09050987249840137	97.69162804431879	37.0	100.0	30.0	15385062.0				
V350082740_L14_11-11_2																	97.35981126026834	38.0	100.0	30.0	15385062.0				
V350082740_L14_11-11_ivar																						798627	27530879	2415219	30662576
V350082740_L14_12-12		19395885	19395885	0.004845831	0.0	20043312.0	99.77425076891632	91.93121970990403	0.0007914912401831442	20088662.0															
V350082740_L14_12-12_1											81.2392	0.912174	1831805765.0	0.37913	99.75250395957912	0.07212055076186394	97.43241983866132	37.0	100.0	30.0	10069252.0				
V350082740_L14_12-12_2																	96.45711351070328	38.0	100.0	30.0	10069252.0				
V350082740_L14_12-12_ivar																						662258	17998154	1455098	20058143
V350082740_L14_13-13		27931854	27931854	0.004821455	0.0	28874573.0	99.80492557985359	91.47158706177213	0.0006325392718747115	28931010.0															
V350082740_L14_13-13_1											82.351	0.910235	2632524443.0	0.380062	99.76107831719523	0.06504760744182699	97.69365324721406	37.0	100.0	30.0	14500149.0				
V350082740_L14_13-13_2																	97.02071199597691	38.0	100.0	30.0	14500149.0				
V350082740_L14_13-13_ivar																						975121	25615715	2409929	28906975
V350082740_L14_14-14		5574809	5574809	0.005605843	0.0	5718864.0	98.92876233179202	89.76278328740536	0.0006919469484274641	5780790.0															
V350082740_L14_14-14_1											74.816	0.92298	532228769.0	0.381552	99.78037508841784	0.5900391368692645	95.51059521946418	37.0	100.0	30.0	2896757.0				
V350082740_L14_14-14_2																	95.11848674790191	38.0	100.0	30.0	2896757.0				
V350082740_L14_14-14_ivar																						153471	5040017	553277	5728280
V350082740_L14_15-15		23330695	23330695	0.005023626	0.0	23976593.0	99.76633136033122	93.54676431120033	0.0005617334678719663	24032750.0															
V350082740_L14_15-15_1											81.2252	0.915347	2198915343.0	0.380395	99.78054942856743	0.09005378565106478	97.30376479563263	37.0	100.0	30.0	12042803.0				
V350082740_L14_15-15_2																	97.0487425101835	38.0	100.0	30.0	12042803.0				
V350082740_L14_15-15_ivar																						696787	21499878	1909531	24027482
V350082740_L14_16-16		13978660	13978660	0.005200129	0.0	14369488.0	99.76318417106614	91.24554850808805	0.0008053543288281164	14403598.0															
V350082740_L14_16-16_1											79.3102	0.917682	1321237687.0	0.379064	99.75594985634577	0.08529773452652277	96.81798357888819	37.0	100.0	30.0	7219418.0				
V350082740_L14_16-16_2																	96.34965578906989	38.0	100.0	30.0	7219418.0				
V350082740_L14_16-16_ivar																						414626	12823361	1200768	14393286
V350082740_L14_17-17		26191613	26191613	0.005542178	0.0	26830770.0	96.63811307883506	87.57088002270552	0.00087162699263115	27764170.0															
V350082740_L14_17-17_1											78.27690000000001	0.926474	2501249239.0	0.382789	99.78179245729883	4.53882901802365	96.36608104288507	38.0	100.0	30.0	13912443.0				
V350082740_L14_17-17_2																	96.54610807197663	38.0	100.0	30.0	13912443.0				
V350082740_L14_17-17_ivar																						692644	24076442	2254434	26884257
V350082740_L14_18-18		6470270	6470270	0.005485482	0.0	6597267.0	99.36684628388758	93.56040934411197	0.0008434619050430587	6639304.0															
V350082740_L14_18-18_1											72.3647	0.928233	614479056.0	0.381414	99.75059736438506	0.6163249950720443	95.60620187794238	37.0	100.0	20.0	3327952.0				
V350082740_L14_18-18_2																	94.21850271329407	38.0	100.0	30.0	3327952.0				
V350082740_L14_18-18_ivar																						148246	5957723	531399	6618516
V350082740_L14_19-19		15738071	15738071	0.005260936	0.0	16152191.0	99.73583776495569	92.59120670291989	0.0006668736444866962	16194972.0															
V350082740_L14_19-19_1											78.3369	0.920414	1489785543.0	0.379179	99.73484464985528	0.11981750493348085	96.8824797050502	37.0	100.0	30.0	8119014.0				
V350082740_L14_19-19_2																	95.95096535317543	38.0	100.0	30.0	8119014.0				
V350082740_L14_19-19_ivar																						448885	14463016	1324469	16186956
V350082740_L14_20-20		25923313	25923313	0.00555684	0.0	26685856.0	91.30496666663018	82.73179939979131	0.0008587900134559734	29227168.0															
V350082740_L14_20-20_1											78.1921	0.922327	2609347682.0	0.393762	99.76129379622598	6.367462556535456	95.8122753142181	39.0	100.0	30.0	14648551.0				
V350082740_L14_20-20_2																	95.6361602868276	39.0	100.0	30.0	14648551.0				
V350082740_L14_20-20_ivar																						796056	23724337	2391023	26719369
V350082740_L14_21-21		21702525	21702525	0.004863543	0.0	22351230.0	99.7720768724983	91.22512921670062	0.0007097488694236169	22402290.0															
V350082740_L14_21-21_1											81.6862	0.915239	2049514074.0	0.377834	99.76263373506252	0.07239176771647793	97.28539981347046	37.0	100.0	30.0	11227796.0				
V350082740_L14_21-21_2																	97.05745238211564	38.0	100.0	30.0	11227796.0				
V350082740_L14_21-21_ivar																						664890	19962134	1806537	22367415
V350082740_L14_22-22		32191205	32191205	0.004967588	0.0	32973748.0	99.88242052328926	94.55502456579865	0.0006179465490774967	33012564.0															
V350082740_L14_22-22_1											82.3979	0.919111	3033585390.0	0.378874	99.814705564348	0.05626197471791006	97.48022355988576	37.0	100.0	30.0	16536924.0				
V350082740_L14_22-22_2																	97.66758884875587	38.0	100.0	30.0	16536924.0				
V350082740_L14_22-22_ivar																						806189	29700543	2573142	32997394
V350082740_L14_23-23		32538192	32538192	0.005421106	0.0	33402794.0	99.67078568980916	94.25999796378278	0.0007608959403486228	33513124.0															
V350082740_L14_23-23_1											80.6701	0.915925	3066508124.0	0.379741	99.78230964718347	0.23904433714785206	97.06237835986262	37.0	100.0	30.0	16793119.0				
V350082740_L14_23-23_2																	97.21651398722847	38.0	100.0	20.0	16793119.0				
V350082740_L14_23-23_ivar																						923118	30079345	2562667	33461310
V350082740_L14_24-24		13254310	13254310	0.005496364	0.0	13715435.0	99.81303570027667	88.30603838433619	0.0006185810391375496	13741126.0															
V350082740_L14_24-24_1											79.0875	0.906105	1244697950.0	0.379224	99.74350453694134	0.08232883014521436	97.09930317162502	37.0	100.0	30.0	6888231.0				
V350082740_L14_24-24_2																	96.1098579588168	38.0	100.0	30.0	6888231.0				
V350082740_L14_24-24_ivar																						506593	12249215	1053266	13760903
V350082740_L14_25-25		21690969	21690969	0.005262359	0.0	22122909.0	99.62701075316853	93.70493224858048	0.0005539109853337881	22205734.0															
V350082740_L14_25-25_1											81.23700000000001	0.926461	2056854294.0	0.379502	99.80603077277114	0.053350976161057925	97.23141230385437	37.0	100.0	30.0	11124445.0				
V350082740_L14_25-25_2																	97.35388571297874	38.0	100.0	30.0	11124445.0				
V350082740_L14_25-25_ivar																						466707	19975813	1768937	22157676
V350082740_L14_26-26		29778431	29778431	0.006714371	0.0	30690436.0	99.71481124374606	94.00314092319593	0.0008025157536766592	30778212.0															
V350082740_L14_26-26_1											80.30890000000001	0.912103	2805301790.0	0.379612	99.76283072181337	0.1336795868658331	97.05873195675267	37.0	100.0	30.0	15425691.0				
V350082740_L14_26-26_2																	97.08318186452063	38.0	100.0	30.0	15425691.0				
V350082740_L14_26-26_ivar																						936188	27423555	2450006	30714619
V350082740_L14_27-27		26263011	26263011	0.005233552	0.0	26929423.0	99.80174494100305	93.10988529854333	0.0007486217761918855	26982918.0															
V350082740_L14_27-27_1											80.8855	0.920248	2482146683.0	0.376595	99.77931852400562	0.09115988716467902	97.28356320825232	37.0	100.0	30.0	13521298.0				
V350082740_L14_27-27_2																	97.05825026408155	37.0	100.0	20.0	13521298.0				
V350082740_L14_27-27_ivar																						698722	24263969	2073984	26961733
V350082740_L14_28-28		23420672	23420672	0.006530922	0.0	24094082.0	99.77010799350714	91.5715374167688	0.0007039454069632623	24149600.0															
V350082740_L14_28-28_1											82.08290000000001	0.918909	2218380431.0	0.381618	99.77263031533549	0.06538417395611104	97.4290628444177	37.0	100.0	30.0	12102317.0				
V350082740_L14_28-28_2																	97.00395504647199	38.0	100.0	30.0	12102317.0				
V350082740_L14_28-28_ivar																						700422	21419413	2076475	24121094
V350082740_L14_29-29		39581491	39581491	0.006182525	0.0	40662714.0	99.82742742691627	93.96352952868101	0.0007266833816937851	40733008.0															
V350082740_L14_29-29_1											82.9048	0.916585	3732268720.0	0.378487	99.78519717402145	0.07346274286579954	97.50867755295282	37.0	100.0	30.0	20410346.0				
V350082740_L14_29-29_2																	97.56210382710131	38.0	100.0	30.0	20410346.0				
V350082740_L14_29-29_ivar																						1106263	36455162	3226401	40687754
V350082740_L14_30-30		29960783	29960783	0.005477712	0.0	30878544.0	99.80769305360003	93.55120104570295	0.0007143309660211183	30938040.0															
V350082740_L14_30-30_1											81.50659999999999	0.913022	2823306157.0	0.380331	99.7722121236142	0.10010747315412456	97.3818509050577	37.0	100.0	30.0	15504337.0				
V350082740_L14_30-30_2																	97.16235016523888	38.0	100.0	20.0	15504337.0				
V350082740_L14_30-30_ivar																						960638	27608023	2453599	30921421
V350082740_L14_31-31		10773059	10773059	0.006559202	0.0	11099328.0	99.82458589175553	88.82343037470123	0.0007734625363527392	11118832.0															
V350082740_L14_31-31_1											78.9951	0.916224	1018487145.0	0.377127	99.7736909339619	0.052314903053216184	96.8827766313594	37.0	100.0	30.0	5572026.0				
V350082740_L14_31-31_2																	96.24975484952964	38.0	100.0	30.0	5572026.0				
V350082740_L14_31-31_ivar																						335350	9806994	998677	11108409
V350082740_L14_32-32		38088432	38088432	0.006958417	0.0	39088068.0	99.77628484589047	92.6066636699118	0.0007223863970812526	39175710.0															
V350082740_L14_32-32_1											81.9145	0.920745	3605112587.0	0.38217	99.77220006460689	0.10416869348488009	97.34279880345551	37.0	100.0	30.0	19632578.0				
V350082740_L14_32-32_2																	97.42161527006532	38.0	100.0	30.0	19632578.0				
V350082740_L14_32-32_ivar																						1049073	34813190	3389148	39137505
V350082740_L14_33-33		17468891	17468891	0.006722635	0.0	17997344.0	99.80598181155736	89.96578922413244	0.0006710170011307469	18032330.0															
