Sample	Pangolin_mqc-generalstats-pangolin-lineage	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	iVar_mqc-generalstats-ivar-reads_too_short_after_trimming	iVar_mqc-generalstats-ivar-reads_outside_primer_region	iVar_mqc-generalstats-ivar-trimmed_reads	iVar_mqc-generalstats-ivar-mapped_reads
V350082740_L14_44-44_1											79.047	0.903611	1546310186.0	0.37644	99.73983016422616	0.06680492983792725	97.10072225624269	37.0	100.0	30.0	8581702.0				
V350082740_L14_44-44_2																	96.21663495627482	37.0	100.0	30.0	8581702.0				
V350082740_L14_44-44_ivar																						643068	15183856	1334414	17102895
V350082740_L14_45-45		10285394	10285394	0.005448989	0.0	10617056.0	99.68587425656156	87.8995113098788	0.0005821316383663057	10650512.0															
V350082740_L14_45-45_1											77.3352	0.911834	970732213.0	0.376754	99.70373033169322	0.08322286878309255	96.6812514059094	37.0	100.0	30.0	5341080.0				
V350082740_L14_45-45_2																	95.27304811976644	37.0	100.0	30.0	5341080.0				
V350082740_L14_45-45_ivar																						350850	9398559	920727	10636244
V350082740_L14_46-46		7921708	7921708	0.006167493	0.0	8210572.0	99.79514856772944	85.8357158119684	0.0004740243181767906	8227426.0															
V350082740_L14_46-46_1											78.7436	0.908391	747163703.0	0.376648	99.74978370681896	0.048544725162171384	96.80255770675666	37.0	100.0	30.0	4124032.0				
V350082740_L14_46-46_2																	95.83256674736454	37.0	100.0	30.0	4124032.0				
V350082740_L14_46-46_ivar																						294610	7258242	689899	8216318
V350082740_L14_47-47		3825757	3825757	0.005928527	0.0	3970642.0	99.86323212812619	83.90580672421079	0.0004527071889901612	3976080.0															
V350082740_L14_47-47_1											75.1144	0.902575	358830149.0	0.373687	99.77220476578343	0.028204653366315717	95.63605759169398	37.0	100.0	30.0	1992579.0				
V350082740_L14_47-47_2																	94.97462768429159	37.0	100.0	30.0	1992579.0				
V350082740_L14_47-47_ivar																						147056	3535427	303209	3972813
V350082740_L14_48-48		8528236	8528236	0.005269532	0.0	8836025.0	99.77070642789813	88.25066630293445	0.0007452295148826851	8856332.0															
V350082740_L14_48-48_1											79.1663	0.91005	805677269.0	0.375526	99.72693231141832	0.06152749898598989	96.74610019679932	37.0	100.0	30.0	4440291.0				
V350082740_L14_48-48_2																	95.8239128680832	37.0	100.0	30.0	4440291.0				
V350082740_L14_48-48_ivar																						313253	7879219	677945	8841489
V350082740_L14_49-49		13137301	13137301	0.01126828	0.0	13528533.0	99.7987063858918	91.83125771808713	0.0009737514956675436	13555820.0															
V350082740_L14_49-49_1											78.6206	0.91548	1240565446.0	0.381851	99.76722634007504	0.06868103561463493	96.71109142755222	37.0	100.0	30.0	6793724.0				
V350082740_L14_49-49_2																	96.38276584240477	38.0	100.0	20.0	6793724.0				
V350082740_L14_49-49_ivar																						3	12075291	1104224	13544037
V350082740_L14_50-50		39431064	39431064	0.01298668	0.0	40352473.0	99.29423229125153	93.14724774240653	0.0008317074027766036	40639292.0															
V350082740_L14_50-50_1											80.44879999999999	0.924337	3742578754.0	0.385009	99.78173837646489	0.6142134589544449	96.99268537971057	38.0	100.0	20.0	20364093.0				
V350082740_L14_50-50_2																	97.37679611777519	38.0	100.0	30.0	20364093.0				
V350082740_L14_50-50_ivar																						974246	36256248	3292288	40405310
V350082740_L14_51-51		20500299	20500299	0.01076788	0.0	21117134.0	99.8096458696642	93.02964710989173	0.0008602187942870884	21157408.0															
V350082740_L14_51-51_1											81.2675	0.91518	1935640609.0	0.381606	99.77408492984353	0.06596459736460399	97.28922933229367	37.0	100.0	30.0	10602657.0				
V350082740_L14_51-51_2																	96.7843420155904	38.0	100.0	30.0	10602657.0				
V350082740_L14_51-51_ivar																						3	18837979	1731041	21135376
V350082740_L14_52-52		20021955	20021955	0.00960735	0.0	20574964.0	99.87501402864135	91.68737468879716	0.0007135675698975841	20600712.0															
V350082740_L14_52-52_1											81.45949999999999	0.915992	1886637677.0	0.382038	99.797244199195	0.04245596211246218	97.37321233634316	37.0	100.0	30.0	10321283.0				
V350082740_L14_52-52_2																	97.11706778290531	38.0	100.0	30.0	10321283.0				
V350082740_L14_52-52_ivar																						572559	18376304	1702669	20594514
V350082740_L14_53-53		14566796	14566796	0.006773426	0.0	17638226.0	82.91705007123403	82.44284282902693	0.011728959586283163	21272134.0															
V350082740_L14_53-53_1											69.47149999999999	0.897326	1650653997.0	0.423692	99.5080203277251	26.081761658835777	92.97824608909471	44.0	100.0	30.0	10688653.0				
V350082740_L14_53-53_2																	91.61869832326386	44.0	100.0	40.0	10688653.0				
V350082740_L14_53-53_ivar																						3165630	13304413	2644251	17732426
V350082740_L14_54-54		30755053	30755053	0.006967518	0.0	31531480.0	99.85547129411873	94.51130403984303	0.000731542378249972	31577118.0															
V350082740_L14_54-54_1											83.1232	0.919625	2903217794.0	0.388063	99.78805585329324	0.05207907702223719	97.67250380690786	38.0	100.0	20.0	15822093.0				
V350082740_L14_54-54_2																	97.51784825532408	39.0	100.0	30.0	15822093.0				
V350082740_L14_54-54_ivar																						809850	28449431	2382474	31564903
V350082740_L14_55-55		37996534	37996534	0.01080245	0.0	38987594.0	99.7834266571124	93.2274377899343	0.0007959620614281034	39072214.0															
V350082740_L14_55-55_1											82.6335	0.922084	3600942751.0	0.381717	99.7733559715196	0.09780656607841941	97.40820808075183	37.0	100.0	30.0	19580485.0				
V350082740_L14_55-55_2																	97.44222989891254	38.0	100.0	30.0	19580485.0				
V350082740_L14_55-55_ivar																						1020539	34868911	3237808	39017073
V350082740_L14_56-56		30093846	30093846	0.01070479	0.0	31134381.0	85.33311987980824	72.14227581911969	0.002310494628387773	36485694.0															
V350082740_L14_56-56_1											81.5144	0.929293	3107529829.0	0.409764	99.80011908497572	13.344640060080797	96.87227395304411	41.0	100.0	30.0	18279384.0				
V350082740_L14_56-56_2																	97.25053317149812	41.0	100.0	30.0	18279384.0				
V350082740_L14_56-56_ivar																						1113586	27826294	2747857	31207432
V350082740_L14_57-57		25320251	25320251	0.01060196	0.0	25870184.0	99.88751826496113	92.6745864639823	0.0005946102978163593	25899316.0															
V350082740_L14_57-57_1											81.9041	0.924697	2394505733.0	0.381416	99.79916332953599	0.041554540565693555	97.50308185755377	37.0	100.0	30.0	12975718.0				
V350082740_L14_57-57_2																	97.35232678578612	38.0	100.0	30.0	12975718.0				
V350082740_L14_57-57_ivar																						588856	23298228	2087618	25909107
V350082740_L14_58-58		38026737	38026737	0.01284319	0.0	39044128.0	99.7378072182102	93.82868593391925	0.0008480904477222743	39146768.0															
V350082740_L14_58-58_1											82.3041	0.919273	3596573051.0	0.385452	99.77130986562562	0.11627949059062305	97.29395683754917	38.0	100.0	20.0	19618249.0				
V350082740_L14_58-58_2																	97.41289975043057	38.0	100.0	20.0	19618249.0				
V350082740_L14_58-58_ivar																						1090906	34902626	3253394	39117643
V350082740_L14_59-59		53746721	53746721	0.0136254	0.0	55096626.0	99.65623907964812	95.16425294483228	0.000781381699895888	55286680.0															
V350082740_L14_59-59_1											81.8669	0.919556	5077557205.0	0.387827	99.77321660411201	0.23838369882408514	97.19493434554394	38.0	100.0	20.0	27706173.0				
V350082740_L14_59-59_2																	97.58610189418604	39.0	100.0	30.0	27706173.0				
V350082740_L14_59-59_ivar																						1448484	49336040	4589293	55195205
V350082740_L14_60-60		45801549	45801549	0.009482032	0.0	46843273.0	99.77388650836075	95.13767919492615	0.0007966017565452124	46949432.0															
V350082740_L14_60-60_1											80.6072	0.92292	4330251976.0	0.381753	99.77043808868724	0.16019989860055764	97.14402276273071	37.0	100.0	20.0	23528729.0				
V350082740_L14_60-60_2																	97.16079897369711	38.0	100.0	30.0	23528729.0				
V350082740_L14_60-60_ivar																						1138634	42194452	3733371	46940183
V350082740_L14_61-61		6605393	6605393	0.006320043	0.0	8074244.0	86.29089262099437	85.94426465046618	0.02619427624605563	9357006.0															
V350082740_L14_61-61_1											71.59609999999999	0.9247	712719476.0	0.409746	99.67206346284621	32.361070633009334	92.58483433155716	42.0	100.0	40.0	4693896.0				
V350082740_L14_61-61_2																	91.4959915717495	43.0	100.0	30.0	4693896.0				
V350082740_L14_61-61_ivar																						1495573	6095162	1117940	8100966
V350082740_L14_62-62		28196372	28196372	0.02269874	0.0	29014910.0	99.67760216204361	94.40660397854171	0.0009344267408748076	29108756.0															
V350082740_L14_62-62_1											80.355	0.913405	2657078220.0	0.391792	99.76780629836983	0.12054220893237991	97.20078299196764	38.0	100.0	40.0	14588251.0				
V350082740_L14_62-62_2																	97.114628238102	39.0	100.0	40.0	14588251.0				
V350082740_L14_62-62_ivar																						877733	25683224	2620140	29074105
V350082740_L14_63-63		15466950	15466950	0.01055323	0.0	15894856.0	99.82574456109623	90.92479985369225	0.0006280380555891556	15922602.0															
V350082740_L14_63-63_1											79.54769999999999	0.916675	1459202231.0	0.384266	99.77000255900819	0.06282227274515913	97.03829592061373	38.0	100.0	30.0	7979654.0				
V350082740_L14_63-63_2																	96.38303644992503	38.0	100.0	30.0	7979654.0				
V350082740_L14_63-63_ivar																						456664	14160056	1356916	15923614
V350082740_L14_64-64		27302231	27302231	0.007665265	0.0	28063695.0	99.03989476473323	93.76178811302246	0.0007905208643159869	28335748.0															
V350082740_L14_64-64_1											76.75659999999999	0.915279	2586629594.0	0.38253	99.78099819916515	0.4585121315137647	96.686981328852	38.0	100.0	30.0	14198970.0				
V350082740_L14_64-64_2																	96.69020863750136	38.0	100.0	30.0	14198970.0				
V350082740_L14_64-64_ivar																						779838	24904877	2482830	28082069
V350082740_L14_65-65		44145616	44145616	0.007207857	0.0	45193712.0	99.60836563965998	94.39766485505562	0.0007559828104937114	45371402.0															
V350082740_L14_65-65_1											81.3961	0.924537	4187149559.0	0.382444	99.77848848419849	0.3111796307399557	97.05946741257219	37.0	100.0	30.0	22736064.0				
V350082740_L14_65-65_2																	97.5185612854306	38.0	100.0	30.0	22736064.0				
V350082740_L14_65-65_ivar																						1071973	40544493	3726438	45217589
V350082740_L14_66-66		29091469	29091469	0.01545918	0.0	29860576.0	99.65989464156505	93.47495934915935	0.000687526533184169	29962480.0															
V350082740_L14_66-66_1											80.30969999999999	0.920316	2755973309.0	0.385543	99.77889946855815	0.10270115356306733	97.27378212463664	38.0	100.0	20.0	15014437.0				
V350082740_L14_66-66_2																	97.07210886556643	38.0	100.0	30.0	15014437.0				
V350082740_L14_66-66_ivar																						807439	26625522	2560473	29898908
V350082740_L14_67-67		21536040	21536040	0.007104598	0.0	22076432.0	99.03651682520155	93.90085883203079	0.0007267440556373716	22291204.0															
V350082740_L14_67-67_1											78.8041	0.920732	2044533963.0	0.384954	99.78497923698202	0.6842220849251887	96.92357914375371	38.0	100.0	30.0	11169619.0				
V350082740_L14_67-67_2																	96.80748581138111	38.0	100.0	30.0	11169619.0				
V350082740_L14_67-67_ivar																						571844	19365191	2249599	22107884
V350082740_L14_68-68		11587525	11587525	0.007595325	0.0	11999525.0	85.11845624191963	69.37041485966036	0.0029508899557806304	14097442.0															
V350082740_L14_68-68_1											75.88380000000001	0.923247	1187256188.0	0.401843	99.77884712296003	14.573596642519107	95.91328660385419	41.0	100.0	30.0	7064344.0				
V350082740_L14_68-68_2																	95.6658133869158	41.0	100.0	30.0	7064344.0				
V350082740_L14_68-68_ivar																						436520	10764734	984190	12024045
V350082740_L14_69-69		25237908	25237908	0.007436248	0.0	25993427.0	99.77831712638869	93.81273276778501	0.0008329757679288054	26051178.0															
V350082740_L14_69-69_1											78.3184	0.911291	2372485962.0	0.382825	99.7719022550724	0.1199966174833218	96.86272039363115	37.0	100.0	20.0	13055368.0				
V350082740_L14_69-69_2																	96.89168612065077	38.0	100.0	30.0	13055368.0				
V350082740_L14_69-69_ivar																						792975	23275547	2051651	26030883
V350082740_L14_70-70		31020214	31020214	0.007213385	0.0	31727893.0	99.37196692576086	93.57299739348156	0.0009020178703520945	31928414.0															
V350082740_L14_70-70_1											79.8037	0.925677	2944026475.0	0.381931	99.76603031963087	0.6583447727815	97.06902169166996	37.0	100.0	30.0	16001646.0				
V350082740_L14_70-70_2																	96.97815665366542	38.0	100.0	30.0	16001646.0				
V350082740_L14_70-70_ivar																						756808	28257768	2861792	31777022
V350082740_L14_71-71		9642834	9642834	0.009569411	0.0	9877598.0	92.0433238105586	82.64166331049272	0.0005777402640049365	10731466.0															
V350082740_L14_71-71_1											72.13619999999999	0.924422	980430294.0	0.39689	99.78921594244594	2.1323148846759765	95.43413918544364	39.0	100.0	30.0	5377067.0				
V350082740_L14_71-71_2																	95.27152647980697	40.0	100.0	30.0	5377067.0				
V350082740_L14_71-71_ivar																						249188	88	979130	9892022
V350082740_L14_72-72		21193942	21193942	0.0115356	0.0	21782753.0	99.78623798272936	91.82883316713557	0.0007283749597332334	21829416.0															
V350082740_L14_72-72_1											80.3093	0.917939	2003000592.0	0.383505	99.77419257528514	0.08332259235187273	97.17001910652142	38.0	100.0	20.0	10939410.0				
V350082740_L14_72-72_2																	96.82937634724153	38.0	100.0	30.0	10939410.0				
V350082740_L14_72-72_ivar																						616033	19359842	1901806	21809975
V350082740_L14_73-73		19993305	19993305	0.006616854	0.0	20479559.0	90.77831582030613	77.6019983716289	0.0007624124289538	22559968.0															
V350082740_L14_73-73_1											78.8065	0.926334	1950967175.0	0.393451	99.81077513706525	10.667875723728692	96.66943792616658	39.0	100.0	30.0	11301369.0				
V350082740_L14_73-73_2																	96.82036551778317	40.0	100.0	30.0	11301369.0				
V350082740_L14_73-73_ivar																						523973	18546261	1585964	20517278
V350082740_L14_74-74		23097893	23097893	0.007025651	0.0	23800698.0	89.36207263466656	74.2636293063559	0.0011338888437502674	26634004.0															
V350082740_L14_74-74_1											76.6735	0.925027	2267868793.0	0.393748	99.75645555336322	13.654998975992685	95.40636014708866	40.0	100.0	30.0	13349514.0				
V350082740_L14_74-74_2																	95.18830977849768	40.0	100.0	30.0	13349514.0				
V350082740_L14_74-74_ivar																						812833	21407121	1986775	23910726
V350082740_L14_75-75		21559997	21559997	0.007682226	0.0	22126093.0	99.58121248955405	93.12797108655491	0.0007786078527597642	22219144.0															
V350082740_L14_75-75_1											77.7534	0.916668	2032449415.0	0.383933	99.78567259661305	0.3637781478742318	96.72456570701821	38.0	100.0	30.0	11133434.0				
V350082740_L14_75-75_2																	96.77470759387172	38.0	100.0	30.0	11133434.0				
V350082740_L14_75-75_ivar																						590086	19731866	1897897	22150083
V350082740_L14_76-76		7683780	7683780	0.006923751	0.0	8599568.0	91.24204271063594	87.26765797284372	0.01920423180632458	9425006.0															
V350082740_L14_76-76_1											73.21079999999999	0.925754	759298626.0	0.396305	99.7566468578846	22.045728629493784	94.35150191327702	41.0	100.0	40.0	4723999.0				
V350082740_L14_76-76_2																	94.00939861116949	41.0	100.0	40.0	4723999.0				
V350082740_L14_76-76_ivar																						947363	7110101	1050524	8631143
V350082740_L14_77-77		8288199	8288199	0.006096724	0.0	9605321.0	89.90321851190015	89.75343474040038	0.040630591269168265	10684068.0															
V350082740_L14_77-77_1											77.5541	0.938129	804486639.0	0.408328	99.79176866988058	32.66635295910974	95.05202974120208	42.0	100.0	40.0	5353181.0				
V350082740_L14_77-77_2																	95.26530190243354	43.0	100.0	40.0	5353181.0				
V350082740_L14_77-77_ivar																						1330990	7800596	11	9619189
V350082740_L14_78-78		16637430	16637430	0.01424016	0.0	17104520.0	99.75497088799405	91.62108213823272	0.0007931632130435223	17146534.0															
V350082740_L14_78-78_1											80.03139999999999	0.914308	1566908572.0	0.388758	99.7547341007681	0.11500584221300841	96.98876057989254	38.0	100.0	20.0	8594346.0				
V350082740_L14_78-78_2																	96.65966365958892	39.0	100.0	30.0	8594346.0				
V350082740_L14_78-78_ivar																						517561	15197085	1503072	17154991
V350082740_L14_79-79		19857354	19857354	0.01277062	0.0	20500124.0	99.58545497647368	90.89870228792556	0.0007626742370585841	20585460.0															
V350082740_L14_79-79_1											73.5943	0.911851	1872968398.0	0.38154	99.7595357032781	0.3832599631307463	96.45439256712413	37.0	100.0	20.0	10317540.0				
V350082740_L14_79-79_2																	95.79586253855159	38.0	100.0	30.0	10317540.0				
V350082740_L14_79-79_ivar																						669323	18054313	1882783	20526677
V350082740_L14_80-80		27317469	27317469	0.01835321	0.0	28065777.0	99.77967309863035	91.89855569677631	0.0007750353298788562	28127750.0															
V350082740_L14_80-80_1											81.392	0.91801	2581064060.0	0.389795	99.75802222572312	0.09435388267078376	97.41617118877478	38.0	100.0	20.0	14097989.0				
V350082740_L14_80-80_2																	97.03378925578801	39.0	100.0	30.0	14097989.0				
V350082740_L14_80-80_ivar																						827014	24980760	2437604	28144483
V350082740_L14_81-81		16665084	16665084	0.009449525	0.0	17091030.0	99.85331969785703	93.81539151126165	0.00064266841534795	17116136.0															
V350082740_L14_81-81_1											80.36370000000001	0.918657	1571999746.0	0.381133	99.79098630327707	0.05250703912654779	97.09899971799103	37.0	100.0	20.0	8575993.0				
V350082740_L14_81-81_2																	96.96831569963382	38.0	100.0	30.0	8575993.0				
V350082740_L14_81-81_ivar																						442607	15234318	1476933	17107691
V350082740_L14_82-82		8486621	8486621	0.007511711	0.0	8716657.0	99.77305515582698	91.79374677501842	0.000984377697023196	8736484.0															
V350082740_L14_82-82_1											74.56230000000001	0.918754	802220032.0	0.384169	99.77326137935745	0.10312530192416053	96.06582658157103	38.0	100.0	20.0	4378169.0				
V350082740_L14_82-82_2																	95.7836046038376	38.0	100.0	30.0	4378169.0				
V350082740_L14_82-82_ivar																						239734	7726576	9	8726355
V350082740_L14_83-83		19885784	19885784	0.006841349	0.0	20410196.0	98.13051858668409	91.85313930505413	0.0008558091410993685	20799030.0															
V350082740_L14_83-83_1											78.9865	0.921465	1909371741.0	0.385316	99.7790079738659	0.6297788218389592	96.83257147405625	38.0	100.0	30.0	10422548.0				
V350082740_L14_83-83_2																	96.6060924629564	38.0	100.0	30.0	10422548.0				
V350082740_L14_83-83_ivar																						543577	18154366	1796704	20429361
V350082740_L14_84-84		14408528	14408528	0.009810278	0.0	14762494.0	99.81444141280376	90.53728284729794	0.0007775556598006024	14789938.0															
V350082740_L14_84-84_1											79.3879	0.92021	1360670718.0	0.382384	99.78878963045067	0.05254620361775349	96.99253346273007	38.0	100.0	20.0	7410621.0				
V350082740_L14_84-84_2																	96.50845338991112	38.0	100.0	30.0	7410621.0				
V350082740_L14_84-84_ivar																						391468	13135771	1314380	14799996
V350082740_L14_85-85		31205877	31205877	0.01093546	0.0	32151420.0	99.7132231696128	93.01942123108728	0.0008032530072055826	32243888.0															
V350082740_L14_85-85_1											80.3847	0.914122	2944706667.0	0.381216	99.7723027486616	0.1597587732259025	97.12358284749124	37.0	100.0	30.0	16158737.0				
V350082740_L14_85-85_2																	97.08240400241947	38.0	100.0	30.0	16158737.0				
V350082740_L14_85-85_ivar																						968001	28758311	2549939	32173878
V350082740_L14_86-86		3529463	3529463	0.01394731	0.0	3612755.0	99.85745921957195	87.86510009088116	0.0006080855476860687	3617912.0															
V350082740_L14_86-86_1											74.7269	0.921485	333313264.0	0.387747	99.77738456650663	0.057474053939565097	95.25894212439988	38.0	100.0	20.0	1812992.0				
V350082740_L14_86-86_2																	94.937429398475	39.0	100.0	30.0	1812992.0				
V350082740_L14_86-86_ivar																						92718	3171387	368824	3622181
V350082740_L14_87-87		33049368	33049368	0.01336086	0.0	34054541.0	99.37309337800062	93.21527808295791	0.0007966295740763081	34269378.0															
V350082740_L14_87-87_1											77.4226	0.912708	3120044645.0	0.385248	99.75635951784929	0.43944245342105615	96.75808456675541	38.0	100.0	20.0	17176538.0				
V350082740_L14_87-87_2																	96.60518814300546	38.0	100.0	30.0	17176538.0				
V350082740_L14_87-87_ivar																						1061472	30333700	2836753	34110840
V350082740_L14_88-88		15399802	15399802	0.02216925	0.0	17424987.0	76.09061624056618	75.81878149247761	0.021078317280421095	22900310.0															
V350082740_L14_88-88_1											81.0337	0.931483	1875073628.0	0.459583	99.75175652189064	19.226241761879663	96.69385780574376	45.0	100.0	40.0	11478650.0				
V350082740_L14_88-88_2																	96.78975486339218	46.0	100.0	40.0	11478650.0				
V350082740_L14_88-88_ivar																						2078427	14413973	1805909	17478229
V350082740_L14_89-89		29152851	29152851	0.01477966	0.0	30070794.0	99.79056150238208	92.01948131118482	0.000856178419087124	30133906.0															
V350082740_L14_89-89_1											81.03399999999999	0.911431	2745366703.0	0.384494	99.75753421011477	0.08508582140889302	97.26959304769274	38.0	100.0	20.0	15103574.0				
V350082740_L14_89-89_2																	97.0422819558267	38.0	100.0	30.0	15103574.0				
V350082740_L14_89-89_ivar																						965318	26752906	2508262	30118169
V350082740_L14_90-90		22453407	22453407	0.007481032	0.0	23056448.0	97.74271950436383	90.01635344328666	0.0009114450193472223	23588916.0															
V350082740_L14_90-90_1											77.23020000000001	0.918277	2144096172.0	0.389895	99.7772568123208	1.7089977419441071	96.50007327190572	38.0	100.0	30.0	11820788.0				
V350082740_L14_90-90_2																	96.63850893841108	39.0	100.0	30.0	11820788.0				
V350082740_L14_90-90_ivar																						656958	20577834	1963202	23110365
V350082740_L14_91-91		34145660	34145660	0.006917091	0.0	34779873.0	99.8859176884189	94.73414338293873	0.0006892670437646663	34819596.0															
V350082740_L14_91-91_1											82.3322	0.928371	3231895401.0	0.38803	99.80360646608756	0.07229969496201485	97.48573951566858	37.0	100.0	20.0	17444057.0				
V350082740_L14_91-91_2																	97.73930107547939	39.0	100.0	30.0	17444057.0				
V350082740_L14_91-91_ivar																						690285	31370430	2852671	34835945
V350082740_L14_92-92		9781641	9781641	0.01445126	0.0	10050917.0	99.79880212646383	89.50339483556048	0.00048653683083809443	10071180.0															
V350082740_L14_92-92_1											77.1094	0.920281	926528602.0	0.383793	99.79798972726334	0.06952340201709031	96.52078837981453	37.0	100.0	30.0	5045783.0				
V350082740_L14_92-92_2																	96.25951753695338	38.0	100.0	30.0	5045783.0				
V350082740_L14_92-92_ivar																						277139	8808149	1004482	10058780
V350082740_L14_93-93		10975556	10975556	0.01315104	0.0	11349834.0	99.4616373920935	88.96578364472731	0.0007711675862840133	11411268.0															
V350082740_L14_93-93_1											76.1645	0.910882	1035887887.0	0.382414	99.75519421165963	0.5711027764703908	96.17002984976357	37.0	100.0	30.0	5719636.0				
V350082740_L14_93-93_2																	95.82626228644457	38.0	100.0	30.0	5719636.0				
V350082740_L14_93-93_ivar																						381687	10077114	938237	11357243
V350082740_L14_94-94		4898601	4898601	0.008987005	0.0	5053590.0	99.74231473838906	87.24596113484148	0.0008486876722786632	5066646.0															
V350082740_L14_94-94_1											76.1629	0.9132	462469966.0	0.379056	99.75515260434858	0.08655107359952054	95.50316893613235	37.0	100.0	30.0	2539541.0				
V350082740_L14_94-94_2																	95.31316693688659	38.0	100.0	30.0	2539541.0				
V350082740_L14_94-94_ivar																						158919	4426621	490020	5057520
V350082740_L14_95-95		21676533	21676533	0.007178713	0.0	22271171.0	99.81465567816034	91.96757910780697	0.0006677863366971538	22312526.0															
V350082740_L14_95-95_1											80.902	0.915685	2042384537.0	0.382468	99.78060590156709	0.08604040876170412	97.29506295249305	37.0	100.0	30.0	11180793.0				
V350082740_L14_95-95_2																	96.99973415078176	38.0	100.0	30.0	11180793.0				
V350082740_L14_95-95_ivar																						631827	19922940	1821997	22308360
V350082740_L14_96-96		30347228	30347228	0.01326313	0.0	31150040.0	99.780866763084	94.7122614992096	0.0008296376021231035	31218450.0															
V350082740_L14_96-96_1											79.7568	0.918409	2865357918.0	0.382397	99.7773084907674	0.11968118512435037	97.07821955537257	37.0	100.0	20.0	15644063.0				
V350082740_L14_96-96_2																	97.02919598805444	38.0	100.0	30.0	15644063.0				
V350082740_L14_96-96_ivar																						833077	27829692	2600587	31180305
