Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
V350082740_L14_28-28	23420672	0	0	0	20599	0	0	0	23420672	0	100.0	nan	23400073	0	11789574	0	11610499	0	21683087	0	92.66	nan	23385764	0	14309	0	0.06	nan	0	0	0	0	23420672
V350082740_L14_29-29	39581491	0	0	0	21239	0	0	0	39581491	0	100.0	nan	39560252	0	19884249	0	19676003	0	37513157	0	94.83	nan	39536603	0	23649	0	0.06	nan	0	0	0	0	39581491
V350082740_L14_30-30	29960783	0	0	0	33821	0	0	0	29960783	0	100.0	nan	29926962	0	15077747	0	14849215	0	28309451	0	94.6	nan	29911676	0	15286	0	0.05	nan	0	0	0	0	29960783
V350082740_L14_31-31	10773059	0	0	0	7132	0	0	0	10773059	0	100.0	nan	10765927	0	5434500	0	5331427	0	9706534	0	90.16	nan	10758377	0	7550	0	0.07	nan	0	0	0	0	10773059
V350082740_L14_32-32	38088432	0	0	0	37774	0	0	0	38088432	0	100.0	nan	38050658	0	19127760	0	18922898	0	35629411	0	93.64	nan	38028439	0	22219	0	0.06	nan	0	0	0	0	38088432
V350082740_L14_33-33	17468891	0	0	0	17406	0	0	0	17468891	0	100.0	nan	17451485	0	8772948	0	8678537	0	15937648	0	91.33	nan	17438947	0	12538	0	0.07	nan	0	0	0	0	17468891
V350082740_L14_34-34	19938081	0	0	0	44040	0	0	0	19938081	0	100.0	nan	19894041	0	9982179	0	9911862	0	18649293	0	93.74	nan	19881550	0	12491	0	0.06	nan	0	0	0	0	19938081
V350082740_L14_35-35	12621618	0	0	0	4845	0	0	0	12621618	0	100.0	nan	12616773	0	6385151	0	6231622	0	10937052	0	86.69	nan	12607813	0	8960	0	0.07	nan	0	0	0	0	12621618
V350082740_L14_36-36	21138162	0	0	0	19674	0	0	0	21138162	0	100.0	nan	21118488	0	10593310	0	10525178	0	20083972	0	95.1	nan	21105568	0	12920	0	0.06	nan	0	0	0	0	21138162
V350082740_L14_37-37	24977965	0	0	0	26736	0	0	0	24977965	0	100.0	nan	24951229	0	12526972	0	12424257	0	23619330	0	94.66	nan	24937628	0	13601	0	0.05	nan	0	0	0	0	24977965
V350082740_L14_38-38	10935089	0	0	0	22893	0	0	0	10935089	0	100.0	nan	10912196	0	5541845	0	5370351	0	10020769	0	91.83	nan	10898767	0	13429	0	0.12	nan	0	0	0	0	10935089
V350082740_L14_39-39	11174877	0	0	0	5728	0	0	0	11174877	0	100.0	nan	11169149	0	5649066	0	5520083	0	9852400	0	88.21	nan	11159748	0	9401	0	0.08	nan	0	0	0	0	11174877
V350082740_L14_40-40	3743319	0	0	0	2779	0	0	0	3743319	0	100.0	nan	3740540	0	1889454	0	1851086	0	3361126	0	89.86	nan	3737155	0	3385	0	0.09	nan	0	0	0	0	3743319
V350082740_L14_41-41	10107858	0	0	0	6114	0	0	0	10107858	0	100.0	nan	10101744	0	5118681	0	4983063	0	8752351	0	86.64	nan	10094348	0	7396	0	0.07	nan	0	0	0	0	10107858
V350082740_L14_42-42	13972968	0	0	0	5901	0	0	0	13972968	0	100.0	nan	13967067	0	7071661	0	6895406	0	11811591	0	84.57	nan	13958083	0	8984	0	0.06	nan	0	0	0	0	13972968
V350082740_L14_43-43	11712074	0	0	0	7318	0	0	0	11712074	0	100.0	nan	11704756	0	5958170	0	5746586	0	9916127	0	84.72	nan	11695065	0	9691	0	0.08	nan	0	0	0	0	11712074
V350082740_L14_44-44	16459827	0	0	0	14416	0	0	0	16459827	0	100.0	nan	16445411	0	8316567	0	8128844	0	14769245	0	89.81	nan	16435302	0	10109	0	0.06	nan	0	0	0	0	16459827
V350082740_L14_45-45	10285394	0	0	0	17590	0	0	0	10285394	0	100.0	nan	10267804	0	5184241	0	5083563	0	9185840	0	89.46	nan	10253223	0	14581	0	0.14	nan	0	0	0	0	10285394
V350082740_L14_46-46	7921708	0	0	0	4436	0	0	0	7921708	0	100.0	nan	7917272	0	4012122	0	3905150	0	6942796	0	87.69	nan	7911735	0	5537	0	0.07	nan	0	0	0	0	7921708
V350082740_L14_47-47	3825757	0	0	0	1780	0	0	0	3825757	0	100.0	nan	3823977	0	1938264	0	1885713	0	3283563	0	85.87	nan	3821541	0	2436	0	0.06	nan	0	0	0	0	3825757
