Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
V350082740_L14_01-01_1	5.0	6.0	3.5	0.5	0.5	0.0	0.0	0.0	0.5	0.5	0.5	1.0	1.0	0.5	0.0	0.5	2.5	3.0	3.0	3.5	8.0	13.5	21.5	32.5	80.5	319.0	1150.5	12746.0	109206.0	119453.0	103555.5	170094.0	148946.0	150728.5	259235.5	383821.0	406171.5	343940.5	301811.5	315469.5	283341.0	228857.0	218623.5	171772.5	108071.0	82737.5	122876.5	147234.0	117030.5	63656.5	12705.0	3014.0	3280.0	2820.0	1832.0	1492.0	357.0	168.0	107.5	66.0	40.5	23.5	12.5	6.0	5.0	10.0	21.0	40.0	37.0	11.5	1.5	5.5	6.0	1.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V350082740_L14_01-01_2	0.0	0.0	0.0	1.0	1.5	1.0	0.5	1.0	4.5	50.0	62.0	53.0	159.5	217.0	277.0	299.0	279.5	332.0	296.5	171.0	81.0	74.0	84.5	126.5	273.5	5070.5	6432.0	13730.5	135897.5	143790.5	40496.0	79176.0	208288.0	212070.5	231415.5	346982.5	350864.0	327201.0	274143.5	279658.5	300153.0	279253.5	216819.5	147910.0	140063.5	119170.5	88890.5	81156.0	49386.0	20573.5	69378.5	69773.0	29463.5	52837.0	41891.0	11928.5	11962.0	6449.0	1212.0	315.0	135.0	75.5	55.0	30.5	20.0	14.5	9.5	6.0	7.5	19.5	39.5	30.0	5.5	1.0	1.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V350082740_L14_02-02_1	17.0	14.0	6.0	1.5	1.0	0.0	0.0	0.5	0.5	2.0	3.0	1.0	0.5	1.0	2.0	3.0	4.0	5.0	5.5	5.0	7.5	20.0	37.0	52.0	116.5	469.0	1810.0	19650.0	191897.0	211259.0	149229.0	242338.0	218942.5	216177.5	304981.5	417157.5	457407.0	418432.5	522834.0	583481.0	391726.0	253966.5	292048.5	300022.5	194648.5	118515.5	240531.0	277441.0	192923.5	125377.0	29024.0	6351.5	8657.0	8506.0	2867.0	690.0	358.0	247.5	183.5	138.0	89.5	38.5	23.0	13.0	9.0	8.5	9.5	63.5	82.5	31.5	9.5	28.0	25.5	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V350082740_L14_02-02_2	0.0	0.0	0.0	0.5	1.0	2.5	3.0	2.5	6.5	72.5	87.0	70.0	208.0	274.0	345.0	360.5	302.5	402.5	395.5	256.0	142.5	128.5	222.5	320.5	364.5	5328.0	6823.0	15747.5	197420.0	211814.5	51550.0	122305.0	299284.0	274917.5	245606.0	348253.0	379720.5	389697.0	315728.5	302055.0	342858.5	370507.0	332804.0	265264.0	275232.0	296745.5	220512.5	175565.0	129054.5	35556.0	102531.0	111644.0	59474.0	223628.0	213934.0	37211.5	23431.5	11534.5	1970.5	510.0	236.5	156.5	107.0	44.0	43.5	41.0	19.5	8.0	7.0	29.0	78.5	57.0	5.5	1.5	0.5	1.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V350082740_L14_03-03_1	10.0	6.5	2.5	2.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	1.0	2.0	1.5	2.0	3.5	4.5	11.0	19.5	25.0	42.0	65.0	88.0	135.0	436.5	607.5	531.5	1024.0	1790.0	2201.0	3285.0	5091.0	7106.5	7818.0	7880.0	10534.0	12373.5	18926.5	26885.0	45947.5	71606.5	76144.5	101529.0	282917.5	431868.0	425550.5	323789.5	162629.5	89870.5	85002.5	120098.0	99552.5	56829.0	83221.0	67249.0	41259.5	178556.0	196803.5	52208.5	11734.0	5616.5	5442.5	12893.0	92880.0	629176.5	723718.5	201679.0	48895.5	158755.0	148322.0	15577.0	1490.0	260.5	80.0	36.5	16.0	13.5	10.0	7.5	4.5	1.0	1.5	2.5	2.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V350082740_L14_03-03_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	3.0	5.5	17.0	23.5	34.5	116.5	175.0	130.5	99.5	119.0	142.5	219.0	465.0	499.0	372.0	478.5	955.0	1038.0	828.5	1189.5	2473.5	3125.5	4225.0	5490.0	6019.5	7295.0	8249.0	12430.5	17630.0	24775.0	57757.0	76529.0	118683.5	170958.5	458975.0	513919.0	231021.0	165977.5	125037.5	82430.5	76649.0	95971.5	78734.0	54882.0	101815.5	100969.0	36686.5	16786.5	45517.0	182763.0	181485.5	61656.5	140817.5	154908.0	52762.5	20896.5	33840.5	198655.5	677152.5	596080.5	109977.0	23853.5	7737.0	3088.5	1353.5	621.5	277.5	127.0	66.5	39.0	22.5	19.5	14.5	6.0	3.0	2.0	1.5	1.0	2.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V350082740_L14_04-04_1	36.0	29.0	17.0	7.0	1.5	1.0	0.5	1.0	2.5	3.5	2.0	0.5	2.5	4.0	4.0	4.0	8.5	11.5	13.0	19.0	43.5	77.0	128.0	216.0	422.5	1203.5	4211.5	44234.5	281463.5	353131.5	445906.0	734218.5	797301.5	910874.5	1410563.0	2047654.0	2255949.5	2018578.0	1715303.5	1793807.5	1655767.5	1300834.0	1177447.5	920757.0	670689.5	550948.5	736128.0	890357.5	639622.0	271859.0	57418.5	15631.5	18037.5	16843.0	11981.0	9494.0	4246.5	2622.0	1846.5	9297.5	10107.0	2262.5	449.0	212.5	214.0	515.0	4412.0	38577.5	46374.0	13233.5	2565.5	8795.5	8293.5	712.0	81.5	19.0	5.5	2.5	1.5	1.0	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V350082740_L14_04-04_2	0.0	0.5	0.5	0.5	1.5	2.5	2.5	2.5	7.0	150.5	225.0	314.0	726.0	1078.0	1494.5	1520.0	1530.0	1836.0	1556.5	975.5	534.5	433.5	408.0	450.0	1421.0	25269.0	32647.0	58883.0	308112.0	323465.5	200191.0	423416.0	1109910.5	1227061.0	1351730.0	1867875.0	1936477.5	2045674.0	1811110.5	1706841.0	1765152.5	1654162.0	1301937.0	823993.0	711856.5	564573.5	398060.0	460276.0	305454.5	117792.0	288394.5	277780.0	121011.5	219846.0	179500.0	49395.5	48216.5	29136.5	5547.0	1498.0	1856.5	9701.5	9911.0	2649.5	7867.5	8851.0	2604.0	893.5	1633.5	12556.0	44392.0	37510.0	5127.0	984.0	340.5	154.0	79.0	38.5	17.5	9.0	5.0	2.5	1.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V350082740_L14_05-05_1	24.0	19.0	9.0	2.5	1.0	0.5	0.0	0.0	2.0	3.0	1.0	0.0	0.0	1.5	3.0	4.5	3.5	2.5	8.5	11.5	11.0	30.0	60.5	99.0	185.5	596.0	2469.0	28775.5	185453.5	217916.0	270234.0	430835.0	437663.0	481031.0	761427.5	1124339.0	1203279.0	1017766.5	904612.0	984610.0	866495.5	672223.0	610272.0	454453.0	319746.0	293432.5	415570.0	464466.5	315236.0	146697.0	29524.5	7945.0	7982.0	6788.5	5248.5	4316.5	1289.5	670.5	428.0	825.5	806.5	224.5	89.0	65.0	57.0	126.0	850.0	1921.5	1558.5	442.0	127.0	524.0	488.0	44.5	6.5	1.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
