Sample	command
V350082740_L14_31-31_1	fastp -i V350082740_L14_31-31_1.fq.gz -I V350082740_L14_31-31_2.fq.gz -o fastp/V350082740_L14_31-31_clean_PE1.fastq.gz -O fastp/V350082740_L14_31-31_clean_PE2.fastq.gz -h fastp/V350082740_L14_31-31_fastp.html -j fastp/V350082740_L14_31-31_fastp.json 
V350082740_L14_32-32_1	fastp -i V350082740_L14_32-32_1.fq.gz -I V350082740_L14_32-32_2.fq.gz -o fastp/V350082740_L14_32-32_clean_PE1.fastq.gz -O fastp/V350082740_L14_32-32_clean_PE2.fastq.gz -h fastp/V350082740_L14_32-32_fastp.html -j fastp/V350082740_L14_32-32_fastp.json 
V350082740_L14_33-33_1	fastp -i V350082740_L14_33-33_1.fq.gz -I V350082740_L14_33-33_2.fq.gz -o fastp/V350082740_L14_33-33_clean_PE1.fastq.gz -O fastp/V350082740_L14_33-33_clean_PE2.fastq.gz -h fastp/V350082740_L14_33-33_fastp.html -j fastp/V350082740_L14_33-33_fastp.json 
V350082740_L14_34-34_1	fastp -i V350082740_L14_34-34_1.fq.gz -I V350082740_L14_34-34_2.fq.gz -o fastp/V350082740_L14_34-34_clean_PE1.fastq.gz -O fastp/V350082740_L14_34-34_clean_PE2.fastq.gz -h fastp/V350082740_L14_34-34_fastp.html -j fastp/V350082740_L14_34-34_fastp.json 
V350082740_L14_35-35_1	fastp -i V350082740_L14_35-35_1.fq.gz -I V350082740_L14_35-35_2.fq.gz -o fastp/V350082740_L14_35-35_clean_PE1.fastq.gz -O fastp/V350082740_L14_35-35_clean_PE2.fastq.gz -h fastp/V350082740_L14_35-35_fastp.html -j fastp/V350082740_L14_35-35_fastp.json 
V350082740_L14_36-36_1	fastp -i V350082740_L14_36-36_1.fq.gz -I V350082740_L14_36-36_2.fq.gz -o fastp/V350082740_L14_36-36_clean_PE1.fastq.gz -O fastp/V350082740_L14_36-36_clean_PE2.fastq.gz -h fastp/V350082740_L14_36-36_fastp.html -j fastp/V350082740_L14_36-36_fastp.json 
V350082740_L14_37-37_1	fastp -i V350082740_L14_37-37_1.fq.gz -I V350082740_L14_37-37_2.fq.gz -o fastp/V350082740_L14_37-37_clean_PE1.fastq.gz -O fastp/V350082740_L14_37-37_clean_PE2.fastq.gz -h fastp/V350082740_L14_37-37_fastp.html -j fastp/V350082740_L14_37-37_fastp.json 
V350082740_L14_38-38_1	fastp -i V350082740_L14_38-38_1.fq.gz -I V350082740_L14_38-38_2.fq.gz -o fastp/V350082740_L14_38-38_clean_PE1.fastq.gz -O fastp/V350082740_L14_38-38_clean_PE2.fastq.gz -h fastp/V350082740_L14_38-38_fastp.html -j fastp/V350082740_L14_38-38_fastp.json 
V350082740_L14_39-39_1	fastp -i V350082740_L14_39-39_1.fq.gz -I V350082740_L14_39-39_2.fq.gz -o fastp/V350082740_L14_39-39_clean_PE1.fastq.gz -O fastp/V350082740_L14_39-39_clean_PE2.fastq.gz -h fastp/V350082740_L14_39-39_fastp.html -j fastp/V350082740_L14_39-39_fastp.json 
V350082740_L14_40-40_1	fastp -i V350082740_L14_40-40_1.fq.gz -I V350082740_L14_40-40_2.fq.gz -o fastp/V350082740_L14_40-40_clean_PE1.fastq.gz -O fastp/V350082740_L14_40-40_clean_PE2.fastq.gz -h fastp/V350082740_L14_40-40_fastp.html -j fastp/V350082740_L14_40-40_fastp.json 
