Sample	command
V350082740_L14_83-83_1	fastp -i V350082740_L14_83-83_1.fq.gz -I V350082740_L14_83-83_2.fq.gz -o fastp/V350082740_L14_83-83_clean_PE1.fastq.gz -O fastp/V350082740_L14_83-83_clean_PE2.fastq.gz -h fastp/V350082740_L14_83-83_fastp.html -j fastp/V350082740_L14_83-83_fastp.json 
V350082740_L14_84-84_1	fastp -i V350082740_L14_84-84_1.fq.gz -I V350082740_L14_84-84_2.fq.gz -o fastp/V350082740_L14_84-84_clean_PE1.fastq.gz -O fastp/V350082740_L14_84-84_clean_PE2.fastq.gz -h fastp/V350082740_L14_84-84_fastp.html -j fastp/V350082740_L14_84-84_fastp.json 
V350082740_L14_85-85_1	fastp -i V350082740_L14_85-85_1.fq.gz -I V350082740_L14_85-85_2.fq.gz -o fastp/V350082740_L14_85-85_clean_PE1.fastq.gz -O fastp/V350082740_L14_85-85_clean_PE2.fastq.gz -h fastp/V350082740_L14_85-85_fastp.html -j fastp/V350082740_L14_85-85_fastp.json 
V350082740_L14_86-86_1	fastp -i V350082740_L14_86-86_1.fq.gz -I V350082740_L14_86-86_2.fq.gz -o fastp/V350082740_L14_86-86_clean_PE1.fastq.gz -O fastp/V350082740_L14_86-86_clean_PE2.fastq.gz -h fastp/V350082740_L14_86-86_fastp.html -j fastp/V350082740_L14_86-86_fastp.json 
V350082740_L14_87-87_1	fastp -i V350082740_L14_87-87_1.fq.gz -I V350082740_L14_87-87_2.fq.gz -o fastp/V350082740_L14_87-87_clean_PE1.fastq.gz -O fastp/V350082740_L14_87-87_clean_PE2.fastq.gz -h fastp/V350082740_L14_87-87_fastp.html -j fastp/V350082740_L14_87-87_fastp.json 
V350082740_L14_88-88_1	fastp -i V350082740_L14_88-88_1.fq.gz -I V350082740_L14_88-88_2.fq.gz -o fastp/V350082740_L14_88-88_clean_PE1.fastq.gz -O fastp/V350082740_L14_88-88_clean_PE2.fastq.gz -h fastp/V350082740_L14_88-88_fastp.html -j fastp/V350082740_L14_88-88_fastp.json 
V350082740_L14_89-89_1	fastp -i V350082740_L14_89-89_1.fq.gz -I V350082740_L14_89-89_2.fq.gz -o fastp/V350082740_L14_89-89_clean_PE1.fastq.gz -O fastp/V350082740_L14_89-89_clean_PE2.fastq.gz -h fastp/V350082740_L14_89-89_fastp.html -j fastp/V350082740_L14_89-89_fastp.json 
V350082740_L14_90-90_1	fastp -i V350082740_L14_90-90_1.fq.gz -I V350082740_L14_90-90_2.fq.gz -o fastp/V350082740_L14_90-90_clean_PE1.fastq.gz -O fastp/V350082740_L14_90-90_clean_PE2.fastq.gz -h fastp/V350082740_L14_90-90_fastp.html -j fastp/V350082740_L14_90-90_fastp.json 
V350082740_L14_91-91_1	fastp -i V350082740_L14_91-91_1.fq.gz -I V350082740_L14_91-91_2.fq.gz -o fastp/V350082740_L14_91-91_clean_PE1.fastq.gz -O fastp/V350082740_L14_91-91_clean_PE2.fastq.gz -h fastp/V350082740_L14_91-91_fastp.html -j fastp/V350082740_L14_91-91_fastp.json 
V350082740_L14_92-92_1	fastp -i V350082740_L14_92-92_1.fq.gz -I V350082740_L14_92-92_2.fq.gz -o fastp/V350082740_L14_92-92_clean_PE1.fastq.gz -O fastp/V350082740_L14_92-92_clean_PE2.fastq.gz -h fastp/V350082740_L14_92-92_fastp.html -j fastp/V350082740_L14_92-92_fastp.json 
V350082740_L14_93-93_1	fastp -i V350082740_L14_93-93_1.fq.gz -I V350082740_L14_93-93_2.fq.gz -o fastp/V350082740_L14_93-93_clean_PE1.fastq.gz -O fastp/V350082740_L14_93-93_clean_PE2.fastq.gz -h fastp/V350082740_L14_93-93_fastp.html -j fastp/V350082740_L14_93-93_fastp.json 
V350082740_L14_94-94_1	fastp -i V350082740_L14_94-94_1.fq.gz -I V350082740_L14_94-94_2.fq.gz -o fastp/V350082740_L14_94-94_clean_PE1.fastq.gz -O fastp/V350082740_L14_94-94_clean_PE2.fastq.gz -h fastp/V350082740_L14_94-94_fastp.html -j fastp/V350082740_L14_94-94_fastp.json 
V350082740_L14_95-95_1	fastp -i V350082740_L14_95-95_1.fq.gz -I V350082740_L14_95-95_2.fq.gz -o fastp/V350082740_L14_95-95_clean_PE1.fastq.gz -O fastp/V350082740_L14_95-95_clean_PE2.fastq.gz -h fastp/V350082740_L14_95-95_fastp.html -j fastp/V350082740_L14_95-95_fastp.json 
V350082740_L14_96-96_1	fastp -i V350082740_L14_96-96_1.fq.gz -I V350082740_L14_96-96_2.fq.gz -o fastp/V350082740_L14_96-96_clean_PE1.fastq.gz -O fastp/V350082740_L14_96-96_clean_PE2.fastq.gz -h fastp/V350082740_L14_96-96_fastp.html -j fastp/V350082740_L14_96-96_fastp.json 
