,miscBA2BA1PostSpike,B.1.143,B.1.177,BA.3,B.1.1.45,B.1.1.529,P.1.12,P.1.7,B.1.1.28,B.1.177.20,B.1.1.12,B.1.1.58,B.1.1.172,B.1.1.37,C.37,B.1.1.180,B.1.1.136,B.1.1.359,B.1.1.197,B.1.1.95,B.1.1.336,B.1.1.185,B.1.1.166,B.1.195,B.1.177.72,B.1.1.315,B.1.1.92,B.1.1.115,B.1.532,BG.3,B.1.199,B.1.1.208,BA.2.8,B.1.1.485,B.1.1.59,P.1.16,B.1.76,B.1.1.371,B.1.177.63,B.1.177.65,B.1.177.17,B.1.1.228,B.1.1.339,XZ,B.1.1.392,P.1.14,B.1.1.169,B.1.97,B.1.1.395,B.1.1.268,B.1.1.221,B.1.1.71,B.1.1.205,M.3,B.1.1.122,B.1.1.438,B.1.1.178,B.1.1.83,B.1.1.461,B.1.1.123,B.1.215,B.1.1.175,B.1.1.51,B.1.177.7,B.1.1.187,B.1.1.254,B.1.201,B.1.1.320,AS.1,B.1.1.168,B.1.1.434,B.1.1.286,B.1.1.109,B.1.1.253,B.1.1.298,B.1.1.408,B.1.1.351,B.1.1.43,BA.2.10.3,C.13,BG.1,B.1.579,B.1.1.130,AA.8,B.1.550,B.1.1.98,B.1.1.203,Q.4,B.1.1.198,B.1.1.388,B.1.177.77,B.1.1.338,B.1.1.217,B.1.1.137,B.1.77,B.1.177.75,B.1.585,B.1.1.437,B.1.1.26,P.1.7.1,W.2,AV.1,B.1.1.147,B.1.1.134,B.1.1.450,B.1.1.86,B.1.177.67,B.1.1.378,B.1.1.507,B.1.1.133,B.1.1.255,B.1.564.1,B.58,B.1.1.207,B.1.1.500,B.1.1.361,B.1.1.201,B.1.1.121,B.1.1.296,B.1.1.145,B.1.1.290,B.1.1.155,AY.3.3,B.1.1.426,B.1.1.176,B.1.234,B.1.1.154,P.1.1,B.1.1.225,B.1.177.33,B.1.1.39,B.1.1.383,BA.2.9.1,B.1.1.421,B.1.2,B.1.1.258,B.1.1.192,B.1.563,B.1.1.107,B.1.1.519,AM.3,B.1.1.524,N.7,AA.5,B.1.1.163,P.7,B.1.177.83,B.1.1.224,B.1.444,BA.2.2.1,B.1.1.463,B.1.1.97,B.1.1.487,B.1.1.57,B.1.1.3,B.1.1.209,B.1.1.177,AS.2,B.1.1.249,B.1.1.416,B.1.177.59,B.1.181,BA.2.66,B.1.177.32,AH.1,B.1.187,B.1.1.55,B.1.173,B.1.1.380,B.1.393,B.1.1.29,B.1.1.381,B.1.1.301,B.1.142,B.1.524,B.1.177.5,N.5,B.1.1.396,B.1.1.17,XY,B.1.1.368,B.1.203,P.3,XAE,B.1.205,B.1.137,B.1.1.164,B.3,B.1.1.480,B.1.1.428,B.1.1.70,B.1.1.120,B.1.177.10,B.1.1.251,B.1.1.280,U.3,B.1.23,B.1.1.288,BG.4,V.2,B.1.1.218,P.1.9,XL,AP.1,B.1.177.43,B.1.231,B.1.1.118,B.1.1.389,C.14,B.1.1.312,B.1.1.4,B.1.531,B.1.549,B.1.1.379,B.1.1.448,B.1.1.347,L.2,B.1.530,B.1.1.403,BA.2.41,XAA,B.1.1.67,B.1.1.302,B.1.1.344,B.1.423,B.1.1.447,B.1.177.25,B.1.1.190,B.1.1.244,B.1.70,B.1.106,B.1.1.204,B.1.575,B.1.1.144,BA.2.3.4,B.1.375,B.59,W.3,B.1.1.398,B.1.134,B.1.243.2,B.1.474,B.1.177.51,B.1.1.406,B.1.1.420,C.5,B.1.1.63,B.1.1.348,B.1.1.277,B.1.1.517,AN.1,B.1.1.382,XR,B.1.188,B.1.1.111,B.1.400.1,B.1.1.337,B.1.1.236,B.1.1.14,B.1.194,B.1.1.356,AY.75.3,BA.2.38.1,B.1.1.326,B.1.421,B.1.177.48,B.1.629,B.1.1.138,BA.2.10.1,B.1.177.87,B.1.1.413,B.1.131,Q.7,B.1.1.402,B.1.1.44,B.1.1.423,BA.2.3.8,B.1.569,BA.2.61,B.1.1.101,P.1.15,BA.2.26,proposed590,B.1.594,B.1.1.467,B.1.1.373,B.1.1.363,B.1.544,XE,A.3,B.1.36.27,AY.2,B.1.177.47,B.1.395,B.1.1.316,B.4.8,B.1.639,V.1,B.1.637.1,B.1.1.186,B.1.1.432,B.1.1.364,B.1.177.9,D.2,D.4,B.1.415.1,BA.1.15.1,BA.5.2.5,BA.2.75,BA.2.3.15,P.1.10,B.1.1.8,B.1.177.73,B.1.1.242,B.1.232,B.1.1.93,B.46,B.1.1.425,C.2,B.1.1.216,B.10,B.1.543,proposed446,C.37.1,B.1.1.325,P.6,B.1.214,A.27
0.025,0.1841715021620337,0.08493017215336449,0.07985288213015543,0.0662716378830995,0.03375929057223827,0.02718335394762831,0.0182670004104714,0.004519854306174628,0.005337105428154098,0.0035234965787735643,0.003114360944817882,0.0028047437257597762,0.0014462435437152961,0.00282966996764565,0.002006660434345682,0.0011596435367789441,0.0026002674778046876,0.0028505509910585103,0.0015919240491729986,0.002424378238810003,0.0,0.001323405647365521,0.0021548069174522136,0.0025323960449311496,0.0017625297695707718,0.0016337331664850508,0.0011318302474965353,0.001066904787538638,0.0017819924560613664,0.0019717037444364595,0.0018504153079386043,0.0015459611140382953,0.0016257748140806098,0.0016948335406740077,0.0012790143355813795,0.001383691743716412,0.0014927394167856358,0.0011122800180568583,0.0,0.0,0.0015930292979824227,0.0,0.0004948775830930155,0.001365622240691479,0.0,0.001300265304099445,0.001153231941462685,0.00105822995516275,0.0013360338793895847,0.001160505821064221,0.0,0.0010395693377032041,0.0,0.0,0.0,0.0012447641651246175,0.0,0.0011092514500881182,0.0,0.0012504139174458763,0.0,0.0,0.0005392555081032741,0.0,0.0005395975347373747,0.0,0.001215270831990732,0.0,0.0,0.0,0.001077059496438309,0.0,0.0,0.0,0.0,0.0011260238768191265,0.0,0.0,0.0,0.0,0.001060680781131269,0.0,0.001033371060517792,0.0,0.0,0.0,0.0,0.0,0.0,0.0010642873721639716,0.0,0.001068457728107294,0.0011968547192097228,0.0,0.0,0.001210743123763425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011411427184115247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012014779721353838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.18661574401798886,0.0868007444115526,0.08071567693213423,0.06811671317634832,0.0358229696180599,0.027810967196801605,0.018406874317395024,0.005784191968603497,0.0057503499758330264,0.00406024347364895,0.003588201385001288,0.0028594065611052995,0.0016665545641672396,0.0030787133279523253,0.0022186298488444524,0.0012020373391311624,0.0026894269454186956,0.0029554460736375744,0.0017924051106417902,0.0026238646021307316,0.0,0.0015715917357325628,0.0023375837874573973,0.0025849926021091745,0.0019029095088634756,0.0016547526205014308,0.0011362862620812714,0.0013299195416895562,0.0018838230646446217,0.0020146390495996295,0.0018943004317996993,0.0016652173788171988,0.0017021283898038173,0.001739254297626699,0.0015704926734219297,0.0014281391683039078,0.0015676440467720717,0.0012901925217554517,0.000977768629094021,0.0010203168321780184,0.0017791143171615794,0.0,0.0010527848030567805,0.0013933810215999358,0.0,0.001377871809637986,0.0012227008603031366,0.0011446691033336243,0.0013856301275924773,0.0012764357368394842,0.0,0.0010638109316187389,0.0,0.0010005953199046268,0.0,0.0013276336271618398,0.0,0.0011595452009537475,0.0,0.0013084006616850203,0.0,0.0012170129955661518,0.0011625003843618899,0.0,0.0011609468153312443,0.0,0.001253820658807857,0.0,0.0,0.0,0.0011058762171804275,0.0,0.0010780522916662267,0.0,0.0,0.0011590241303313892,0.0,0.0010148577241960294,0.0,0.0,0.0011585038729116997,0.0,0.001177836516770543,0.0,0.0,0.0,0.0,0.0,0.0,0.001075317328232331,0.0,0.0012374247440029298,0.001261163323341258,0.0,0.0,0.0013666593692124814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012253311730800432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013123151937506048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.19307496214825975,0.09364758225255579,0.08386272526533545,0.0755551969721704,0.047420068810905595,0.03153415428041082,0.01946391338786182,0.007894991512519878,0.007654013083131249,0.004740551367788427,0.004521382722063254,0.003372451294895046,0.00211688391349423,0.003576730054483676,0.0028147809477924455,0.002862049227204663,0.002936037075715449,0.0031799973892492344,0.002485799210858831,0.0032863657240043307,0.0,0.0021349965609689806,0.0028470650274616625,0.0028834035356106757,0.002481396217556264,0.001929967381937216,0.0017617356933151166,0.0018207525310285433,0.002224344831191773,0.0023219296079988972,0.0022329345233746806,0.00204280389331354,0.0018810632631053978,0.002040062930057261,0.0021046477850764265,0.0016531295738144945,0.001986961379034385,0.0016471471711012545,0.0013334393272845916,0.0018051357059630899,0.0021623106603187105,0.0011538877702190345,0.0013281692663483747,0.0019255199686033712,0.0011911171658825779,0.0017263461320263223,0.0017755840223757288,0.0014481109076692326,0.0017589904741956376,0.0015747157953809648,0.0010294734676075856,0.001795332830263504,0.0,0.0012922145692442083,0.0,0.0017427774989557591,0.0,0.0015668509506993186,0.0,0.0015084123598615527,0.0012290910123830439,0.0018095671193809853,0.001431553110047343,0.0010739099758371542,0.0016703558057177814,0.0013859280024990795,0.0014937453740852776,0.0011638733746480744,0.001133191805622664,0.0014856741850939278,0.0013793512398708745,0.0,0.0012177102567562182,0.0010495934122052456,0.0,0.0014770945492107038,0.0011177756783945021,0.0012355765605617747,0.0,0.0,0.0013415184981598843,0.0010280892352072903,0.0014481933335706242,0.0,0.0010376615164576148,0.0012492354678370688,0.001379123971144903,0.0,0.0,0.001277192047912223,0.0010345006024825808,0.00184322323757407,0.001476299980225021,0.0010099048761895428,0.0010842904782294056,0.0016144964804391112,0.0010173759882330872,0.0010191447719286192,0.0,0.0007677116723717085,0.0,0.0011905813950338316,0.0010445215092159418,0.0,0.0,0.00131298564122648,0.0,0.0011380611205991779,0.001127396504800683,0.0,0.0,0.0,0.0,0.0010702184893766702,0.0,0.001191599235239894,0.0,0.0,0.0012331625548157722,0.0,0.0010062782423573024,0.0011270783183344412,0.0,0.0011173301406702267,0.0,0.0,0.0,0.0,0.0,0.0,0.00172696856077721,0.0,0.0010482372295569744,0.0,0.0,0.0,0.001048254690089096,0.0,0.0,0.0011121924706055078,0.0013364318470545588,0.0,0.0011872447907900706,0.0,0.0,0.0,0.001012859665118491,0.0010093327912139133,0.0,0.0010384068798894798,0.0011970072340024224,0.0010920032849809518,0.0,0.0,0.0,0.0010477001952999675,0.0,0.0,0.001299967912229699,0.0016505445620740972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011492965238735242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010462651679044616,0.0,0.0,0.0,0.0,0.0,0.0011061426673403107,0.0010128846486159053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.19824293613347432,0.09773066698452754,0.08628692108871835,0.0795398105382108,0.05363749416511733,0.035853258081799816,0.020378710441266087,0.009362528301187247,0.00940180526845573,0.0051720310408292355,0.005175694712332467,0.0035804215676753545,0.0027139169419208033,0.003850674620041963,0.0032472222333396602,0.003968255242260743,0.003174259123788944,0.0033424209628819955,0.0029757358808901605,0.003749395151546986,0.0013144827624606,0.00251772400256892,0.0031489273503222995,0.003157789587971,0.002907213470217558,0.0021202780641450085,0.0022542841688581233,0.0022575386362751687,0.002553565014902397,0.0024700078023978805,0.0025051000275678505,0.002453440391700742,0.0019975477435213856,0.0022993953211659663,0.002553688218395503,0.0018297332058321938,0.00219987446327956,0.001881645085676297,0.0015858295531161462,0.002089389958176552,0.002633587987185039,0.0015859708063919098,0.0015870917284266034,0.002363680266293017,0.0014867486509381601,0.0019455686483301339,0.0020561708894493197,0.0018020606468979235,0.002165049436127249,0.0018504244854934712,0.0012737696159893894,0.002447981089225012,0.0013543587634251006,0.0015744421482503294,0.0,0.0020020020154742245,0.0011709895164275573,0.001734533788035359,0.0010049567814526374,0.0016707494828393883,0.0014113093530651068,0.0020313068435857283,0.0016469926565763483,0.0013975620275054172,0.002133596028016162,0.0017252980638145293,0.00170747030635135,0.0014044946851732775,0.0012334165724073398,0.0019260472195770963,0.0015679793914153773,0.0,0.001310572512484391,0.001389456220805709,0.0010757122683846443,0.0017072456910956844,0.0013907196074234738,0.001488952056396915,0.0,0.0,0.0014788192652065955,0.001144950768931353,0.0017175170850244116,0.0011867688215513603,0.0011658560165797981,0.001414786499238205,0.0016349531878015675,0.0005149467552749806,0.0,0.0013860390342336259,0.0012269436893068055,0.0022611403615493166,0.0016548076715076096,0.0012643252518226675,0.001206159029167458,0.0018503661677007294,0.0011983992059418345,0.0011172113911381743,0.0010915754731190704,0.0012486066518949109,0.0011068551203325025,0.00129685041879136,0.001127713582932358,0.0013007217094861234,0.0,0.0015896837655013777,0.0,0.0012829680061475731,0.0012328964519375263,0.001114210776490193,0.0011619596957310528,0.0,0.0,0.0013111641090153624,0.001005456376701583,0.0013659515343230548,0.0,0.0,0.0014810551461781904,0.0,0.0011773199058236804,0.001508005368887151,0.0,0.001246051511742684,0.0,0.0012759829855478878,0.001144514767090155,0.0,0.0,0.0,0.0022181531621483144,0.001137333454229849,0.0015245297827795289,0.0,0.0,0.0,0.001166864131659465,0.0,0.0,0.0012881618787462703,0.0015463372060490524,0.001038652742212729,0.0013555082905936807,0.0,0.0,0.0010359925783998982,0.001207023083270042,0.0010547037944468754,0.0,0.0011745570350172275,0.0017337969770788168,0.0012589302995818475,0.0,0.0,0.0010409160169417263,0.001194389489301792,0.0,0.001224616822895978,0.0018324395823619004,0.0018613556105729256,0.0,0.0011426495501603733,0.0,0.0,0.0,0.0,0.0011565178212590926,0.0013008602572349428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010336307297909302,0.00112005894522203,0.0,0.0,0.0,0.0,0.0,0.0,0.0011058028645794665,0.001103009694642343,0.0,0.0011477396324704688,0.0,0.0,0.0013032956181488662,0.0011033225013320834,0.0010299466819121855,0.0,0.0,0.0,0.0,0.001018360767496321,0.0,0.0010067859452874655,0.0011673809267798794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011424491762454065,0.0,0.0,0.0010252883756412192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.20217355130790898,0.10246749328567856,0.08833637733983751,0.08489896105586413,0.05743450359712159,0.0387580924571192,0.02111571494939503,0.010698254287341731,0.010752921904588632,0.0056900889361081,0.005814041096002657,0.00390763533308234,0.0031022985280047834,0.004146138216511905,0.003723419309381283,0.0046430691197733055,0.0034792065820612294,0.0035514446387488593,0.0035858505921687977,0.004060916404565226,0.001881159334479229,0.0029012935605080923,0.0034777191788979626,0.003474686668682834,0.003303445573271963,0.0023398423698559887,0.0027249491208044293,0.002671004591160015,0.0027906407616625764,0.0026363636654279697,0.002774493747427508,0.002805142439903618,0.0021464891903709886,0.0025790622397264904,0.0030420061686752885,0.002050558110484651,0.002418364816345363,0.0021305464634508347,0.0017664631730183792,0.002417681979890575,0.003056833666751677,0.001945934338008441,0.001690720302012581,0.0028267881570178317,0.0017865026964527808,0.0020643937886610946,0.0023998329005984658,0.0020113785108822196,0.002446782704187483,0.002335086094660559,0.001537407298974067,0.0028961931909272285,0.0015665129127725383,0.0017477729561647605,0.0011396430192434802,0.0022379723025328854,0.001528812946982683,0.0019732472896339527,0.0012085596986661925,0.001821123582239123,0.0016676774922744528,0.00218672571201218,0.0018297319925190034,0.0017499125223611601,0.0024504888512668554,0.0022456563399405657,0.001998136512499197,0.0016637015020082068,0.001356495301306208,0.0024599111131270055,0.0017844117340670047,0.0012163978187048597,0.0014696355625397435,0.0016133594352374476,0.0012583216887373607,0.0019290792033923956,0.0016406520126098162,0.0017362125466823517,0.0016384846474454488,0.0024493556094054643,0.001595865519629607,0.0012316343187238202,0.0019009532105199048,0.0013961651365826256,0.0013040481201622306,0.0015784852057846345,0.0018692058967342954,0.0013197600997849307,0.0010467296346789595,0.0014875225357744626,0.0013543471987864132,0.0025530914732671056,0.0017707695571037168,0.001548497130769993,0.0013848371214922103,0.002085197337705854,0.001382493932321737,0.001259505262425307,0.0012000718384211962,0.0015603419990272566,0.001551788768256736,0.00150958660389482,0.0013064957388377798,0.001736074952703915,0.0,0.0019360437798581968,0.0,0.0014331692705824423,0.0013921840409660553,0.0015212058810746228,0.0013546415592200212,0.00112648553846508,0.0011875111903089774,0.001624258932930766,0.0011445620429914479,0.0014491609589180187,0.001089378109607393,0.0010068999878011015,0.0017140061868249315,0.0011500989894843632,0.001407092866837208,0.0017914535428602784,0.0,0.0014180824003595,0.001047152828942664,0.0015502836387652928,0.001333781509741555,0.0011247161040546395,0.0,0.0,0.0032904659723758346,0.001308840378638926,0.0019507751689361642,0.001181423273832472,0.0,0.0,0.0013002279496693047,0.0010345728246790495,0.0011110729994106856,0.0015352445639808237,0.0017022432825028785,0.0011630509435825171,0.001514585423027914,0.0010778461620460586,0.0010812056097377583,0.0011569319590924519,0.0013798510028515303,0.0011319508593657954,0.001028142241728337,0.0013396023770307624,0.002300042100514912,0.001543386033950845,0.0,0.0010915678722978068,0.0012592515663139695,0.00133863252402563,0.001065509904254699,0.0014182494374128994,0.0020936884077580025,0.00208928327356532,0.0010780218499078695,0.0013096553017616303,0.0012685623138661557,0.0010915715271073642,0.0,0.0,0.0012835136979184784,0.0014427413490736773,0.0013495607284453887,0.0,0.0012374164466167773,0.0,0.0,0.0011017392493580945,0.001033982556345493,0.0010446896099531827,0.0010976949088557818,0.0011536492610216779,0.0012601319012137398,0.0,0.0011221786817127157,0.0,0.0,0.0,0.0,0.0011633624079146988,0.0013483699407894274,0.0,0.0014179388513329376,0.0010442728688021883,0.0,0.0014491908831946057,0.0011677784154133287,0.0011894591224921802,0.0,0.0011249028250416594,0.0,0.0,0.0010924484498817748,0.0,0.0011114207775971886,0.0013076363652701328,0.0,0.0010922995363762792,0.00104924371860724,0.0011479577520088825,0.0,0.0010096121244656854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011904083855030128,0.0,0.0010070050623496199,0.0,0.0010876462089721164,0.00143845515918941,0.0010207955170419883,0.0,0.0013676569581753178,0.00025153857820949823,0.0,0.0,0.001045460213574602,0.0010172585561491212,0.0,0.0010128906537709044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
