,N.4,B.1.177,P.1.15,P.1.12,B.1.274,B.1.177.72,B.1.8,B.1.195,B.1.177.17,B.1.187,B.1.76,B.1.70,AA.8,B.1.1.361,B.1.177.75,B.1.201,B.1.177.77,B.1.483,P.1.16,B.1.199,B.1.97,B.1.1.217,B.1.177.10,P.7,B.1.393,N.7,B.1.600,B.1.215,B.1.1.163,B.1.1.437,B.1.1.120,B.1.629,B.1.1.224,B.1.444,N.5,B.1.524,B.1.550,B.1.277,B.1.478,B.1.205,W.2,B.1.1.251,B.1.404,B.1.177.32,B.1.375,B.1.23,B.1.234,AP.1,B.1.1.338,AM.3,B.1.177.33,B.1.177.74,B.1.1.121,N.1,B.1.1.358,N.10,B.1.1.176,B.1.127,B.1.1.86,B.1.561,B.1.131,B.1.128,B.58,B.1.423,B.1.177.25,P.3,B.1.502,B.1.531,B.1.1.388,B.1.203,AH.1,V.2,B.1.569,B.1.243.2,B.1.1.288,B.1.188,B.1.181,B.1.134,P.1.9,N.2,B.1.571,B.1.1.109,B.1.348,B.1.106,B.1.177.4,AA.4,B.3,B.1.579,B.1.618,B.1.9.2,B.1.564.1,B.1.110.2,B.1.346,B.1.142,B.1.1.507,C.30.1,BA.1.16.1,B.1.37,B.1.67,AA.5,B.1.1.284,B.1.93,B.1.525,B.1.1.374,B.1.1.256,B.1.35,B.1.1.337,B.1.421,B.1.557,B.1.254,B.1.13,P.1.14,B.1.179,B.1.626,B.1.544,B.1.1.198,P.1.7.1,B.1.585,B.1.177.43,B.1.1.70,B.1.177.39,B.1.1.519,B.1.594,C.2.1,B.1.1.312,B.1.177.26,B.1.546,B.1.1.353,B.1.330,B.1.153,B.1.69,AY.16.1,AY.3.3,B.1.595.3,B.1.445,AD.2,M.3
0.025,0.6511661687601633,0.08013562966093633,0.034425970235683286,0.010417546820251544,0.0,0.002828014443720812,0.0026241225982429795,0.0023375927073444893,0.0022442224740168385,0.001511060379942309,0.00196897939919482,0.001392786526024336,0.0013037057167074799,0.0010831980742826949,0.0013939250585850397,0.0013753122055702024,0.0015509979864406422,0.0012295785054977234,0.0016260940826939598,0.0012016660437054758,0.0013030143478599734,0.0011551222418652721,0.001267446928511099,0.001230692200969369,0.0011433587787142772,0.0012671956594852095,0.0004803945936882306,0.0011918391962101366,0.0,0.0012131871226360416,0.0,0.0010399134555207363,0.0010653595176798173,0.0010937902058295735,0.0,0.0010417957164680497,0.0,0.0,0.0011443371563716637,0.0,0.0011041154748059323,0.0,0.0,0.0010761844973783952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047519493271058966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000482059309309115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.6528602952035099,0.08059491822195834,0.03454079626983373,0.010606106443099509,0.0011610355261341416,0.0030206911090110092,0.0026735035745004067,0.002388166511276061,0.0022823115945455434,0.0016309382230625083,0.0020321813080309776,0.0014756721184161071,0.0013490774366699957,0.0011088022283299323,0.0014065888211294778,0.001420954678169083,0.0015585744712077218,0.0012739470887081891,0.0016592911135623351,0.001219743037370434,0.001323346777383238,0.0011944870973452806,0.001303742295156793,0.0012759149810843433,0.0011627146814187166,0.001276518314532467,0.001056452425405035,0.001221845009253951,0.0,0.0012374409332794815,0.0010084591687155356,0.001068473713118262,0.0010682733779108907,0.0011142845254511822,0.0,0.0010910796130465235,0.0,0.0009524828709254933,0.0011526947988044745,0.0,0.0011103517311876077,0.0,0.0,0.0010944171823966107,0.0010121778251275838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010262812068145464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001019548603160373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.6557100176441739,0.0818672656741342,0.03518367669812124,0.011735968213920854,0.0031650452593133768,0.003178051147811324,0.0030003340803687077,0.002548064146580137,0.002489402256531046,0.0018687050094779662,0.00213610984455675,0.0017361430840382086,0.001635258546836731,0.001395325575199064,0.0015676238625214954,0.001541367844216051,0.0016505288657479324,0.0013932470853927218,0.0017542613701432785,0.001324556543833919,0.0014761030172403345,0.0013153390952160182,0.0013448717071595363,0.0013374964419660055,0.001278449446292847,0.0013811311138140615,0.001124964187104401,0.0013378157259533604,0.001033106359031209,0.0013228417658937993,0.0011148325655323968,0.001141340645681624,0.0011649271020794316,0.0011945193654594821,0.0010339428437388205,0.0012184293701853893,0.0,0.0010976234814922485,0.0012592782322329735,0.0010631686162688437,0.0012438391677171826,0.0010210730696785747,0.0,0.0011631910351205896,0.0011471324287857044,0.0007537391450868061,0.001082990692592951,0.0,0.0,0.0,0.0,0.0,0.0,0.00105942390200479,0.0,0.0,0.0,0.0,0.0010212475910593211,0.0,0.0011868384307603085,0.0,0.0010796001035008902,0.0010519154001020342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011139093939724959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.657830496910339,0.08240442600122265,0.035817969105176414,0.01254584942821706,0.003311551077830181,0.0034037610284038708,0.003165158938501126,0.002662343278547757,0.0026612731769353947,0.0020948545830548684,0.0022187953065075233,0.001985661480238399,0.0017177900607878692,0.0015688908407555902,0.0016502801957780596,0.0016413465046789984,0.0017237029593619442,0.0015015846443407954,0.0018199600076786136,0.0014219939874594496,0.0016505774377514792,0.001455979364323358,0.001409623635950938,0.0014270397225526134,0.0013521718242614168,0.0014314909760280523,0.0012112263782217783,0.0014179759162246653,0.0011363540026614813,0.001377803742335071,0.0011907450383893427,0.0012007384614192047,0.0012302766618266583,0.00123409626762572,0.0011145734973770393,0.0012942067282704793,0.0010271690954241327,0.0012014642858598676,0.001313527660162394,0.0011535711717184892,0.0013449109495843698,0.001123345863104672,0.0,0.0012135912704621828,0.0012359039101443223,0.0010974223940212735,0.0011459451803858141,0.0010342461741648951,0.0,0.0010314715406716636,0.0010174846774192096,0.0010217744525715376,0.0,0.0011313458850061714,0.0,0.0,0.0010275559389682273,0.0,0.001219930546811408,0.0010039439455500586,0.001315874345704706,0.0,0.0014119206191205184,0.0011164440649087447,0.0,0.0,0.0,0.0,0.0010102764059758433,0.0,0.001024886847836629,0.0,0.0,0.0010270243490992114,0.0,0.0011897643400976213,0.0,0.0,0.0,0.0,0.0,0.0,0.0010161724890099875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.6601573078120776,0.08332207876358913,0.03620906774246471,0.0132444038173202,0.0035020623389332164,0.0035819462322310043,0.003301939257241889,0.0028411060763721798,0.0028068132613700706,0.002343240732966849,0.0023124671796994197,0.0021684370288763636,0.0018405056899824222,0.0017007335552141987,0.0017392817879606328,0.001749986188442236,0.0017875302659082445,0.0015939966947640795,0.0018986127844987824,0.001499214393110226,0.0017382807061715867,0.0015609170284133205,0.0014679133209705626,0.0015027636062268273,0.0014193203298613134,0.0014927007253787126,0.001277999393342669,0.0015106250140248885,0.0012008124353001769,0.0014329186191052068,0.0012615442051206556,0.0012613697396455011,0.0012866678190967054,0.001286917733750815,0.001180109623298192,0.001389124988920739,0.0011052751332883235,0.0012546927712180451,0.0013889400019293252,0.0012079158209513045,0.0014470560695927556,0.001197868991912271,0.001070845460141359,0.0012743971962563398,0.0013577343361098582,0.00117446569571682,0.001220180802544332,0.0011048200235977323,0.0,0.0010983008702233593,0.0011682386270702833,0.0010675821003260006,0.0010323935496762131,0.0011790842249272892,0.0,0.0,0.0010769655309382238,0.001042821747093043,0.001417013081157355,0.0011627407894142924,0.0014199412167110325,0.0016365634463968823,0.001553292773422648,0.001167206288468671,0.0,0.0010217856141394941,0.0,0.0010336253949373478,0.0011378591354823998,0.0010576003221927138,0.0010582476731081608,0.00103448106184893,0.0,0.0010866022173837602,0.001009754965109635,0.0012622453615438517,0.0010110406620478687,0.0,0.0,0.0010252921598365597,0.0010344198128626348,0.0010383931685995409,0.0010610271455916054,0.0010395291924450518,0.001067679857997938,0.0,0.0,0.0,0.0,0.0,0.0010276350484109045,0.0,0.0,0.0010426536973203475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.6654590039730803,0.0842930974444538,0.0368156869628718,0.014241793214098042,0.003684087348858553,0.003770936433299699,0.003512069131793068,0.0029935966831362588,0.002974787659118747,0.0026439182293310133,0.002509764455601742,0.002508191996131631,0.0020118159012514347,0.0018143653782572865,0.0018415853888893094,0.0019167475024817644,0.0018718600167154482,0.0016976954541865297,0.001984236428655272,0.0017102015307547422,0.001872458173388178,0.0017300054862382803,0.0015774168850679936,0.0015928780766716793,0.0014990638070612097,0.0015853570141968626,0.0013849764430549963,0.0015922765097211582,0.0013196331878562882,0.0015400337317840556,0.001336776732187468,0.0013280661234813475,0.0013412996218300352,0.001360091426950272,0.0012828310798637104,0.0015534847451237053,0.0012059708200997839,0.001375402569530323,0.0014749830831394918,0.0013307979885714995,0.0015873203997861902,0.0012878645813811367,0.001165058822580441,0.0013537380483387709,0.0015685813357889052,0.0012865569548893383,0.0013245121003512739,0.0011959602635994047,0.0010908202869143104,0.0012010343195046618,0.001329046476132623,0.0011187319520582328,0.0011197226499111328,0.001269660253556632,0.0010276400675245146,0.001061122603388252,0.0011586009962875937,0.0011713823037703137,0.001607081651021488,0.0014010172493423901,0.0016129625884184877,0.001783223809025892,0.0016481870182268243,0.0012540754702379257,0.001114031554006553,0.0011050217105242342,0.0011265716190925468,0.001169773755481263,0.0012192142540406257,0.0011838985906347794,0.00112033225959987,0.0011405599635584418,0.0010357198002545055,0.0011684347112858268,0.001105836966866008,0.0013248381306903445,0.0010973347116053356,0.0010586104831246856,0.0010786099789746966,0.0011023187061433067,0.0011737085401277159,0.001154573757030488,0.0011367426379352383,0.0011274721479156253,0.0011255099062112142,0.0010034512191707293,0.0012773190733458702,0.0010790335333719359,0.0,0.0,0.001159228944815835,0.0010051651412682835,0.001073200872603077,0.0011564780370140533,0.0,0.0,0.0,0.0,0.0010372122872769726,0.0,5.045238265137494e-05,0.0010585388800767037,5.029597251963807e-05,0.0,0.0012799436695062625,0.0010249598609025586,0.0,0.0010383334241459473,0.0010542661363022738,0.0,0.0,0.0,0.0,0.0010043521708857277,0.0,5.0840361326902515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.6660517564879173,0.0846824738779033,0.03688667585165845,0.014506444559747686,0.0038221716006174174,0.003818412448724919,0.0036541631201738017,0.003068457906687943,0.0031490654464991492,0.0026774837056298077,0.002545789137367451,0.0026100944558651224,0.0020766552495984766,0.0018331488000560244,0.0018680843434673755,0.0020139562755324024,0.0018978288252405188,0.001713190854400675,0.0019979672590106886,0.0017412346682415764,0.0019293398278499069,0.0017550947732438615,0.00162012933823532,0.0016417147721567089,0.0015500207120474853,0.001593712929216398,0.0014088219387878324,0.0016358644613084328,0.0013618472031824082,0.0015493704320587451,0.0013645685786853037,0.0013568166354616313,0.001362843144236699,0.0013825893874795177,0.0013328694184083466,0.0015755432081871186,0.001274064667907188,0.0014020442158731762,0.0014968451317748093,0.001376024245566947,0.0016272169950369835,0.001307801031129048,0.0011698396445145056,0.0013644893995596174,0.001593851177176197,0.001293782287339804,0.0013806159755026547,0.0012231282604854934,0.0011206188650354399,0.0012226935466873837,0.001347383622794836,0.001131644661931147,0.0011353214525290738,0.0012813019024234742,0.0010532489148565726,0.001084380639386349,0.0011897431911351713,0.0011926022844795418,0.001652280296741807,0.0014203740649359974,0.0016224863237889243,0.0018172376592264993,0.0016840965926878358,0.0012634084182664585,0.0011543742238251575,0.001144046363665694,0.001181788562463401,0.0011902666548822868,0.0013044327069117341,0.001197230380716976,0.001152373000617387,0.0011536902851718841,0.0010465615601199035,0.001175895919120597,0.0011782259619697207,0.00134339844683262,0.0011079724206502029,0.0010845764302070287,0.001110986832199638,0.0011217850388667207,0.0011805347069455353,0.0011606216178506941,0.001167793529923689,0.0011786007640541558,0.0011497637708697216,0.001022265765157385,0.001392583592610307,0.0011130602294290605,0.0010058036073288773,0.0005280144978684282,0.0012127479312968174,0.0010206438359940675,0.0011236623785333977,0.0011883870291990537,0.0010510808000380196,0.0,0.0,0.0,0.0011871919640926644,0.0,0.001017607016690618,0.0011127805943436356,0.0010140300710976345,0.0005317353080873137,0.001312817247994214,0.0010655121530725115,0.0010251976513593775,0.0010569070584381935,0.001167049080794835,0.0011094020213730025,0.0,0.0,0.0,0.001034415696589314,0.0010202416287247772,0.0010327001233815763,0.0,0.0,0.0005443889274908087,0.0005455631364656442,0.0,0.0,0.0005251499334484745,0.0,0.0,0.0,0.0005251065999837108,0.0,0.0005289672439804148,0.0,0.0,0.0,0.0010253594335942848,0.0,0.0,0.0,0.0
