	freyja/V350082740_L14_30-30_variants.tsv
summarized	[('Gamma', 0.8911641856548479), ('Other', 0.011395012874792037)]
lineages	P.1.15 P.1.12 B.1.177.72 B.1.478 B.1.177.17 P.1.14 B.1.187 B.1.177.75 P.1.16
abundances	0.87121169 0.01736605 0.00351001 0.00306412 0.00237468 0.00152551 0.00126064 0.00118556 0.00106094
resid	16.27373435293294
coverage	100.0
