	freyja/V350082740_L14_67-67_variants.tsv
summarized	[('Lambda', 0.9588289082193282), ('BA.2* [Omicron (BA.2.X)]', 0.0010036498922182952)]
lineages	C.37 BA.2.9.1
abundances	0.95882891 0.00100365
resid	15.677926759558485
coverage	100.0
