,Omicron,Other
0.025,0.9563877554347399,0.0
0.05,0.956805337391471,0.0
0.25,0.9583055454969949,0.0
0.5,0.9594579424039855,0.0
0.75,0.9604365793800497,0.0
0.95,0.9615636531807623,0.0
0.975,0.9619822943407533,0.0
