,BA.2* [Omicron (BA.2.X)],Other,Lambda,Omicron,BA.5* [Omicron (BA.5.X)],A,Eta
0.025,0.45279649144756406,0.29153016452263253,0.09217720452327398,0.01736071102530034,0.0,0.0,0.0
0.05,0.4534753794704714,0.2925047991246779,0.09220189290431502,0.017665433442359976,0.0,0.0,0.0
0.25,0.4551912599822848,0.2952086119633358,0.09312151172572526,0.01968982247552356,0.001035215170421213,0.0,0.0
0.5,0.4563253885074853,0.2974637854902157,0.09372959845147066,0.02109375434604953,0.0011459316087561865,0.0,0.0
0.75,0.45772668094143165,0.3009913978675209,0.09448783344410716,0.022831620275897774,0.0021379618562368833,0.001092901890125814,0.0
0.95,0.45898994717971725,0.3037298166488619,0.09537001680098961,0.025011032343823583,0.0023562252096422454,0.0012109636793969116,0.0010294641370067214
0.975,0.4605034259629257,0.30443331351343494,0.09565526885005807,0.02598710435644259,0.0023823151337132933,0.0012293724968785418,0.001035586644140721
