	freyja/V350082740_L14_24-24_variants.tsv
summarized	[('Other', 0.9206061198381736)]
lineages	N.4 B.1.177 B.1.478 B.1.177.72 B.1.187 B.1.177.17 B.1.177.75 B.1.177.43 B.1.70 B.1.177.77 B.1.1.109
abundances	0.86905670 0.01795567 0.01593970 0.00685567 0.00256934 0.00245937 0.00146159 0.00114923 0.00111693 0.00104186 0.00100006
resid	15.520213910611002
coverage	100.0
