,Other,Omicron,BA.2* [Omicron (BA.2.X)],Delta,Lambda,Alpha,BA.5* [Omicron (BA.5.X)],Gamma,Eta
0.025,0.7237303887335851,0.02879218253189618,0.0327561151968547,0.01022915046494936,0.003943631334849267,0.0,0.0,0.0,0.0
0.05,0.735653227740571,0.036304198886231494,0.037462695593068106,0.011368613298294531,0.005133695324509049,0.0,0.0,0.0,0.0
0.25,0.7641452399706204,0.08609390992804557,0.04164228805242254,0.0152904192246558,0.007505118198446309,0.0,0.0,0.0,0.0
0.5,0.7863319831780333,0.11277727736345947,0.04459999469203339,0.018476631006454698,0.012280998002291658,0.0,0.0,0.0,0.0
0.75,0.8083344678133253,0.1314323527246521,0.049723093176876704,0.021674581603863805,0.016834284570579006,0.0012225338825947686,0.0,0.0,0.0
0.95,0.8584772384858013,0.1538632741171584,0.05561214915307228,0.02993168426963718,0.01932870104281605,0.00277384292673899,0.0016817074584808767,0.001259708277532501,0.0
0.975,0.8677061711867113,0.1601071101079915,0.05679173782243641,0.034256978179740036,0.019707658868262125,0.0031021897643660977,0.0018262324454196234,0.0013410781419949853,0.0
