,B.1.1,B.1.1.132,D.2,B.1.177,B.1.1.45,BA.3,B.1.1.28,BA.2.23,P.1.12,B.1.1.33,B.1.177.83,B.1.1.368,P.1,B.1.177.20,P.1.15,XZ,B.1.1.12,B.1.1.58,B.1.1.197,B.1.1.83,B.1.1.297,B.1.1.117,B.1.1.166,B.1.1.186,B.1.1.160,B.1.177.72,B.1.1.359,B.1.1.187,B.1.1.95,B.1.1.14,XQ,B.1.76,B.1.1.216,B.1.1.37,B.1.1.203,B.1.177.17,P.1.14,B.1.1.463,B.1.1.172,B.1.1.380,B.1.1.249,B.1.187,B.1.1.130,B.1.1.217,B.1.1.135,B.1.1.169,B.1.195,B.1.97,B.1.1.185,B.1.173,B.1.1.408,B.1.1.55,B.1.201,B.1.1.213,B.1.1.92,B.1.1.416,B.1.1.312,P.1.13,B.1.1.261,P.1.9,B.1.1.205,B.1.1.48,B.1.1.461,B.1.1.39,B.1.1.109,BA.2.9.1,B.1.1.398,B.1.1.438,B.1.1.3,B.1.1.29,B.1.1.301,B.1.1.177,B.1.1.229,B.1.1.51,B.1.1.115,B.1.1.154,B.1.1.255,B.1.1.118,B.1.1.86,N.7,B.1.532,W.3,B.1.1.70,B.1.1.344,B.1.1.5,B.1.1.98,B.1.8,B.1.1.175,B.1.1.221,B.1.1.251,B.1.1.268,B.1.1.280,XAA,B.1.1.4,V.1,B.1.1.320,B.1.483,B.1.177.10,B.1.1.180,BA.2.10.1,B.1.1.136,B.1.1.487,B.1.1.192,B.1.277,B.1.1.339,B.1.1.379,B.1.1.123,B.1.531,P.1.7.1,B.1.585,B.1.177.89,B.1.199,P.1.1,P.1.16,P.1.11,B.1.1.93,P.1.17,B.1.1.209,B.1.550,B.1.1.392,B.1.1.395,B.1.1.361,M.3,B.1.1.111,B.1.1.434,AY.3.3,BA.2.2.1,BA.2.3.8,BA.2.25.1,BA.2.28,B.1.1.270,B.1.1.381,AM.3,B.1.1.413,B.1.478,B.1.579,B.1.1.388,B.1.127,B.1.1.207,B.1.1.224,B.1.77,B.1.1.164,B.1.1.147,B.1.1.485,N.10,B.1.1.524,B.1.1.190,BA.2.61,B.1.1.67,B.1.600,B.1.1.426,B.1.1.437,B.1.474,B.1.1.71,B.1.1.326,B.1.1.338,B.1.1.406,B.1.177.25,B.1.1.364,B.1.1.137,B.1.1.40,B.1.1.208,B.1.188,B.1.134,B.1.1.253,B.1.23,B.1.177.75,B.1.1.305,B.1.1.507,B.1.1.519,B.1.1.288,B.1.1.139,BA.2.8,B.1.137,B.1.1.149,B.1.143,B.1.1.153,AS.1,BA.5.6.1,B.1.1.26,B.1.1.59,B.1.205,B.1.1.277,BG.1,B.1.177.32,B.1.1.517,B.1.1.218,B.1.1.285,B.1.549,B.1.234,B.1.1.325,B.1.626,B.1.1.296,B.1.563,B.1.1.198,B.1.1.17,P.1.10,B.58,B.1.1.371,B.1.1.464,B.1.1.97,B.1.177.43,B.1.1.120,B.1.1.363,B.1.1.500,B.1.1.121,B.1.1.236,AD.2,B.1.1.258,XR,B.1.177.87,B.1.1.204,B.1.575,B.1.393,B.1.1.286,BA.2.50,B.1.1.176,B.1.1.450,B.1.1.145,B.1.375,B.1.1.403,B.1.564.1,B.1.1.315,B.1.629,BA.5.2.5,B.1.1.480,B.1.70,B.1.1.327,XY,B.1.1.57,B.1.1.43,B.1.444,V.2,B.1.106,B.59,B.1.177.69,BA.2.10.3,B.1.1.328,B.1.1.382,B.1.177.63,B.1.1.432,BA.2.72,B.1.1.44,B.1.1.378,AA.5,B.1.1.423,B.1.1.425,proposed590,B.1.177.59,B.1.1.225,B.1.1.168,B.1.1.396,B.1.1.290,B.1.637.1,C.13,BA.2.48,B.1.1.122,B.1.575.1,B.1.1.134,B.1.179,B.1.1.347,B.1.1.304,BA.2.41,P.7,B.1.1.133,XG,B.1.1.88,D.5,AH.1,B.1.1.256,BF.1.1,B.1.1.316,B.1.636,XE,B.1.218,B.1.304,AY.16.1,B.1.1.336,B.1.1.428,Q.3,B.1.1.144,miscBA2BA1PostSpike,B.1.177.33,B.1.131,B.1.110.1,B.1.243.2,AP.1,B.1.273,A.2.4,P.1.17.1,B.1.1.138,B.1.181,B.1.1.389,XL,B.1.639,B.1.1.337,N.5,C.37.1,B.1.36.27,BA.2.3.7,BA.2.26,G.1,B.1.1.523,AA.8,B.1.1.383,B.1.524,B.1.1.242,B.1.177.73,AS.2,B.1.545,B.1.619.1,C.30,AA.4,BA.5.1.7,B.1.1.506,B.1.1.262,BA.2.53,B.1.631,B.1.525,B.1.404,B.1.466.1,B.1.1.420,BA.2.4,B.1.1.101,B.1.1.354,BA.2.42,AN.1,B.1.177.39,B.1.215,B.1.1.163,B.1.1.72,B.1.1.214,AC.1,B.1.552,B.1.1.373,B.1.194,B.1.618,B.1.409,B.1.1.8,B.1.203,Z.1,C.37,B.1.1.155,B.1.1.27,B.4.8,B.1.1.244,B.1.554,L.2,B.1.1.63,B.1.544,B.1.1.421,proposed446,N.2,B.1.400.1,B.1.1.222,BF.4,Q.4,BA.2.13.1,B.1.1.228,BA.2.59,B.1.1.178,XN,B.1.177.74,B.1.142,B.1.1.237,BA.2.60,B.1.348,L.4,BA.1.16.1,B.1.421,B.1.1.241,B.1.1.196,B.1.1.170,C.25,B.1.177.4,BA.5.2.3,BA.1.15.1,B.1.177.26,BA.2.21,B.1.438.4,B.1.231
0.025,0.124874818100823,0.08665048787943931,0.08483253904584173,0.042966806156676945,0.012946887313739075,0.00878509711822054,0.011634362504586998,0.01872480965335517,0.012932278772375152,0.01070244192665516,0.010785358851262004,0.009885920377696705,0.003290944641890197,0.0032883638452267344,0.002934527821802186,0.0,0.0026818623948580665,0.003324546846401452,0.0017067109708587729,0.0017401538158141182,0.002520099477839672,0.0020041299369028005,0.0023419827332195006,0.0005760981607489896,0.0026407988989637734,0.0023138058767737195,0.003350993787690107,0.001995430060299161,0.00197154216402702,0.002687767515536111,0.0017818122463421572,0.0021911888688202663,0.0012605328116971626,0.0026038452414441048,0.0021231794688987195,0.002674403130346527,0.002241482181386276,0.002109521148376192,0.0016737491728834228,0.0020482675661011858,0.0020179761931627548,0.0010343853763245083,0.0019874245354438796,0.0017749392291245584,0.0,0.002054230241467389,0.0014804693794860354,0.0012243853683198646,0.0024344851930131026,0.0016071377029828692,0.0019345976756612589,0.0005640660254328921,0.0,0.001760203155425808,0.001583232128128669,0.0,0.0011048876822918655,0.0,0.0,0.0012221991947435637,0.0,0.0,0.001184187950041676,0.0018914497397958814,0.001429557214545021,0.0,0.0,0.0014765730103556628,0.0010874020604523054,0.0,0.0015893352147491092,0.0015800371669872169,0.0,0.0004981656948320897,0.00047556379972499144,0.0,0.0011317294757974509,0.0,0.0,0.0012205302784339437,0.0011593833661266576,0.0,0.0,0.0012978956510969527,0.0015624137434637018,0.0005074786415685568,0.0,0.0012554249692295926,0.0,0.0004846047067061326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004785894206527971,0.0,0.0012423133042124893,0.0,0.0013021059930986103,0.0,0.0012642163864686879,0.0,0.001151038501712573,0.00114080975986924,0.0010501313165148258,0.0,0.0,0.0,0.0,0.0011870388709526172,0.0,0.0,0.0,0.0,0.0,0.0013274520634693747,0.0,0.0012064295562215096,0.001080918836557511,0.0,0.0,0.0,0.0011268199278994416,0.0,0.0,0.0,0.001205721635215047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010180120662747318,0.0,0.0,0.0004764292978390338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001120700472140416,0.0,0.0,0.0,0.0004828155771533387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010412451214723997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.12684735674256106,0.0872336504168334,0.08615351492466888,0.04349260147743756,0.013914924404980723,0.0098511156570945,0.012847737267068853,0.019104967210353714,0.013110202883584086,0.011006958097443672,0.01087758084245639,0.010283474890002866,0.0038620222651564802,0.0034747904234253913,0.0032700677010231985,0.0,0.0030149208092070377,0.0034209422203848186,0.0018233703391061535,0.0017700048595289473,0.0026421806664628164,0.0024517235208381663,0.002407529494798505,0.0013257491246168101,0.002693350707878945,0.0023964427896373884,0.003387354407227947,0.0020572920264294433,0.002135138618774006,0.002762226873028703,0.0018777693098696534,0.00227260943536558,0.0014436923160248848,0.002790812517186583,0.002184163225057341,0.0028027959901280436,0.002285156719920912,0.0022088267864389284,0.002064417162298665,0.0021708428477594226,0.0021864803525179595,0.001221103299073475,0.0021540274875556376,0.0018320370554606204,0.0010415192392573462,0.0021034261321164855,0.001552156234084186,0.001310480816727396,0.0024851341391968064,0.0016295727939190396,0.002015011838985528,0.0012845521846851196,0.0011212918017236857,0.0018661711751079264,0.0020256068123120498,0.0,0.0011310399644546732,0.0,0.0,0.0012710996427202218,0.0,0.0,0.0012002431867205907,0.0019161920430551985,0.001504738681614734,0.0010861096220309168,0.0,0.0016199025520273892,0.0011586941697653763,0.0,0.0016389879109925882,0.001701321384418906,0.0,0.0011209625435405965,0.0011948219933192764,0.000992602503663551,0.0012267467852738615,0.0011019153394330725,0.0009582800642726507,0.0012710123952253654,0.0012547286082441613,0.0010516144813809674,0.0,0.0013774214558818943,0.001635113873880256,0.0011399526530632919,0.0,0.0013324714575675522,0.0,0.0010835776037480512,0.00110913933259022,0.0,0.0,0.0,0.0,0.0,0.0,0.0010278033894636199,0.0010214810738601694,0.0,0.0012571087751465358,0.0,0.001367023521835233,0.0,0.0012998105970227658,0.0009550013432505203,0.0012001012280738663,0.001176895695434306,0.0011726106200116435,0.0,0.0,0.0,0.0,0.0012183437247156948,0.0,0.0,0.0,0.0,0.0,0.0013619145407961829,0.0,0.0012341168056635215,0.0011264166621150161,0.0,0.0,0.0,0.0011661457969075375,0.0,0.0,0.0,0.0012842410755943285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001030633374838045,0.0,0.0,0.0010247585074211623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010602481733088815,0.0,0.0,0.0,0.001166349593292966,0.0,0.0,0.0,0.001040943370710882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010534870019533224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.13451338361424447,0.09000094411921009,0.089240409375072,0.04580982861968887,0.016547478294661404,0.012074034181754087,0.016138466439748225,0.02331094569038333,0.014370031672072098,0.012337933260036259,0.011393946837687147,0.012274881961242906,0.008216482032808364,0.004311679744904311,0.004381161201834422,0.0007617863867749926,0.00375723904589314,0.003715585682451969,0.00271954505825345,0.0023456138699189067,0.0030995975135064157,0.003163814184545964,0.002805325858390784,0.0018612817950418566,0.003133540334379569,0.002908803777630594,0.0036664200657381624,0.002584105601562289,0.0026493845177549867,0.003000427421010276,0.0021355181935280455,0.0026631310336218124,0.00286303432624488,0.0030717544495761254,0.0025332230347808356,0.0034787753745608974,0.0026356722156163056,0.0027560695934409378,0.0026511425943435605,0.0025583175572991583,0.0025669782196688995,0.002000584764117715,0.002522419827767413,0.0020506648731464005,0.0014976080782890216,0.0024992439007495604,0.0019134486563854396,0.001670610069070242,0.0028773418247033953,0.0018114434168421383,0.0022908986972568074,0.0016595070376293263,0.0014528969939740098,0.0021695129876158417,0.0026607079500234406,0.0011884059681420921,0.0014341414594031187,0.0,0.0,0.001460013866348022,0.0013333343477477208,0.0011337160570758149,0.001548750178960918,0.002181193095581835,0.0016748176048579362,0.0014790174758707066,0.0,0.002098955610951052,0.0013146693200597238,0.0011438445680657522,0.0018978340366784976,0.0018876158450519514,0.0,0.001400592908863922,0.0014297010805048936,0.001281470052985217,0.0015378412209331106,0.001340642197616311,0.0013237428305036608,0.0014874357217810447,0.0015443799948117532,0.0014078558429211352,0.0,0.0017332708714372503,0.0018955077013342184,0.0014056811256378907,0.0014930473755731771,0.001539636019179658,0.0,0.0012895376386912142,0.0012959144416126462,0.0,0.0,0.0012313951063911593,0.0,0.0011875434709048998,0.0,0.0011251321482296354,0.002014861982839875,0.0014065010556019275,0.0013814648300520494,0.0013140259069067532,0.0014648176182820557,0.0,0.0014320053196557763,0.0013152880820189701,0.0014591513327231777,0.001311207655894056,0.001460136125131126,0.0,0.0,0.0,0.001034978612367189,0.0013374891506196269,0.0,0.0011343477757070177,0.0,0.0011205111990902476,0.0010584739488129463,0.0015922416629558793,0.0,0.0014056591356697307,0.0013338520046078206,0.0011302494102211316,0.0,0.0010312219174919014,0.0013638368827864262,0.001032913681083672,0.0,0.0010454559128674852,0.0016320921617478052,0.0,0.0010957082875072684,0.001147156852872677,0.0,0.0,0.0011254213822623827,0.0,0.0,0.0011031548488300762,0.0010045727968058529,0.0,0.0012039535706012386,0.0,0.001034126382801758,0.0010809173447149552,0.0,0.0,0.0,0.0,0.0,0.0012018092549558118,0.0,0.0,0.0,0.001363264206966063,0.0,0.0,0.0,0.001293745539235136,0.0,0.0,0.0,0.0010808147418410287,0.0010959767478274556,0.0,0.0010297626964277638,0.0012315008054967734,0.0010400336912225227,0.001086730153153216,0.0010182619247604582,0.0,0.0,0.001112884841027685,0.0,0.0,0.0,0.0,0.0,0.0,0.001062376981876246,0.0,0.0,0.0,0.001067391807934576,0.0,0.0010210594379786875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014944414392846794,0.0,0.001337221384213225,0.0,0.0,0.0,0.0010082779424822731,0.0013555225442162628,0.0010835924494034994,0.0010635407224307398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001044490614541429,0.0,0.0,0.0,0.0,0.0,0.001149849051273717,0.0,0.0,0.0,0.0,0.0,0.0011061394824319756,0.0,0.0,0.00113579836313971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.1409071991396127,0.09209331912348499,0.09261254487615564,0.047606517184642136,0.018450338841642565,0.013949802451872412,0.018279046872905047,0.026054103557467033,0.015111933248934598,0.013366834049114058,0.011846135163791625,0.01421245174616971,0.010058529641067881,0.004930641827887891,0.005498396539280262,0.0035850333955814266,0.0041195426772654845,0.003990320331339595,0.0031936141881728133,0.0028137734327374027,0.0035160380625776583,0.003579584756165632,0.00305151327690131,0.002225453069967563,0.003508128665820413,0.003271797019458739,0.0038657240811842933,0.0029280325012050164,0.0029389041544919912,0.0033115570117387147,0.002443918623936641,0.0029312181991538,0.00361308350938381,0.003548244573650293,0.002763591427946772,0.003858456758028537,0.0028879577128562393,0.003255606988027362,0.0031693085177394325,0.0027862440804789328,0.002879904000603248,0.0023170278536590446,0.0027697749310039233,0.0021790394510186836,0.0018749370511896252,0.0029484012915489996,0.0021660087074328307,0.002100429098111603,0.0030683058294666207,0.002003490705476076,0.0025370022171084133,0.0018867941324661325,0.0017107147474850603,0.002328788425257706,0.0030412166619069965,0.0014583903158463534,0.0017001778871418589,0.00138058756357105,0.0005136483540083875,0.0016266352781035514,0.0016572843550317117,0.001337301286583413,0.0017003769849799487,0.002371844768567651,0.0017872594059191093,0.0017871657055114221,0.0012846058868953777,0.002406928405419991,0.0015365976245668158,0.0013551579906055408,0.002081124422876074,0.0020602456320297793,0.0010959656780365513,0.0015751346487610288,0.0017376423480225237,0.0014360537723958778,0.0017571397362126,0.001467881241418586,0.001571764311952779,0.0016368955789967496,0.0017154180454030852,0.0016242696374113262,0.0,0.0019292075029059474,0.0021377373404423217,0.0016313079968439735,0.0018352750544345716,0.0016664371282674824,0.0011629263141115505,0.0014078838996260756,0.0016074706120906034,0.0,0.0011212984290903355,0.0015256638746548154,0.0,0.0015585465465939958,0.001324579033504099,0.0012332441701285164,0.0025588543037567708,0.001651074433867858,0.0015153246382291529,0.0015111621444479956,0.001661497568232382,0.0,0.0015464902522708884,0.001512039834925657,0.001633225862062714,0.0013792745141788171,0.001602833198877793,0.0011312623563683672,0.0,0.0012192882132581345,0.0012937807317289856,0.0014404044523761445,0.0011843669296768252,0.0012609862424411776,0.0011783111285520683,0.0012460089662257256,0.001176026001638689,0.0018104169219283132,0.0,0.0015333122928277254,0.00151070995936143,0.001318086834411183,0.0010285244180655647,0.0012145903704872344,0.001490692142698937,0.0012332395651263586,0.0,0.0011244753233612364,0.0018188907546025674,0.0010483096237318104,0.0012117313447476273,0.00127726837832892,0.0,0.0,0.0013204501794545406,0.001047011861573746,0.0,0.0011775909281191732,0.0011704128152317987,0.0,0.0013691901178653327,0.0,0.001153918418525435,0.0012253425124306577,0.001011822424209937,0.0011001923909049775,0.0011363208350979835,0.001063725009326116,0.0,0.0012711674755586273,0.0,0.0,0.001015842946647856,0.0015018920448761502,0.0,0.0010899184384200963,0.0,0.001494133094153445,0.0010729685376268065,0.0010752110878488683,0.0011083407078173418,0.0011841606734285175,0.0012841198687750651,0.0,0.0011294345829124704,0.0014726412925785775,0.0011772028200964957,0.0012116321031884819,0.0012363668362346536,0.0011762263242828558,0.0,0.0011640315054438327,0.0,0.0015684212451577213,0.0,0.0010267924000239852,0.0,0.0010033325435951203,0.001240026355482887,0.0,0.0,0.0,0.0011967543135277302,0.0010610979888382235,0.0011790441817146088,0.0,0.0,0.0,0.0,0.0,0.0010841305170122483,0.0,0.0010632042599290654,0.0010370473344348547,0.0035045164342225486,0.0014488566600119627,0.0015455983566889232,0.0,0.0,0.0012308304970208798,0.0011046672358686065,0.0015808765882167344,0.001260964919151268,0.0011942284706188942,0.0,0.0,0.0011831529660550955,0.0,0.0,0.0011381075258441835,0.0,0.0,0.001036627519720396,0.0,0.0011496328866837575,0.0,0.0010541114704583758,0.0,0.0,0.0,0.0014453411009463907,0.0,0.0,0.0010238425917424312,0.001331782579854805,0.0,0.001318752249859877,0.0,0.0,0.0012683828254287874,0.0011978245666987783,0.0,0.0,0.0010164539492651466,0.0,0.0,0.001046952512972574,0.0,0.0,0.0,0.0,0.0010036667560819296,0.0,0.0,0.0,0.0010736455874205267,0.0010376322178485785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
