,Gamma,Other
0.025,0.8717657062829589,0.03597139336423074
0.05,0.8722513211120785,0.037488142409258005
0.25,0.8749631187399103,0.03953198929070005
0.5,0.8770865535435415,0.04165670228858052
0.75,0.8793505931253499,0.043795425587436584
0.95,0.8825745969235114,0.046378845499618446
0.975,0.8837284738543254,0.046986849486196705
