,BA.2* [Omicron (BA.2.X)],Omicron,Lambda,Other
0.025,0.8858946956706018,0.012333347886531593,0.011499224431074862,0.0
0.05,0.8860487953957443,0.01247775970076646,0.011523555074864942,0.0
0.25,0.8873349452498858,0.01365857746805666,0.01198296125174893,0.0
0.5,0.8890434444575896,0.014353141519159934,0.012349889929804066,0.0010071580940023228
0.75,0.8899802063578085,0.015393015476028919,0.012671439447519485,0.0011289283799460399
0.95,0.891277796976818,0.016593370528112633,0.01306219937682252,0.0021004584056714803
0.975,0.8921147094590616,0.01680214777645019,0.013320211044855262,0.0022552040983497912
