,BA.1.1.15,BA.1.1.16,B.1.1.529,BA.1,BA.1.20,BA.1.3,BA.1.16.2,BA.1.1.14,BA.1.17.2,BA.1.5,BA.1.1.17,BA.1.10,BA.1.1.4,BA.1.14.2,BA.1.17.1,BA.1.15.1,BA.1.1.10,BA.1.1.3,BA.1.1.18,proposed441,proposed446,BA.1.1.6,BA.1.1.11,BA.1.8,BC.1,C.37,BA.1.14.1,BA.1.19,BA.1.1.5,BA.1.12,AP.1,BA.1.16.1,BA.1.21.1,B.1.1.519,BA.1.1.12
0.025,0.5166498828268997,0.16468190384133155,0.15783226181828203,0.03489449974872124,0.033236128219093636,0.0026198153744950263,0.0017545782664678382,0.0016242657971792926,0.0014256908602754059,0.001480763914332298,0.00048247238019723677,0.0013361490611777348,0.0,0.0010388241644701498,0.0011203861840665544,0.0,0.0010190611873519223,0.0010567511369208996,0.0,0.0004804090524726052,0.0,0.0,0.0010002676662494933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5177174176678392,0.16543912186699938,0.1594183499898253,0.03586065619999114,0.03333087467704971,0.002655025610193781,0.0017611733215427687,0.0016606592052723708,0.001481831778219942,0.0015107792738320092,0.001040062118401727,0.0013671519835486202,0.0009511096296848794,0.0010685556882282054,0.0011531635294848186,0.0,0.0010699900885820497,0.0010621604639377627,0.0,0.001017216612804835,0.0,0.0,0.0010064472769132431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5198472689640588,0.16689289302751595,0.16243643265618285,0.038201792115189995,0.033669854436550684,0.0028013045679459274,0.0019117457703466145,0.0018563609263038464,0.0015769412541697032,0.001589804887727777,0.0011418695069021893,0.001483662960463202,0.001101932431693905,0.0011617944251445544,0.0013192963042799664,0.0011410255996327973,0.0011784132741550401,0.001141238904718645,0.0010753014779837102,0.0011160060826833447,0.0,0.0010294635517669448,0.0010871097663321147,0.0010101127165420163,0.0,0.0,0.0,0.0,0.0010388300665424984,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5216147646145338,0.1683234300122209,0.16436205193475975,0.04020401292153346,0.03396257937580703,0.002895959882828693,0.0019748493314101093,0.001970046160399163,0.0016436206425662465,0.001665436319141168,0.0012514416801891436,0.001550883752061137,0.0011683747360032833,0.001219392204362439,0.0014160415231769556,0.001266206177003874,0.0012793873435201684,0.0011837174153952854,0.0011442957547603961,0.0011780630476801637,0.0010244716256670794,0.0010847215550460884,0.001142903938980542,0.0011285319461400213,0.0,0.0,0.0,0.0,0.0010770311631964045,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5234327609796828,0.1694042370309008,0.16582839742854677,0.04208391480034529,0.03423250031775178,0.0030037134142509806,0.002035745527071216,0.0020823459707853633,0.00170573976043438,0.0017281682855916861,0.0013404128079384044,0.0016257915498116373,0.0012178147953150627,0.0012946607746364735,0.0015373736088609166,0.0014362524222607546,0.001337714308168379,0.0012392096216234925,0.0012194937724852727,0.0012551071451070463,0.0011023873471902145,0.0011255630381977826,0.0012138304796026759,0.0011985663617438043,0.001092699635154631,0.0010329531941591094,0.0010274598061443079,0.0010207182935877026,0.001113385163407709,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5251490680456039,0.17124077079560018,0.16849085083436688,0.045678331748723384,0.03465575724722449,0.0031390974353553316,0.0020957786180571688,0.0022069120460060957,0.0017626650202764774,0.0018310055582220091,0.0014824357316055123,0.0017456784246845198,0.0012881458400431799,0.0013712470895991644,0.0018076696561659428,0.0016982138008900733,0.0014443308199680771,0.001312816989455494,0.0013142886036308593,0.0013585044347807745,0.001166655842497235,0.0011718977862183008,0.0013166018848288464,0.0013243638977862855,0.00124977476001312,0.0012293130371003155,0.00109741887737293,0.0010972812725201057,0.0012040446426256845,0.0010600651405607243,5.01517756275906e-05,0.0010063614526851523,0.001059448624301499,0.0,0.0
0.975,0.526457242019688,0.17163334686097143,0.16952213192252838,0.046588610946521634,0.034684204850469975,0.0031510042235497323,0.002110472173976871,0.0022592634347456497,0.001778656223471254,0.0018570826285564648,0.0015050375022198823,0.001795097287625488,0.001313613916749773,0.0013935370394954206,0.0018515929799876984,0.0018000376414993638,0.001476582747452443,0.0013351058608759942,0.0013610365692462562,0.0013882783018513783,0.001182176050530998,0.0012078127112863399,0.0013615564715750187,0.0013718898858747714,0.0012735133234573356,0.0013103388607645823,0.0011072342078224616,0.0011048476016642832,0.001228345490771659,0.0010795588993820957,0.0010092042903297185,0.001028757712324746,0.001075903000192212,0.0005417612457236845,0.0
