,Omicron,BA.2* [Omicron (BA.2.X)],Other
0.025,0.9459774087784737,0.0,0.0
0.05,0.9461456737070444,0.0,0.0
0.25,0.9471248467240609,0.0,0.0
0.5,0.9479092373257625,0.0011954551964767476,0.0
0.75,0.9485104791350055,0.0014085832621325417,0.0
0.95,0.949554054890299,0.0016709727961496154,0.001100173761132022
0.975,0.9496254195123769,0.0022103369102158734,0.0011550122297196903
