,Gamma,Other
0.025,0.8698760166915729,0.04539573082913626
0.05,0.8705700650204705,0.04595946194502257
0.25,0.8718535711051933,0.04802250572964903
0.5,0.8727182978786645,0.048966863209338615
0.75,0.8736778480574857,0.05026921553611953
0.95,0.8752663393307905,0.052435821326043186
0.975,0.8758287025003058,0.05297500071886946
