,B.1.1,D.2,B.1.1.132,B.1.177,B.1.1.359,B.1.1.58,B.1.1.197,B.1.478,B.1.177.72,B.1.195,B.1.274,B.1.1.160,B.1.1.37,B.1.1.187,B.1.177.2,B.1.1.95,B.1.1.180,B.1.1.92,B.1.1.185,B.1.1.203,B.1.1.172,B.1.177.17,B.1.1.463,B.1.1.12,B.1.1.408,B.1.1.169,B.1.1.115,B.1.1.33,B.1.1.98,B.1.201,B.1.1.166,B.1.1.213,B.1.1.296,B.1.1.43,B.1.199,B.1.1.249,B.1.1.5,B.1.1.109,B.1.1.344,B.1.1.71,B.1.1.258,B.1.1.165,B.1.1.217,B.1.1.380,B.1.1.315,B.1.1.113,B.1.1.270,B.1.483,B.1.1.192,B.1.177.75,B.1.1.361,B.1.1.312,B.1.70,B.1.1.371,B.1.1.123,B.1.1.155,B.1.128,B.1.1.111,B.1.1.349,B.1.1.178,B.1.1.383,B.1.1.301,B.1.1.392,B.1.1.83,B.1.1.138,B.1.1.320,B.1.1.57,B.1.187,N.7,B.1.76,B.1.1.351,B.1.1.519,B.1.8,B.1.1.86,B.1.1.133,B.1.1.3,B.1.1.221,B.1.1.137,B.1.1.363,B.1.1.395,B.1.1.286,B.1.177.43,B.1.1.253,B.1.1.51,B.1.1.135,B.58,B.1.181,B.1.97,B.1.1.255,B.1.37,B.1.1.416,B.1.1.17,C.13,B.1.177.77,B.1.177.32,B.1.1.338,B.1.173,B.1.1.368,B.1.531,B.1.1.159,B.1.1.208,B.1.1.336,B.1.1.236,B.1.1.379,B.1.177.33,B.1.1.256,B.1.524,B.1.137,B.1.1.201,B.1.1.485,B.1.1.204,B.1.1.205,B.1.134,B.1.557,B.1.77,B.1.81,B.1.1.39,B.59,B.1.1.120,B.1.1.55,B.1.1.268,B.1.1.207,B.1.1.158,B.1.1.507,B.1.1.423,B.1.1.72,B.1.1.29,B.1.1.164,B.1.1.147,B.1.1.438,M.3,B.1.1.168,B.1.1.122,B.1.1.403,B.1.585,AS.1,B.1.1.325,B.1.205,B.1.1.347,B.1.1.382,B.1.69,B.1.1.437,B.1.1.34,B.1.1.134,C.2,B.1.1.144,B.1.1.26,B.1.177.25,C.26,B.1.1.339,B.1.444,B.1.1.261,W.2,B.3
0.025,0.41096942709309864,0.1183701516865535,0.0785429892548793,0.07567070181980681,0.005044062597821203,0.004735782914726267,0.0019535609748566516,0.0027512233158626842,0.002701496284600229,0.0023669840766548686,0.002277813971497214,0.0023213339981788036,0.002588678129803182,0.0025006901612216596,0.0020315872612935246,0.0016617847238624465,0.0014253296040832517,0.0017827653468332723,0.0021154343279461995,0.0015326269292709415,0.001831274563134817,0.0016318201198473642,0.0013321233754063431,0.0015059628283062038,0.0015979268975921434,0.0014958991729547935,0.0011478030061027387,0.0,0.0012494558811791691,0.0011830898911075326,0.0017854173737610192,0.0014266510696712247,0.0014336308147263083,0.0010800326731662847,0.0,0.0,0.0004843355136954474,0.001161732927065526,0.0,0.001074629932171806,0.0011737201017141532,0.0,0.0012414352497963066,0.0014094154996390888,0.0,0.0,0.0,0.0,0.0,0.00047964587222650864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010720914185968105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047825329798275006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.4122064969706284,0.118619565639163,0.07917133506448194,0.07577573812609548,0.005105886611160458,0.004761607878641007,0.0019974259467496224,0.002773522988710011,0.0027839859827869014,0.002422865938526454,0.0023740126762687402,0.0023581472534076413,0.002623869976575621,0.0025703838372059065,0.0021056317505195716,0.0017463154955023575,0.0014905244150031844,0.0018254873586440823,0.0021416335153921127,0.0016288919657743023,0.0019233647075970876,0.0017027853541611915,0.001456695613514102,0.0016350969666941344,0.0016187794751754084,0.001514622366674753,0.0012337209236622745,0.0009692790018514221,0.0012679274061809557,0.0012175166054631437,0.001826803849457013,0.0014582279956377529,0.0014729088487976563,0.001096546026916111,0.0,0.0,0.0010338031981193454,0.0011966000241102528,0.0,0.0011801312177873258,0.0011794517085857224,0.0,0.001259044265180495,0.0014609178277710788,0.0,0.0,0.0,0.0,0.0010124869644292799,0.0010243609611870514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011114566567622278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010262349199922258,0.0,0.0,0.0010553486198645761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.4163997652190119,0.11969830199437176,0.080506236484813,0.07667988921841566,0.005287445797587792,0.0049335124337478165,0.0023917338711471462,0.0029919548577743175,0.0030101453563710816,0.002623424504698369,0.002566972661752174,0.0026092232047195407,0.0027919451309418395,0.002719640863989811,0.0022685346434376213,0.0019537142225792767,0.001791504769284395,0.0020127090691690504,0.00229357392205167,0.0017852595716056025,0.0021767485630482617,0.0018698530221797234,0.0016316931240116443,0.0018868872070345755,0.0018213189314205955,0.001646358877648117,0.0015020092466525555,0.0015238741085284182,0.0014342987770297364,0.0013030495496856582,0.0019459628056404225,0.001558672901124787,0.0015996172547378881,0.0012920377074206468,0.0010294731346721904,0.001470520665566266,0.001146954659038676,0.0012925547764088543,0.0011240832452148151,0.0014277616173331313,0.001300944988414134,0.0,0.0013252316209641005,0.001549366218375421,0.0010352850231750586,0.0,0.0,0.0,0.0010670280069589914,0.0011245171296148898,0.0,0.001004567123931059,0.0,0.0,0.001037263109550056,0.0,0.0,0.0011587026117313465,0.0,0.0012455304247226805,0.0010281437266249584,0.0010307998146727136,0.0,0.0011163396873936186,0.0,0.0010039963819395044,0.0,0.001099297388428477,0.0,0.0011059966119190167,0.0,0.0,0.0014045703373344468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.41995328364073126,0.12047767380391644,0.08179467639148416,0.07754462463493625,0.005464854015010309,0.005049265378469685,0.0026771835948023286,0.00307900356623449,0.0031848851911781646,0.002765340082831649,0.0026883521511849285,0.0027788240387448386,0.0029400101200005306,0.0028764320761682427,0.0024004582292406007,0.002073591870285255,0.002036164570131378,0.002214632109570824,0.0023877114571794096,0.0018888952085906064,0.002312004778183623,0.0019599002830466136,0.0017847330618611648,0.0020706431291064834,0.0019299601597481477,0.0017489969626469626,0.0016200868602850495,0.0018746410741513932,0.001537526615523891,0.0013934928727487236,0.0020948250327611534,0.0016265066178745026,0.0017174905967962397,0.0014198463024911278,0.0011112005196092288,0.0018372296238862885,0.0012280773652730676,0.001388306207385189,0.0011967558473969533,0.0016059328986063244,0.0013886023485583294,0.0010884091039321322,0.0013717416901326126,0.0016834057799088467,0.0011668499610879286,0.0010979386949716025,0.0,0.0010519346469314511,0.0011290115282308942,0.0011737706897192442,0.0010138103618539574,0.0011113325724300962,0.0011178959177435487,0.0011007049401353694,0.0011012469974953547,0.0,0.0,0.0012969361031574785,0.0010316279684557035,0.0013871236242218824,0.0011185439213859001,0.0011528867377541717,0.001014087787447717,0.0012137372553430387,0.0,0.0010580539680449014,0.0,0.001271486909742828,0.0,0.0011804923767967926,0.0,0.0,0.0015357395801967916,0.0011327023047830059,0.0,0.001009427964968506,0.0,0.0,0.0,0.0010291647669422458,0.0,0.0,0.0,0.0,0.0010792057239281114,0.0,0.0010571797003826307,0.0,0.0010566912282068248,0.0,0.0,0.0010518512182448158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.42266277916219197,0.12107598166159873,0.08312760501009725,0.07858236460673323,0.00563835924589982,0.005192475259631488,0.0029672060399443777,0.0031995978892575896,0.003318743483766298,0.002910372812301486,0.0027984438847604674,0.002947764652038269,0.003057303648332508,0.0030409923592216175,0.0025034957408452546,0.002214121126779642,0.0022871035940962023,0.0024735041897676864,0.002517491024853423,0.001972160860496469,0.002503059508450722,0.0021651419466925965,0.0019098672639853492,0.00227713415881315,0.0020184382237550505,0.0018837461396630855,0.0017782358217159086,0.0022965705101909662,0.0016557370523423856,0.001492050214783423,0.00223203010523782,0.001718143874217931,0.0018145328551601354,0.0015519306391277789,0.0011779622796891992,0.0021741220493895633,0.0013181213021824772,0.0015158845590243894,0.0012581635170799054,0.0017488386562105318,0.0014605775043079604,0.0012017808767972454,0.001416561194095323,0.001790862573563804,0.0012795729647704,0.0011925466458565517,0.0,0.0011479412367295444,0.0011896558801785273,0.0012560680404881334,0.0010788004604787664,0.0011779467791727999,0.0013155075245628936,0.0012222536156035937,0.00116063701583789,0.0,0.0,0.001413238262643578,0.0011187955236538834,0.0015324631551370954,0.0011813521817721972,0.001261706749839946,0.0010957756014050993,0.0013201463134966207,0.0010890148097561039,0.0011002535905913218,0.0,0.0015168820668196236,0.0,0.001260762828292572,0.0,0.0,0.001622727790280575,0.001334466577628746,0.0,0.0011014203074494432,0.0,0.0,0.0010465950556304768,0.0011160706766822636,0.0,0.0,0.0,0.0010866865658135736,0.0012562940880660306,0.0010983800740533571,0.0011767235031271076,0.001167079525031419,0.0011693575723364887,0.0,0.0010673114048963617,0.0011173864359333274,0.001142989634978738,0.0,0.0010584748701570597,0.0,0.0,0.0010269524065488643,0.0,0.0,0.0,0.0,0.0,0.0010101320115325804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010452702091701188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.425358391495582,0.12225740515368252,0.08554124813990131,0.07980529131697071,0.005862904475540059,0.00537750873653055,0.003469710686659521,0.0033665596322342787,0.0036233544716537057,0.0030562493106075206,0.0030302312774441874,0.0032484810962847763,0.003265591920554082,0.0032712086755284837,0.002606459522502273,0.0023811477239387333,0.0026829161232313496,0.002848238721004286,0.0027478231219351763,0.0021255918685935114,0.0028039824628635353,0.002378755583455664,0.002094456247884499,0.0024895733093275494,0.0022087353066575525,0.002040713369803857,0.0021119671347838145,0.002933629727583848,0.0018225815420115578,0.0015960527188089732,0.0023804868094244457,0.0018323181097933921,0.0019620841164453783,0.0016715844460052855,0.0013173162154374546,0.002491790153417028,0.0014236710247398996,0.0016121872735033963,0.0013697121295136569,0.001999802282477987,0.0015685498910250517,0.0013819903623734258,0.0015286739963737215,0.002008413557315103,0.0014951832376877974,0.0013701845181110475,0.0011237645859935137,0.0012812853121745955,0.0012794912919653503,0.0013610918238803043,0.0011792287858508309,0.0012485714975260503,0.0016227877929849584,0.0013263783756626473,0.0012520452905798733,0.001124789315576481,0.00108209302121063,0.0015748045314262302,0.0012269292193042448,0.001672695335984656,0.0013438149610421892,0.0014331721996977077,0.0012288017686649575,0.0014542435366074176,0.0012259745153065777,0.0011540575199092155,0.0,0.0018589325959314986,0.0010597284561416084,0.0013677408491220026,0.0,0.0010584799685515402,0.001863323287003847,0.0015630648411556825,0.0011573104387574804,0.001180662391617631,0.0,0.0010857176429660553,0.0011628026346257314,0.0012647736177679454,0.0010938342160724441,0.0011235616769145727,0.0010124690389981385,0.001337295164764898,0.0013669106651124751,0.0012143821257385825,0.001333982885334746,0.0015927051151290363,0.0013876063806894314,0.0010198101779368537,0.001256919388281667,0.0012114634286325714,0.002034467874481248,0.001082451403514118,0.0011409119296055205,0.0,0.0010119961507341585,0.001297611303924627,5.048335120660873e-05,5.245213742403693e-05,0.001037899013938621,0.001033735375954915,0.001020650450181502,0.0011599556925819849,0.0011100036325829143,0.001080531637733889,0.0010661202583288423,5.00048384146759e-05,0.0,0.0,5.1726284520694974e-05,0.00129004149789682,0.0011138859098532732,0.0,0.0,0.0,0.0,0.001151598647989682,0.0010391173812492605,0.0010304607547480904,0.0010391878552856223,0.0010044955776178936,0.0010095016003767766,0.0,0.0,0.0,5.326657225500562e-05,0.0,0.0,5.020584395958314e-05,0.0010308055314971942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.42652172727290033,0.12243311228624452,0.08644389242523033,0.08015201366440433,0.005996166738745681,0.00545562755690805,0.0036140141412877736,0.003407639386426108,0.0037029071382465545,0.003118973487120987,0.0030835939025046404,0.003282943626243715,0.0033087436602663453,0.003291120758283408,0.002632324254022717,0.0024224994606494694,0.0029042761511654043,0.0028957887800977024,0.0028428967038911174,0.0021760741834304168,0.002977013842851888,0.0024981894351626226,0.0021224077195390913,0.0026214586853725813,0.0022565188114943868,0.0020747446101434127,0.0021930451366497183,0.003040549555435267,0.0018928428039454656,0.0016458265927102784,0.002468776311147177,0.0018773144953246937,0.0019756332560587598,0.0016921668126688313,0.0013936389797317439,0.0025544394131260337,0.0014524606575681922,0.0016504722280089312,0.0014006386122266006,0.002101481142514135,0.0016302697235706023,0.0013911713547969456,0.0015526577706090824,0.002073767370024629,0.0015578187698103666,0.001416262491837792,0.0011774022785309794,0.0013021103073440176,0.001299712725989396,0.0013899525252801497,0.0012132441945889034,0.0012602829265471128,0.0016441650830392866,0.0013384751994954805,0.0012974715311379564,0.0011542647660039785,0.001136996351338076,0.0016544325513786805,0.0012390418020755258,0.001730929197750993,0.0013800996248726572,0.001465451586938294,0.0012653044277403515,0.0015812987476844342,0.001262284495124329,0.0011879120407299808,0.0,0.001954253286504121,0.0010821876500071565,0.001423103557777491,0.0005400966764062016,0.0010830427896244186,0.001906534520090144,0.0017242117872906008,0.0012203273953192975,0.001187594363482267,0.0,0.0011261986019266835,0.0012033026484670692,0.0012818230850557715,0.0011678909740968403,0.0012410126628852529,0.001033745533193148,0.0013663430714805282,0.0014640321680073408,0.0012217843485169719,0.0013617708411014782,0.0016423950720996648,0.001402195815777,0.0011226796207381231,0.001336238409359922,0.0012206289956723207,0.002087682954436625,0.0011164384178803098,0.0011458812975008946,0.0010301404419700982,0.0010598077847577012,0.0013657365701749437,0.0010207076822971576,0.0010824479291893908,0.0010744910371510454,0.0010778536590937257,0.001123339106411067,0.0012193746112307469,0.001142471214513789,0.0011008937803123602,0.0010844395609455363,0.001033047278016366,0.0005312596242707649,0.0,0.0011412826914706116,0.0013919701425572984,0.0011564913619856057,0.0,0.0,0.0,0.0,0.0012144200763936387,0.0010915716925982777,0.0010390078817882904,0.0010828201221996137,0.001076221677259021,0.0010895676921450872,0.0,0.0,0.0,0.001080547752422026,0.0,0.0,0.0010297947040673139,0.0010594159959422843,0.0010600760525887286,0.0,0.0,0.0010086877406232633,0.0,0.0,0.0,0.000528293403270684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
