,Gamma,Other
0.025,0.8901108322131046,0.009842261849817902
0.05,0.8908286051309722,0.010405968137681602
0.25,0.8922207880087426,0.011507583886526023
0.5,0.8951403486323793,0.012375965854524452
0.75,0.8998814664572184,0.012975752220483671
0.95,0.9011945151516749,0.014347564097736827
0.975,0.9014942412672834,0.015258034092101079
