	freyja/V350082740_L14_73-73_variants.tsv
summarized	[('Other', 0.419213221566125), ('Omicron', 0.2567736071754856), ('Lambda', 0.19223527459193163), ('BA.5* [Omicron (BA.5.X)]', 0.002939063606702474), ('BA.2* [Omicron (BA.2.X)]', 0.0025350040106131696), ('Delta', 0.0022516899714661526)]
lineages	N.4 XAE C.37 B.1.177 BA.3 BA.4.1 B.1.8 B.1.274 B.1.177.72 B.1.195 B.1.177.17 XZ BA.4.1.3 B.1.187 XY W.2 B.1.201 B.1.483 B.1.1.109 B.58 B.1.76 BA.4.1.1 BA.4.1.5 BA.5.6.1 AA.8 proposed590 B.1.177.33 B.1.70 B.1.393 B.1.177.32 B.1.1.361 N.7 B.1.106 B.1.97 B.1.128 B.1.478 B.1.177.75 B.1.177.10 B.1.375 AP.1 W.3 B.1.444 B.1.131 B.1.600 B.1.215 BA.2.9.1 B.1.1.251 B.1.1.437 B.1.177.77 B.1.1.217 B.1.134 B.1.199 B.1.603 BA.2.2.1 B.1.445 B.1.423 AY.3.3 B.1.127 N.2 B.1.234 B.1.629 B.1.404 B.1.585 W.1 B.1.277 B.1.1.524 BA.5.2.5 B.1.177.4 N.1 B.1.81 B.1.1.44 B.1.177.25 B.1.640.2 B.1.205 AY.75.3 XR B.1.142 B.1.1.224 XL B.1.1.93 AV.1
abundances	0.24750597 0.20085001 0.19223527 0.07466335 0.02130281 0.02034184 0.00411663 0.00365599 0.00360465 0.00337736 0.00325488 0.00320479 0.00301424 0.00276428 0.00229942 0.00213402 0.00213073 0.00210671 0.00204734 0.00195578 0.00194680 0.00187865 0.00183835 0.00183530 0.00176561 0.00172049 0.00158573 0.00158494 0.00154814 0.00152180 0.00150075 0.00148518 0.00147786 0.00146688 0.00144391 0.00142162 0.00141820 0.00141258 0.00138944 0.00137072 0.00136283 0.00134319 0.00133902 0.00131006 0.00129482 0.00128996 0.00128877 0.00128160 0.00127600 0.00127595 0.00126221 0.00126024 0.00125504 0.00124505 0.00122548 0.00122117 0.00121728 0.00116476 0.00115729 0.00115334 0.00114907 0.00114727 0.00114377 0.00113686 0.00111949 0.00111743 0.00110376 0.00108684 0.00108254 0.00108080 0.00107994 0.00107725 0.00106712 0.00104261 0.00103441 0.00103169 0.00101382 0.00101238 0.00101181 0.00100474 0.00100117
resid	16.35355402139379
coverage	100.0
