,BA.2* [Omicron (BA.2.X)],Omicron,Lambda,Other
0.025,0.9272826264088605,0.0004766690044413856,0.0016947444409165242,0.0
0.05,0.9276696137812981,0.0010532808261586295,0.0018018888978618495,0.0
0.25,0.9299224775490245,0.0011333676115554009,0.0020186397259477446,0.0
0.5,0.9315241439197883,0.0021631845432734213,0.002123206348052806,0.0
0.75,0.9329449971908386,0.0023540608388691008,0.00225093135252148,0.00103445541686456
0.95,0.9352578404410042,0.004140611445538084,0.0023805844007400725,0.001250635638798721
0.975,0.9365171559391967,0.0043465050469059146,0.0023932421717846983,0.0016950121382198755
