,P.1.10,BA.1.1.15,miscDeltaBA1Post4k,B.1.1.529,N.6,BA.1,BA.1.20,C.37,P.1.12,P.1,BA.1.1.14,B.1.177.72,B.1.177.17,BA.1.3,proposed446,XZ,BG.3,P.1.14,B.1.97,XY,B.1.70,BA.1.1.10,BA.1.15.1,B.1.393,B.1.187,BA.1.16.2,B.1.177.75,BA.1.7,P.1.1,BA.1.1.3,BA.1.1.18,BA.1.10,BG.1,B.58,AA.8,N.5,BA.1.8,B.1.1.109,P.1.16,B.1.375,N.7,BA.1.1.4,BC.1,BA.1.1.11,BA.1.19,B.1.177.32,BA.1.1.5,BA.1.17.1,B.1.549,B.1.1.217,B.1.205,B.1.1.176,B.1.128,B.1.1.437,B.1.1.388,B.1.531,B.1.23,B.1.1.361,V.1,P.1.9,BA.1.14.1,XF,B.57,BA.1.1.6,B.1.579,AA.7,proposed441,AM.3,P.6,P.1.17,BA.1.5,B.1.127,B.1.188,N.2,B.1.1.147,B.1.177.10,B.1.254,B.1.415.1,B.1.177.26,P.1.15,B.1.569,BA.1.17.2,BA.1.1.17,XR,P.1.7.1,B.1.1.224,B.1.1.338,B.1.177.73,B.1.619.1,N.10,B.1.421,B.1.177,B.1.177.20,B.1.177.63,W.1,BG.4,BA.1.21.1,B.1.629,P.1.13,BA.3.1,B.1.543,B.1.567,B.1.524,BA.1.15.3,AP.1,B.1.177.33,B.1.423,B.1.177.39,B.1.564.1,B.1.1.519,B.1.444,V.2,B.1.478,AA.3,B.1.544,C.36.1,W.2,B.1.474,BA.1.14.2,C.37.1,P.1.11,Z.1,proposed590,AY.16.1,B.1.177.25,B.1.1.120,B.1.1.251,B.1.203,W.3,B.1.603,B.1.273,AH.1,B.1.400.1,B.1.177.74,B.1.106,BA.2.12.2,BA.5.2.5,B.1.1.29,B.1.177.69,B.1.177.87,BA.1.23,B.1.618,B.1.177.43,B.1.631,AY.75.3,C.2.1,B.1.9.2,B.1.550,miscBA2BA1PostSpike,BA.1.1.12,BC.2,P.1.8,B.1.563,C.30,AV.1,XH,B.1.546,B.1.639,B.1.1.337,BA.2.9.1,C.31,B.1.350.1,XE,BA.2.2.1,B.1.617.1,BA.1.9,B.1.1.320,BA.1.16.1,B.1.177.71,B.1.1.315,B.1.525,B.1.1.44,C.18,P.3,XQ,B.1.177.51,BA.1.4,B.1.601,B.1.1.312,B.4.8,B.1.1.138,B.1.221.4,BA.3,B.1.1.524
0.025,0.19471480845675798,0.14100108286349947,0.08147452127962657,0.0783586522046253,0.07309294357186451,0.03512501121899811,0.035781507073759336,0.024403482275767188,0.017607366773905866,0.0007079479219087173,0.0038038309923516195,0.0030027124780067295,0.002788996739933977,0.0025137267008365485,0.0015673423844371557,0.0,0.0023956787217595302,0.0018515673609058076,0.0015691317377331839,0.0010368894692949042,0.0,0.00197098820514113,0.0012359615929962281,0.00155285607434477,0.0014745053188204669,0.0020689012511576036,0.0014184736591806206,0.001763657063893926,0.001295539985959248,0.0011830147507872573,0.001405485138963953,0.0011489749657430206,0.0015085260072110766,0.0,0.0,0.0,0.0005086197720056858,0.0,0.001034160316297095,0.0,0.0011789296097810965,0.0,0.0,0.0,0.0012107348526721033,0.0,0.001251283038458197,0.0,0.0010982035873549514,0.0011343538545820365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005118947681554364,0.0010571239591048174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011958386413390958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005385616215768161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.19579007925484043,0.14204309767569884,0.08321992574618496,0.08019988619306943,0.07347154257389853,0.036259148515660374,0.03590402769330519,0.024754363442110343,0.01771740629305756,0.0023423061674746116,0.004119491116637308,0.0030799614364779506,0.0029548373950558254,0.0026635064458882555,0.0018597224949091537,0.0,0.0025053400651909056,0.001939541407755173,0.001695231287206243,0.0010947899821946426,0.0011070825751222184,0.0020184669062324532,0.0012785415461750822,0.0016200635330105401,0.0015410403626632293,0.002148700379128281,0.0015050113102272169,0.001867881952454312,0.0013648904125338648,0.0013546662505304126,0.001483511257816358,0.0012127145946786648,0.001586190493706158,0.0,0.0010689521193123748,0.0,0.0011110581619463214,0.001086062958883254,0.0010598283460441869,0.0,0.001211540962715582,0.0,0.0,0.0,0.0012581031063898871,0.0,0.001291967605220337,0.0009953434200938216,0.0011081510409282557,0.0011614099631389557,0.0,0.0,0.0,0.0,0.0,0.0,0.001006106907181425,0.0,0.0,0.0,0.0011503659207303596,0.0010670615896119042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012061287234392903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012240633107579908,0.005690270516384415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.19954135750581023,0.14639240795305575,0.08695004437075596,0.08450228606150183,0.07458761166435304,0.042186320408299754,0.03698361148686714,0.025451736018742142,0.018744381695885888,0.007053730604283029,0.004798125340072292,0.003320106112481709,0.0033760049422148844,0.0031171398215685616,0.0023496873333986425,0.0,0.002800856025452181,0.002312721406470789,0.0020685816290286507,0.0013839551931781524,0.0014318529935094474,0.002435467278418751,0.0015984082413037293,0.0017254705788783003,0.0019396055405040047,0.0023368221255546584,0.0016960669770656122,0.002198690295146117,0.001703618958353176,0.0016544515856365587,0.001779516577771726,0.0014937519378058692,0.0018193325350836197,0.0,0.001206011102412508,0.0,0.0013942581972290699,0.0012874319893610017,0.0012367749087349488,0.0,0.0013627938209580326,0.0011218848387159462,0.0010679701454576473,0.0012441267406156126,0.0014714165839270696,0.0011183450144835348,0.0014308974300710096,0.001404782403519894,0.0013389315861356724,0.0013642917872921535,0.0,0.0,0.0011677246899782713,0.0011438247994941398,0.0,0.0010707656708240096,0.0013490135645193894,0.0,0.0,0.0,0.0013334095919992704,0.0014170820277386704,0.0,0.001190364987120135,0.0011325985776927316,0.0,0.0,0.0010457626210644447,0.0,0.0011528411306358434,0.0010349855296371605,0.0010784645309972294,0.0,0.0,0.0,0.0013986023714016218,0.0,0.0,0.0,0.0012762110145032308,0.0,0.0,0.0,0.0,0.0011017160029415502,0.001100678698760376,0.0,0.0,0.0,0.0,0.0,0.0071242597383717075,0.006584794955954598,0.0,0.0010915961150266404,0.0,0.0,0.0,0.0,0.0010022955177700975,0.0,0.0,0.0,0.0,0.0010754568290387225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.20171498538385302,0.14968274377490867,0.08937526694598455,0.08788392240915596,0.0753290238858756,0.045969847962522084,0.038116689460581235,0.02616643888458966,0.019501293038980815,0.010818818476116803,0.005260912767536739,0.003768526792172466,0.003754741227796834,0.0033434220432248074,0.0027830638855348873,0.0013387133571958212,0.0029700442255465656,0.002491133092177986,0.002292458262943972,0.0016521792777188478,0.0019610676257383166,0.002683138278738683,0.002017147318591991,0.0018795191467862998,0.0021888675836570686,0.002472121471483854,0.0018910039187087376,0.002512960252181371,0.002001514816199478,0.0017974942949959807,0.001960177796952943,0.0017245800187953874,0.0019259227309981184,0.0,0.0013852541457050607,0.00113189315560044,0.0016431223472742158,0.0014834610905529637,0.001358838355985166,0.0,0.0015216882443471217,0.0012933126354860275,0.001199115221372021,0.0014664298917114603,0.0015950954621289752,0.001258666141876676,0.0015337423741859,0.001725228642874051,0.0015256176877695773,0.0014830952453369617,0.0,0.0010233505253691277,0.0013046947570557938,0.001280843583490908,0.0,0.0012146877768080366,0.001499096445605004,0.0011063336464197393,0.001124391510812299,0.0011892310357330634,0.001487770517119731,0.0016855293968176376,0.0,0.0014177120022792508,0.0012571298682819028,0.0011040058399016208,0.0,0.0011832760039299512,0.0010762334899267231,0.001392110628661993,0.001204423528347807,0.0012107549277872993,0.0010902624656998429,0.0,0.0,0.001549231102083226,0.0011374667216187042,0.0,0.0,0.0014914261762011345,0.0,0.0,0.0,0.0,0.0013458515840452483,0.0011912755982261582,0.0011038128650701095,0.0,0.0010781622754882474,0.0,0.0,0.009684071827584535,0.007054461899566136,0.0,0.0011808847280818688,0.0,0.0,0.0,0.0,0.0011695000785095682,0.0,0.001037035806167594,0.0,0.0,0.0011850405229021353,0.0,0.001038941915204203,0.0,0.0,0.0,0.0010410872356811092,0.0,0.001255177686368009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00110177713229056,0.0,0.0,0.0,0.0,0.0,0.001013631041777271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.20455684984422037,0.15233795571197606,0.09172449482256366,0.09048005873292218,0.07614800990782389,0.04935835040972125,0.038994242947305746,0.0267028515678866,0.020064289495723645,0.01480738433787606,0.005789035262050088,0.004063659810499986,0.004059235324260662,0.003635798657421849,0.003193192691607978,0.001984467943868778,0.003147341669019947,0.0027068979950886,0.002594925826461465,0.00195259355480693,0.0025452586606206445,0.0030797111078232913,0.0024219734359590935,0.0020065498823687404,0.0024143443006931263,0.002602868628303946,0.0020558912586495655,0.002701532133265849,0.002245004934442762,0.002011528893238302,0.0022007853841676493,0.0019798503683441607,0.0021061544821639497,0.0014084853326206373,0.0016662475474088856,0.001292602077655965,0.0018621466029677821,0.0017200715067450102,0.0015162959842181054,0.0,0.001637631531654997,0.001504567569427764,0.001387929597623676,0.0016058967559760052,0.0016978757457301833,0.0013917056041471158,0.0016912202475158683,0.002022489426169707,0.001681731608072588,0.0016461671232827942,0.0011180954289735081,0.0011353149674301457,0.0014413703539957413,0.0013677438549280197,0.0010375350829631704,0.0013036110045875741,0.0017156159860970653,0.0014092280247185774,0.0013288896315422059,0.0014720813496334265,0.0015971224980295023,0.0019499656801552716,0.0,0.0015751613047731222,0.00137515773349047,0.0012569912877370567,0.0,0.0012621301729192564,0.0011999885417385869,0.0016500620716143112,0.0014338387855753138,0.0013355257443243935,0.0011839341691225519,0.0010560930117268733,0.0010291765174813745,0.0016551212376367474,0.001409267357329983,0.0010898920518446742,0.0012123069978626578,0.0018591883543863773,0.0,0.0012266019157643141,0.0,0.0010526697752161374,0.0015833441764751403,0.0012588987958629487,0.0012543218361086848,0.0010669974163025151,0.001190505025131329,0.0010056593154174126,0.0010655742675031916,0.01273803287825094,0.0074639711955978225,0.001249045815908414,0.0013325654224452194,0.0012912211697425078,0.0011085828067925042,0.0010520380419842797,0.001233140677512286,0.0014537549604034619,0.0011681594235199706,0.00134208016515464,0.001158993159856595,0.0,0.0013000234942281248,0.0,0.0011102189313806669,0.0,0.001075729539158638,0.0,0.0011444192910567176,0.0,0.0014999066935333367,0.0012520222695565463,0.0,0.0,0.0011347454331850032,0.0,0.0,0.0,0.001029521564879168,0.0013702403317034303,0.0,0.0,0.0010465662398419654,0.0,0.0010828054105304805,0.0011056633706395989,0.0,0.0010612966354454935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.20765776476499412,0.15726920725695484,0.0947877530378506,0.09452282435365841,0.07723910733532158,0.05585962699682069,0.04039691043252426,0.027445649917581468,0.021105680011769285,0.01963520705291538,0.006520677950802156,0.00455399468909064,0.004533647670631304,0.004048154403554384,0.004069613818814521,0.002722261878363309,0.003395328905101538,0.0029964647746441734,0.0030356224945116655,0.0024464289504116045,0.0034350127344367765,0.0033555290523132183,0.0035801865814795593,0.0022559599781832584,0.0027542902447418656,0.002845010784433857,0.0022966685215115154,0.0032486279181318358,0.0025892649389714748,0.0022078449049074277,0.0024396173147019106,0.0022668737487818876,0.0023203740400699014,0.0019212965422573413,0.0020051353468985476,0.0015762620385065807,0.002205240443320503,0.0020089812265360932,0.0016804695645567839,0.0010983050888479283,0.001824753186944052,0.001711176962283425,0.0015560763400003215,0.001941868916713624,0.0019015699155915152,0.0015248425567747873,0.0018412891966661387,0.0023912370252619493,0.0019455054901498922,0.0018070535270656254,0.0013887374563938157,0.0013046687264043218,0.0016848438950781495,0.0015372141480635554,0.0013239500995064094,0.0013985686881702215,0.0020154939011724584,0.0017875733532069843,0.0015409843722685949,0.0018547418624099985,0.0017530482131895037,0.0024189580605937806,0.0,0.0018368893439247402,0.0015092056806636927,0.0014295770263178375,0.0012697224308288884,0.0014801596971002807,0.0013149826141113875,0.0019830079638318114,0.0016810613255315739,0.0014629210302898868,0.001374434663356303,0.0011860498650466558,0.001135807191758557,0.001827223666516043,0.0020690791258030656,0.0012395964503483536,0.0014908672712703912,0.0024338193913167306,5.054248957412072e-05,0.0015377712014541997,0.0015644199365216186,0.0012523650493904066,0.001859688104086152,0.0013893806108302596,0.0014766351224203293,0.0013125260721475755,0.0012855501667198331,0.0011597452760200757,0.0012502870962979313,0.018216921172478688,0.008367138517609111,0.0015563352612317474,0.001517669942347032,0.00155230284197161,0.0014011661509043803,0.0012256544832955905,0.0019453471292765708,0.0019344233835658765,0.0016094353158596848,0.0016787093871492977,0.001366469806212732,0.0012365623483248424,0.0014678869004500414,0.0012735074089027692,0.0012803244452154416,0.001060885077439155,0.001335706890913653,0.0011764984918977088,0.0012736959322615967,0.0012772347054648499,0.001930822047275081,0.00149768899053245,0.0011435024203576736,0.0010882793617236096,0.0014440308900098386,0.0011229964831216833,0.0012750900664568045,0.0,0.001143540664542945,0.0016578938259701648,0.0,0.0011203188417896837,0.0014520175146238528,0.0010483186239104044,0.0012951319815137946,0.0012888530907741234,0.0,0.0012746417302280926,0.0010767485948154376,5.006704685761122e-05,0.0010093318920156057,0.0010306160695826465,0.0010465083570635539,0.0010174021011357484,0.00126633354865618,0.001075619745193347,0.0011389152878443758,0.0011202352520713285,0.0010156112830533362,0.0010264881497767003,0.0013217397121519983,5.051423483595508e-05,0.0,0.0,5.121201812170169e-05,0.0010954867562721845,0.0015502460720505542,5.147210308437683e-05,0.0,0.0011449409466509671,0.0,0.0,0.0,0.0,0.0010293581927008537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.20998845762129933,0.15913442139534922,0.09501204554861685,0.09600950875814426,0.07752476184793111,0.05648522305267159,0.04060896379469335,0.02755108138948536,0.021283047488594362,0.020121141208480207,0.0066287600400004275,0.004690740985273642,0.004836525062029465,0.0042004269751261935,0.0042289742558891934,0.0030602625316682266,0.003471568691229091,0.003043681889213327,0.003226883073485528,0.002713860376273795,0.003631642232221549,0.0035727063737987395,0.0036987097915438002,0.0024147112403848656,0.0028491537571971805,0.002880732027980666,0.0024280151692467186,0.0034080820442019713,0.002651486262030809,0.0022314039826486234,0.002535566682027279,0.0023487767204781016,0.002427307550909605,0.0020251206595325423,0.0020914157009217548,0.001759471048245159,0.002330718677465412,0.002125541552630603,0.0017044871469294742,0.0011639667331895403,0.0018579253574849972,0.0017776461984558905,0.001723984702134168,0.0020395288078599748,0.0019396475708464535,0.0015587814418527666,0.001909933897254031,0.0026838179343907282,0.0019692670488858704,0.0019214851090650223,0.0014329012448089462,0.0013494302797414674,0.001742396889657438,0.0016071126632226488,0.0013464761608869326,0.0014179633052622898,0.002084294271037901,0.0018960151663192613,0.0016771191166061457,0.0020404442117558214,0.0017769909687441112,0.002582251189626387,0.0006496729499962195,0.001864933921497511,0.0015573660028633054,0.0015138288442522513,0.001308205805780976,0.0014959383723513336,0.0013183819259176366,0.0022425382335015728,0.0017117625513944715,0.0014939604956977083,0.001427653955206287,0.001209330510387334,0.0011528231055486394,0.001894573972095269,0.002212162751261815,0.0012480409009892764,0.0015601330069694495,0.00265896091817984,0.0010581456434016828,0.0016119722921189414,0.001616590541575088,0.0013510055548186268,0.0019174135929295455,0.0014117360870485385,0.0015398051203982302,0.0013732272517205234,0.0013043844674498603,0.0012482023949440843,0.0013030602779938397,0.01979457212421097,0.00886354184277394,0.0016176074813140445,0.0015472954435136325,0.0016598803654032659,0.0014848004937036863,0.0012846323473322864,0.002323131324600066,0.0020091276423336558,0.0017028386947296739,0.0017348995478774863,0.001411293016135095,0.0013445869170680444,0.0015050199778746337,0.001296836096345855,0.001314436889603423,0.0010685270588122182,0.0014086704718649229,0.001235561263282446,0.0013302698686759968,0.0014488323388196385,0.001982390249712677,0.001665941280384442,0.0011870778713099796,0.001105367507636863,0.0015014500051028956,0.0011950976273059004,0.0012809315107417721,0.0010621246024612185,0.0012047615784199033,0.0017689214764085356,0.001033428489966665,0.0011733846193926192,0.001574541674184317,0.001087799039491525,0.0013621181999132332,0.001367122483548543,0.00115534395039075,0.001383618444430433,0.0011059130154981625,0.001001450299253336,0.0010405385999316895,0.001095992269509234,0.0012339356253449252,0.0010473085251676225,0.0012851977135395903,0.0010899923850950849,0.00144239035308777,0.0011353362611501783,0.0011561085158437498,0.0010622800905241796,0.0015298780520866496,0.0010156360392115725,0.0,0.0,0.0010899906152142755,0.0011280801796698587,0.0017841115501245671,0.0010483208329236777,0.0005427665581328038,0.001243967362538156,0.0,0.0005914535512575116,0.0,0.0,0.0011100216753807122,0.0005834306455082244,0.0,0.0005396787718207692,0.0,0.0005258604732137149,0.0005708430921525108,0.0,0.0,0.0006158229757214823,0.0,0.0,0.0,0.0,0.0005277707938756615,0.0005329002435675674,0.0,0.000527923321732629,0.0010352820258564554,0.0,0.0005489282836681227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
