,N.4,B.1.177.20,B.1.177,B.1.177.17,B.1.177.2,B.1.70,B.1.177.77,B.1.1.217,B.1.1.109,W.1,B.1.1.388,B.1.177.33,B.1.1.361,B.1.177.10,B.1.77,N.5,B.1.525,B.1.177.72,B.1.205,B.1.579,C.2.1,Z.1,B.1.177.69,B.1.1.437,B.1.629,B.1.1.176,B.1.177.51,B.1.93,B.1.1.396,B.1.203,D.2,B.1.177.71,W.2,B.1.1.320,N.7,B.1.524,N.2,B.1.177.43,B.1.177.75,B.1.106,B.1.177.73,B.1.478,A.3,AM.3,B.1.127,B.1.188,AH.1,M.3,B.1.177.25,B.1.273,B.1.564.1,B.1.177.74,AP.1,B.1.187,B.1.474,B.58,B.1.404,AA.7,B.1.571,AA.4,B.1.1.302,B.1.177.26,B.1.1.338,B.1.23,B.1.569,V.1,B.1.177.63,N.10,B.1.563,B.1.1.406,B.1.1.121,B.1.1.312,N.3,B.1.627,B.1.1.507,AD.2,N.6,B.1.1.198,B.1.1.434,C.30.1,B.1.1.120,C.2,B.1.502,B.1.1.29,B.1.1.242,B.1.594,B.1.128,B.1.243.2,B.1.194,V.2,W.3,B.1.1.358,B.1.69,B.1.177.89,N.1,B.1.1.328,B.1.280,B.1.131,B.1.423,B.1.1.315,B.1.348,B.1.421,B.1.177.87
0.025,0.8369120389267023,0.007856554284243396,0.0019920281850620775,0.0012392933464310343,0.0019488230220950924,0.0,0.0010460569762121845,0.0,0.0011365261987413776,0.0,0.0,0.0,0.0,0.0,0.0,0.000488949439733878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8386274644281593,0.008155890887306698,0.002717718993691381,0.0013953256130079007,0.002121079146940941,0.0,0.0010891535000866507,0.0,0.0011838229595341366,0.0,0.0,0.0,0.0,0.0,0.0,0.0010417971673916749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8427312503055251,0.009026088474554576,0.007676975609097123,0.0018059011182067666,0.0025670790767578994,0.0,0.0012890492109535346,0.0010289718880975346,0.0013357733482716582,0.0,0.0,0.0011540284570399045,0.0,0.0010382719214865836,0.0,0.0012112403217906613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010419164905511042,0.0,0.0,0.0010443825424722181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8460900340862707,0.009607435618916587,0.010821958007583607,0.0022656479340306284,0.0028222166143719663,0.0014378703363184175,0.0014634050456067188,0.001260194647260841,0.0014369649440307115,0.0010376672129399818,0.00104890982850683,0.0013194067076962971,0.001009342038847393,0.0011142066818158704,0.0010840332651423262,0.0013735027220026686,0.0,0.0011067391741085542,0.0,0.0010508471796951764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001109359649891272,0.0,0.0,0.0016495270168858246,0.001139601194331478,0.0,0.0,0.0010190635310068025,0.0,0.0,0.0,0.0,0.0,0.0,0.0010707827812514179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010061711651423995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8487752143096725,0.010121975211498829,0.013788465247104982,0.0026757974409753645,0.003206879461276688,0.001756000774846214,0.0016709669340993186,0.0014562685422083031,0.00153875542385996,0.001215463457716328,0.0011746883747693778,0.0014551864074110095,0.0012274938584857522,0.0011949928730025355,0.001271365940327814,0.0015659277736850786,0.0,0.0012714427899732281,0.0,0.0011746573898228038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013130009003728522,0.001128282831488418,0.0,0.0,0.0012518597833218622,0.0,0.0010687771466004377,0.0022209851513940023,0.001312723822665511,0.0010999681458221601,0.0,0.0010962458742505455,0.0011412627805171818,0.0,0.0010972822485678373,0.0002500583459509676,0.0,0.0,0.0012358552502183357,0.0,0.0,0.0,0.0,0.0011720969064779967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001110546527484013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.8529875281896224,0.0107882672122868,0.01758949054143712,0.0030473872430677334,0.0034913562639064984,0.0021145442848454843,0.0018009450240881045,0.0017700909051542788,0.0016490995230930426,0.0014343333651758454,0.0013455818428861665,0.001659871090426286,0.0014439494953777852,0.0013739657979678023,0.0016590198835588512,0.001868987418988333,0.0010752533713732344,0.0014966334290241715,0.0,0.001333333670039164,0.001283227221769533,0.001132665725731553,0.0010883100206043916,0.0010468809931516838,0.0010450387236057475,0.0010935303922050307,0.0,0.0011244783825862577,5.045546281073561e-05,0.0010920959488016104,0.0017981151974300815,0.0015321955585542112,0.0013158597531106975,0.0011150501254203065,0.0013840218604399825,0.0011581091334121052,0.0013194624644121908,0.002851739533299362,0.0016173114721544316,0.0012432845952145117,0.0,0.0012348741706347012,0.0012847468925171837,0.0011525102985218446,0.0012182983434161508,0.001301285516060173,0.0010729129574144386,0.0011550898313686503,0.0014510931206833983,0.0010367693421285227,0.0010807272441212198,0.0011226830048386618,0.0012314829329268281,0.0017134678398990325,0.0011714328115962308,5.490032792060135e-05,0.0010574233249524682,0.0,0.001053918776727339,0.0,0.0,0.0010879867446235278,0.0013022400804739895,0.0011821155343309407,0.0,0.0011682644426547072,0.0,5.007869477425977e-05,0.0010198927810480792,0.0,0.0,0.0011803634393633155,0.0,0.0,0.0010349061454274157,5.2235189230788364e-05,0.0,0.001095425286671558,0.0,0.0,0.0,0.0,0.0010264030406935745,0.0,0.0,0.0011111679648756643,0.0010112576815461424,0.0010442600335944707,0.0,0.0,0.0,0.0,0.0,0.0,5.222045071239797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.8537397463195627,0.010989298814500217,0.019341229979387288,0.0033974718085540852,0.0036267072310372786,0.0022438758696974653,0.001832129753794295,0.0018563485819659876,0.0016720825725081484,0.0014655715534691745,0.0014404761893182275,0.0016834907896165945,0.0014794935590748855,0.001384419550401431,0.001714162356490421,0.0019464568379054935,0.0011149912156355316,0.0015664533628164399,0.0,0.0013675589341957544,0.0013044283156030574,0.0011900982409271759,0.0010941137807857961,0.0010954814136743584,0.0010957279859850767,0.0011548437900539058,0.0010414012590381303,0.0011955911709900164,0.0010502002972460392,0.0011264738450311406,0.0021143515463483355,0.0016011260324315566,0.0014429384840222677,0.0011871341111375085,0.0014346379842431237,0.001202844470193214,0.0013376630167285936,0.0031542782651758474,0.001739052226911708,0.0013444489282770328,0.0,0.0013001207803848105,0.0013139943730861583,0.0011838665193367633,0.0012853738311896835,0.0013765852819213073,0.001130021162914977,0.0011930310552731365,0.001514825532310284,0.001152459575682098,0.0011016687338429607,0.0011458657840530857,0.0013200761090024283,0.002025792684182721,0.001280678955482912,0.0011993271130727196,0.0010743108045334544,0.0,0.0011117455316149965,0.0,0.0010116575225046166,0.0010967912918997855,0.0013504679644302945,0.0012645351330864303,0.001043324875112401,0.0012387339006940852,0.0005312951214483957,0.0010374762685093463,0.0010434352375032795,0.0005264325240282705,0.0,0.0012653421599406918,0.0,0.0,0.0010741821470629236,0.0012789018789744345,0.0,0.0011964078693695005,0.0,0.0010151858074559615,0.0,0.0,0.001090277778925181,0.0,0.0,0.0011648554408621918,0.0010262168525969223,0.001095826506158592,0.0010190805509120364,0.0005321245568109822,0.0,0.0,0.0,0.0,0.0011878695687270666,0.0,0.0,0.0,0.0005606136870018518,0.0,0.0,0.0,0.0
