,C.37,C.37.1
0.025,0.9727696233217116,0.0
0.05,0.972856380339021,0.0
0.25,0.9733745844230951,0.0
0.5,0.9737641962983952,0.0
0.75,0.9742683410590793,0.0
0.95,0.9745416055212153,0.0
0.975,0.9745715856331075,0.0
