,BA.2* [Omicron (BA.2.X)],Omicron,Lambda,Other,A
0.025,0.9220246314167267,0.0031053551455410343,0.0,0.0,0.0
0.05,0.9233291376112915,0.0032335399084791622,0.0,0.0,0.0
0.25,0.9278456133575086,0.006465763076582246,0.0,0.0,0.0
0.5,0.9309425737555445,0.008520154671280089,0.0,0.0,0.0
0.75,0.9329635143897073,0.010363962850571218,0.0011413016579473996,0.0010992558837217693,0.0
0.95,0.9371341069166423,0.01490569046843469,0.0017009504714838271,0.002213257575774993,0.0010470164541927388
0.975,0.9377605328759534,0.016004761194470644,0.0019815954674887682,0.0023695649406675393,0.001115400747177751
