,P.1.1,P.1,P.1.12,B.1.478,B.1.177.72,B.1.177.20,P.1.15,P.1.14,B.1.177.2,P.1.16,P.1.13,B.1.177.17,B.1.177.32,P.1.17,B.1.187,B.58,B.1.70,B.1.177.75,B.1.177.43,B.1.177.25,AA.8,B.1.375,P.1.7.1,B.1.97,B.1.177,D.2,P.1.10,B.1.1.109,B.1.106,B.1.579,B.1.177.69,B.1.254,B.1.1.361
0.025,0.6914145266074588,0.15535004865540325,0.014033862536324,0.007532619188832521,0.0045681533080638445,0.0,0.0011537735378918622,0.0012864929564491063,0.0012368140526110554,0.0011189761338024804,0.0,0.0011414560511749724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.6918270809147087,0.15622282142773788,0.014212232601982866,0.0075917100064230155,0.0047183569274857695,0.0,0.0014334074216417918,0.0013359292283913055,0.0013357147010560513,0.001150509771728386,0.0,0.0012217377706043775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.6973335245426647,0.16070940526646416,0.014974836409217733,0.0078895231521991,0.005262796145414956,0.0018671702832419937,0.002056857447965331,0.0015650489520835965,0.0015968216207193201,0.0012798604328834436,0.0011996347666052773,0.0016232540052285983,0.0,0.0,0.001357523839804831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.7016386256648746,0.1641757303513584,0.015618394825003549,0.00817360405583389,0.0056592043296868795,0.003855494843283532,0.0026235269978394675,0.0016845079280051922,0.0017471307346287016,0.0013588847528868343,0.001600900161939043,0.0017785960023105646,0.0,0.0,0.0016896535405524862,0.0010057038005867936,0.0011506547220762602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.7042191586855271,0.16753658108589783,0.0160187901534361,0.008408769352249112,0.005956027637476331,0.006873867099872626,0.0032752981364189086,0.001892322957733691,0.0019133933617827429,0.0014750147937539846,0.0019670557776716954,0.0019712715403084544,0.0010472983435299236,0.0,0.002015657340750433,0.0011489356737378715,0.0014814319998534128,0.0010233396147339051,0.0,0.0,0.0,0.0,0.0010150406236884106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.7080047158172055,0.17345626237059358,0.016995219223655066,0.008802300088910368,0.006520420127403088,0.007749835383612112,0.0043445923240557896,0.002078895177634777,0.0020762198617271096,0.0016167413327116014,0.0031931968492761712,0.0021963291266290383,0.0011403640363100108,0.001066199550505682,0.002460823784055443,0.001273479072210753,0.0018978978435323006,0.001148418742985926,0.0012103946678826,0.0,0.0012199755955074906,0.0,0.0013641817359337104,0.0011040165812679554,0.003243578722059216,5.034757725762803e-05,0.0010808956354386627,0.0,0.0010172947432037411,0.001073605155486502,0.0,0.0,0.0
0.975,0.7087604081426166,0.17445235717017363,0.017455749228899562,0.008907205567100411,0.006692911026983085,0.007933579169925787,0.004568459139351943,0.0021776453134344518,0.002117574408205551,0.001660253506920639,0.0034298230945957004,0.002275458479295223,0.0012162925967531821,0.0010948312748311746,0.0025464798976262363,0.0012928377487492063,0.0020065978194999915,0.0012122580837787868,0.001311150742375718,0.0,0.0012925405662929088,0.0010404469657604636,0.0014256557191856683,0.0011697762604026924,0.0049490615935464145,0.00102180248494118,0.0011293121015815732,0.0005312060413061226,0.0010256023278537685,0.0010790457720236278,0.0,0.0,0.0
