	freyja/V350082740_L14_82-82_variants.tsv
summarized	[('Omicron', 0.9259975440142687), ('Lambda', 0.014877331989693175), ('Other', 0.003525596038595125)]
lineages	XAE B.1.1.529 C.37 W.2 C.2.1 AP.1
abundances	0.86729477 0.05870277 0.01487733 0.00144985 0.00104162 0.00103413
resid	21.118402472574335
coverage	100.0
