,Omicron,Gamma,Other,Lambda,Delta,BA.2* [Omicron (BA.2.X)],BA.5* [Omicron (BA.5.X)],Kappa,Eta,Theta
0.025,0.36264938833949545,0.23711659385501202,0.2379288779732748,0.024403482275767188,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.36428728376686187,0.23731457302387712,0.24023910261859915,0.024754363442110343,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.3675062153489077,0.24129230692264916,0.24693319480780399,0.025477662276294347,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.3706751951829004,0.24394890648308643,0.25136937248888025,0.026170714763967408,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.37413723770296486,0.24645057132993514,0.2548098663896663,0.026730061117928177,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.37993194305768,0.2509575985237015,0.26184487800643835,0.027459220905277647,0.0011203188417896837,0.0010353413293497195,0.00126633354865618,0.0,0.0,0.0
0.975,0.380757383906111,0.25177634532505117,0.2633625650363437,0.02755108138948536,0.0011733846193926192,0.001075458219813608,0.0012851977135395903,0.0,0.0005277707938756615,0.000527923321732629
