,Other,Gamma,Omicron,BA.2* [Omicron (BA.2.X)],Delta,BA.5* [Omicron (BA.5.X)],Alpha,A,Lambda,Eta
0.025,0.7259515268830669,0.04004385938046721,0.014369988816270303,0.029014626610660017,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.7266040536174566,0.0405421073671209,0.015351463285029187,0.029801163102957585,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.7327938752196028,0.04502681994749584,0.020033962676215294,0.03343646645499049,0.0010556071294703095,0.0,0.0,0.0,0.0,0.0
0.5,0.7365234951190383,0.04709734939395857,0.02355637961148574,0.03591436657009664,0.0012408618185428804,0.0,0.0,0.0,0.0,0.0
0.75,0.7422655487197714,0.04891302197516793,0.026740920658795703,0.037872244251621716,0.0014353662881034673,0.0010848023579652234,0.0,0.0,0.0,0.0
0.95,0.7478068044079572,0.0523722262217606,0.03159373855292236,0.04240878742549018,0.0020431225554858943,0.001325613433382306,0.0011364396963070306,0.0,0.0011356500759177857,0.0010380309047077227
0.975,0.7486207223980671,0.052583872169719326,0.03252180204380672,0.04267118558766384,0.002257526540837036,0.0018462364400503742,0.0011542874226773184,0.0,0.001204657578873261,0.001089774504104518
