,BA.2* [Omicron (BA.2.X)],Gamma,Other,Omicron,Lambda,A
0.025,0.935293757198894,0.0,0.0,0.0010139162672887757,0.0,0.0
0.05,0.9358527688808395,0.0,0.0,0.0011393576596030956,0.0,0.0
0.25,0.9375010331279174,0.0,0.0,0.002369236286562886,0.0,0.0
0.5,0.9387636857484662,0.001059353690584729,0.0010072091036839566,0.003272911989272541,0.0,0.0
0.75,0.9397398471087399,0.0012009166587733473,0.0010845653743914727,0.004303323229384705,0.0,0.0
0.95,0.9418098052387406,0.0023086084531872683,0.002537566897705734,0.005255216581359465,0.0,0.0
0.975,0.9419704035589659,0.002326458757613526,0.003324826024010627,0.006223857764434188,0.0005452342478228008,0.0
