,XAE,B.1.1.529,C.37,W.2,AP.1,B.1.1.338,XZ,B.4.8,B.1.177.25,B.1.524,B.1.177.39,B.1.177.26,B.1.128,V.2,C.2,C.2.1,B.1.1.224,B.1.603,XY,C.37.1,AM.3,B.1.444,B.1.97,C.36.1,N.10,B.58,B.1.1.251,B.1.423,B.1.1.437,B.1.415.1,B.1.177.43
0.025,0.8629125302277535,0.001336572884194607,0.014027117565725814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8630630014745985,0.0015288721827512982,0.014134114186378296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8661148209502233,0.04926427334125974,0.01470485041737241,0.0012280097767648338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8686596590395961,0.056392372132204015,0.015125455710983192,0.001428694078176898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.872383791096861,0.061101497962780624,0.015571270356552393,0.0015967332140955578,0.0010467337041373409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010045388497557787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.9259379222944236,0.06543894822055,0.016055704660901112,0.0017955812692478721,0.001186037860034822,0.0010740728520706882,0.0012323863200741664,0.0,0.0012093134560373006,0.0010861856207456163,0.0010966905651707442,0.0,0.00112592343077089,0.0010880677476426829,0.0,0.0010842611969761157,0.00102765228195838,0.0,5.123758638066418e-05,0.0010104351994116394,0.0,0.0,0.0012003408618777764,0.0,0.0,0.0,0.0010011718988761531,0.0,0.0,0.0,0.0
0.975,0.9276561314605911,0.06608847473587512,0.01611970588002235,0.00186013638402123,0.0012171082881065741,0.0010915903553565455,0.0015186104221170667,0.0005277044861692006,0.0012485580547642531,0.001100975684335492,0.001148207894903433,0.0,0.0011767261060829169,0.0010949905716127147,0.0005270355198622855,0.0011111719735887834,0.0010442887360412872,0.001018214904397954,0.0010389697362446532,0.0010265055522694305,0.0005412594335070419,0.0,0.0012968856486800298,0.0,0.0,0.0,0.0010194817087866963,0.0,0.0,0.0,0.0
