,P.1.1,P.1,D.2,P.1.12,P.1.13,B.1.1.185,B.1.1.98,B.1.1.187,B.1.1.426,B.1.1.344,B.1.1.380,P.1.16,B.1.1.111,P.1.9,B.1.1.204,P.1.15,B.1.1.217,B.1.1.339,B.1.478,B.1.1.172,B.1.1.359,P.1.11,P.1.17,B.1.1.58,B.1.273,B.1.1.268,B.1.1.186,B.1.1.207,P.1.10,B.1.1.3
0.025,0.6794296720955316,0.1589480853804391,0.02862230782478056,0.008309719788433102,0.0025357786798425198,0.0017897673425864738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.6801357709158037,0.16054749518694922,0.029618575877972803,0.008550030634797815,0.0026054301703897554,0.0019316247284765302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.6873350849821441,0.1670072654582269,0.03241190632721721,0.009288431732477382,0.003784573487414766,0.002170824730717234,0.001183084244327697,0.001194787782003937,0.0,0.0,0.0,0.0010319499898481619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.6914688429302175,0.17003623709788324,0.03384212462858956,0.009770207114578964,0.004634460276614241,0.002332447193379189,0.0012936960219472585,0.0014282961029689198,0.001096959115815888,0.0,0.0,0.0011186870992015551,0.001021454770564752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.694555514739875,0.1742057496193551,0.03558680247638719,0.010454756972861665,0.00571660420818943,0.0025740624206309487,0.0014607516519859604,0.0015604582860391787,0.0012452013876262853,0.0012047610057956811,0.0,0.0012348464908585577,0.0011506706189839038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.6993711988709347,0.18221174672807633,0.037342462294701735,0.011182854606108239,0.00679707761624002,0.0029484462840919786,0.0017612979389308758,0.00175856146807026,0.0013761800858082675,0.0013681047303361698,0.0,0.001475819957641131,0.001470293288903003,0.0011172871630631958,0.0,0.001080021183021336,0.0010603644802356256,0.00103389299999909,0.0,0.0013075131124014963,0.0011441328296254243,0.0,0.0010726635567445341,0.0,0.001025332947601259,0.0,0.0,0.0,0.0,0.0
0.975,0.7005899855374025,0.18290363952351593,0.03746907811707577,0.011363811867923724,0.00720537863047355,0.0029751030335444647,0.001802116495970563,0.0017995695194660964,0.001385712123497793,0.0014118651260334593,0.0005468585450589335,0.0015141804252933597,0.0014838989316585537,0.0011764357847040391,0.0005256706805440504,0.0011062214219323045,0.0010841120559678466,0.0011050970910326053,0.0011023875402362522,0.0015185702010242538,0.001155393987947466,0.001047951410027627,0.0011700296081508025,0.0,0.001074344631656973,0.00055060304156794,0.0,0.0,0.0005654123751093166,0.0
