,C.37,BA.3,BA.2.9.1,AA.8,BG.3,XQ,XY,BA.2.10.3,BA.2.8,XE,XAA,XH,BA.2.2.1,AP.1,B.1.524,BA.2.62,BG.1,BA.2.72,BA.2.50,AM.3,XR,BA.2.42,BA.2.10.1,BA.2.53,B.1.1.251,B.1.1.437,W.2,B.1.177.39,N.10,B.1.128,proposed798,BA.2.41,B.1.188,B.1.177.87,B.1.36.28,B.1.629,BA.2.26,A.3,BA.2.25.1,N.7,XN,B.1.243.2,BA.2.80,B.1.127,B.1.177.43,XV,B.1.411,V.2,miscBA1BA2Post17k,B.1.177.25,B.1.203,B.1.531,BA.2.13.1,Z.1
0.025,0.8827034778809417,0.0022232398437763497,0.00246499271742531,0.0011076616408604645,0.0,0.0,0.0,0.0,0.0011682212261126485,0.0010797089394248712,0.0,0.0,0.0012094358246900702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8833434300089871,0.0023751835608419873,0.0025325316977041277,0.001140926276291525,0.0,0.0,0.0,0.0,0.0011933204349456057,0.0011015837660143237,0.0,0.0,0.001248590882971364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010070404517448204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8844942436823162,0.0031343035804847143,0.0026739963880745956,0.0014784231260990138,0.0010590780114267417,0.0,0.0010872786813650433,0.0,0.0012978011483169168,0.0012778706684140881,0.0011194412595438587,0.0010505274051966576,0.00132355204364048,0.0,0.0,0.0,0.0,0.0010060329821330568,0.0,0.0,0.0,0.0,0.0010782355527468378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8853686970253286,0.0034669032463888368,0.002755383001249446,0.0016494491903903492,0.0011749767914480405,0.0012233002107071684,0.0011884893234831166,0.0,0.0013886920143863276,0.001378375321288068,0.001222914576582404,0.0011521334177172838,0.0014017909740917228,0.0010283989924872563,0.0010092951233780468,0.0,0.0010685741047241556,0.0011382916320272509,0.0,0.0,0.0,0.0,0.0012101849652155989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8862395201573688,0.003693284589060661,0.002863838344547084,0.0017651060666451423,0.0013603538898843493,0.0018733815165417034,0.0013079680623870643,0.0,0.001441945717184726,0.0015041510947022378,0.0013147987487089003,0.0012333741781515905,0.0014972581600299173,0.0010868725231075647,0.0010520831289572152,0.0010394229544239254,0.0011743979455888583,0.0012675811564967108,0.0,0.0,0.0,0.0010204403764499722,0.0012990587090821767,0.0,0.0,0.0010443666061570383,0.001066017597251299,0.0,0.0,0.0,0.0,0.001040317294661225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.887247599412945,0.004210847413145493,0.0029520377532677475,0.0019356527892469145,0.0016122954274601072,0.0025250460325452334,0.0015395773851843992,0.0011762665338821664,0.0015759867344405018,0.0016470287633547499,0.0015083784488954695,0.0013550360936872546,0.0016087532625120166,0.0011688250758615766,0.0011360786832303263,0.0011694308870009087,0.0013141956677247726,0.0013894280255669108,0.0013842421810917726,0.0010369748739496392,0.0010011559391350465,0.0011241860836102816,0.001456344631671775,0.0010299307536982317,0.0,0.0011390987493353432,0.0011906846383842725,0.0,0.0,0.0010356328396279029,5.018656296859814e-05,0.0011637961804879843,0.0,0.0,0.0010266109685295262,0.0010037478368688584,5.0299745313847125e-05,0.001027260875576898,0.0011502032869688615,0.0010102062525132625,0.0010740851818162593,0.0,0.0,0.0,0.0,0.0011169514507615062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.8874308213242228,0.004317697216954129,0.003007626042154257,0.001981549974125351,0.0016813124182610253,0.0027622488475835157,0.0016062328591972656,0.0012534877040597202,0.001611996340250107,0.0016986624502029672,0.0015548635416620076,0.001385728246949345,0.0016584208139782794,0.0011782609746304072,0.0012003773246926845,0.0011862828221015946,0.0013295876113009256,0.001452437667657675,0.0014832740809878973,0.0011084934995875633,0.0010452410229201921,0.001145716649959781,0.0015071933682455354,0.0010562370757526785,0.0005255827106433797,0.0011818506046717562,0.0012323157243883168,0.0,0.0005281166050860396,0.0010766371297252235,0.0010360413527303763,0.0012071735053871616,0.0,0.0,0.0010552322529840596,0.0010112427074937627,0.0010128622963739094,0.001104833424093872,0.0011921688651645576,0.001031740120426233,0.0011231823819552343,0.0,0.0,0.0005306859221416517,0.0011041069631604564,0.0011470471299637754,0.0,0.0005473739095202529,0.0011252535339169225,0.0,0.0,0.0,0.0,0.0
