,BA.2.9,miscBA1BA2Pre4321,XAG,BA.2.52,BA.2.9.1,BA.2.9.5,BA.2.9.3,BA.2.2.1,XY,BA.2.10.1,BA.2.8,XL,BA.2.13.1,BA.2.28,BA.2.23,BA.2.72,BA.2.53,BA.2.45,BA.2.33,BA.2.59,XAA,BA.2.34,BA.2.25,BA.2.25.1,BA.2.60,BA.2.51,BA.2.62,BA.2.9.4,BG.1,BA.2.44
0.025,0.7086448820474004,0.21138854524373243,0.0024140606122630653,0.002060031270763821,0.0021056705671804,0.0016402433787912568,0.0012073821129976003,0.0010533568189175593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.7088789610057902,0.21208538994808515,0.002440670455063185,0.002091116931870946,0.0021379815800889766,0.0016657656692676832,0.0012419387250547401,0.0010645708830135231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.7125211369711373,0.21419276293090855,0.00268953286370101,0.002290326654924506,0.002305288940863694,0.0017710490518170524,0.0013380191524501467,0.001134968354420134,0.0,0.0,0.0010064788519305238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.7144061945044355,0.21599494228749155,0.002836213350463749,0.0024581556853907113,0.0023974797240456846,0.0018469397925181207,0.0014179147005657674,0.0011838926313532643,0.001019753296004415,0.0010375415621301357,0.0010564043401551297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.716181946513935,0.21708477818504185,0.0029536682718726477,0.0026317651921775797,0.002487201677073888,0.0019279070720370018,0.0015298642100212592,0.0012435576751190956,0.001092046474886925,0.0011078775977183177,0.0011052618178879242,0.0010469514359574105,0.0,0.0,0.0,0.0,0.001101997804225872,0.0,0.0,0.0,0.001018890222892239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.7184233984231517,0.2183981177680049,0.0031609156506080104,0.0028588561544895573,0.0026492345515274265,0.002009929283150031,0.0017056997066418045,0.0013141790281806357,0.0011841754877420197,0.0012075876244757372,0.001185339977056156,0.0011695298526076428,0.0011369152762448534,0.001131079124487381,0.0019458376266493676,0.0010616747437214066,0.0012613686985884,0.0,0.0010281824472691808,0.001077824958015807,0.0011324970713808096,0.0010542323416352101,0.0010391002679241731,0.001069140215273295,0.0010208238025764935,0.0,0.0,0.0,0.0,0.0
0.975,0.7187104569255892,0.21876134063291386,0.0031815627016639147,0.0029296872178194333,0.0026813486730999777,0.0020371074708987217,0.0017479646374409356,0.0013449968401329263,0.0012133355011304451,0.0012328240555814717,0.001203478549327287,0.0012005547505095594,0.0012700438248321605,0.0011797349756487803,0.002850098007205459,0.001074219466256104,0.0012817799127886797,0.001010016824102153,0.0010391523880026886,0.0010819532376400256,0.0011723267335980157,0.0010898251957023257,0.0011598951027041579,0.0011472192121347903,0.0010427161661418101,0.0,0.0,0.0,0.0,0.0010759192422991363
