,Gamma,Other
0.025,0.8820642199775347,0.02073272075329854
0.05,0.8828690423388948,0.021248050558061178
0.25,0.8865584256202185,0.0242178920265401
0.5,0.8896165153573188,0.026476054466253146
0.75,0.8906470568933347,0.029488601153214136
0.95,0.8919599921051686,0.03361529391725777
0.975,0.8921767265785577,0.034761570575731246
