,Omicron,Other,Lambda
0.025,0.9523843969627938,0.0010120732646447654,0.0
0.05,0.9526857625638445,0.001042241340545007,0.0
0.25,0.9542218677157135,0.0012423956144658299,0.0
0.5,0.9551586817327433,0.002187483499116941,0.0
0.75,0.9561597019744837,0.0023040212236465,0.0010329531941591094
0.95,0.9573066188723681,0.0025408835174891855,0.0012293130371003155
0.975,0.9577818037086213,0.0031721746760202227,0.0013103388607645823
