,P.1.15,P.1.12,B.1.177.72,B.1.478,B.1.177.17,P.1.14,B.1.187,P.1.16,B.1.177.75,B.1.524,B.1.70,B.1.1.109,B.1.1.320,P.1.10,P.1.2,P.1.13,P.1.7.1,B.1.177.33,B.1.106,B.1.1.217,B.58,B.1.543,B.1.93
0.025,0.8691240072139809,0.016490163027312533,0.0031680071883151495,0.0017464591630414962,0.00209274691879757,0.0013198792808976853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8698597758994732,0.016701905680153017,0.0032135112090159465,0.002016245582831351,0.00210835457090956,0.0013344305213397732,0.00100952366186767,0.0,0.001027332785359645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8721606017407901,0.016963907926312055,0.0033587587676338296,0.002915442109347041,0.0022210286933406834,0.0014354265542336167,0.0011815762169639552,0.001014447055957341,0.001115184808789769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8742587974112239,0.017317526782715545,0.003520714232301654,0.0030370570355880925,0.002335669735160216,0.0015115992301993713,0.0013149643662324776,0.0010704840955876554,0.001179228727097037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8791045411953289,0.017577308451224412,0.0036868101985440965,0.003103408286712551,0.002505561815212217,0.001601038815040878,0.0014207009717001043,0.0011164594889666703,0.0012575938250895882,0.0,0.0011080378451837477,0.0,0.0,0.001046936544822591,0.0002500293197148065,0.0,0.0010039027892504559,0.001001494802805736,0.0,0.0,0.0,0.0,0.0
0.95,0.8803039478407739,0.017997321580306237,0.003962188713157614,0.0032303714916296486,0.002689826418108186,0.0017841550104077224,0.0016252396202751029,0.0011898385554976504,0.0013405914323345364,0.00107650495246907,0.0015943523169443705,0.0010316367460977136,0.001021576468634651,0.001261581499587324,0.0010433665077812155,0.0010225377621507195,0.0013699218333783538,0.0010988184047270799,0.0,0.0,0.0,0.0,0.0
0.975,0.8805045651455978,0.01810916283649782,0.003982446193972422,0.003276201041024977,0.002721834986135811,0.0018396811100226998,0.0016629430242337574,0.0012022603796638248,0.0013556305119664445,0.001097800095128406,0.001642944061902899,0.0010878354964412949,0.00103992859401631,0.0013083771089955705,0.001056554536379516,0.0011931703114252048,0.0014312928890202838,0.0011306180247702695,0.0,0.0,0.0,0.0,0.0005308898730211982
