	freyja/V350082740_L14_03-03_variants.tsv
summarized	[('Other', 0.7696847838773196), ('Omicron', 0.10615473310128445), ('BA.2* [Omicron (BA.2.X)]', 0.043778776716598425), ('Lambda', 0.018362699989609724), ('Delta', 0.01662981479940204), ('Alpha', 0.0016838799885173198)]
lineages	C.14 miscBA2BA1PostSpike B.1.1.368 BA.3 B.1.177.60 BA.2.23 D.2 C.37 B.1.177 C.26 B.1.617.2 B.1.439 XZ B.1.1.117 B.1.1.317 B.1.1.305 B.1.1.359 B.1.177.75 B.1.1.175 B.1.1.95 B.1.1.98 B.1.274 B.1.545 B.1.1.92 B.1.1.12 B.1.182 B.1.1.463 B.1.277 B.1.1.83 B.1.222 B.1.1.381 B.1.1.203 B.1.1.529 B.1.177.65 B.1.1.37 B.11 B.1.1.416 B.1.70 B.1.1.169 B.1.1.249 B.1.1.185 C.13 C.32 B.1.195 B.1.1.118 B.1.177.17 B.1.1.109 B.1.1.132 B.1.214 B.1.177.57 B.1.1.500 B.1.473 B.1.1.63 B.1.1.325 B.1.1.178 B.1.1.315 B.1.1.294 B.1.1.16 B.1.478 B.1.1.93 N.7 BA.1.20 B.1.1.39 N.4 B.1.1.59 B.1.1.309 B.1.177.7 B.1.1.438 B.1.1.225 B.1.1.192 B.1.1.372 B.1.1.204 B.1.201 B.1.532 B.1.304 B.1.177.63 B.1.1.154 B.1.1.217 B.1.1.58 C.12 B.1.177.77 B.1.1.244 BF.4 BA.2.23.1 AY.11 XAA B.1.530 BG.1 B.1.1.361 B.1.1.231 Q.4 B.1.334 B.1.1.15 B.1.1.288 AH.1 B.1.1.236 B.1.1.383 B.1.1.296 B.1.1.485 B.1.177.74 B.1.1.285 B.1.177.43 B.1.1.218 BA.2.2 B.1.1.406 B.5 B.1.1.320 B.1.1.107 BA.1.3 B.1.1.302 B.1.1.190 B.1.1.525 B.1.105 B.1.311 B.1.1.426 B.1.1.437 AY.67 B.1.177.54
abundances	0.15386985 0.09900656 0.09109204 0.08277051 0.06122815 0.04069282 0.03952570 0.01836270 0.01835576 0.01694920 0.01387376 0.01141702 0.01097534 0.00934579 0.00887574 0.00802568 0.00763359 0.00746269 0.00683829 0.00641026 0.00620797 0.00597907 0.00568182 0.00529101 0.00526316 0.00519481 0.00502513 0.00500000 0.00427350 0.00407224 0.00399191 0.00369004 0.00368602 0.00355872 0.00355872 0.00355872 0.00353357 0.00352113 0.00343643 0.00339559 0.00336700 0.00336700 0.00335570 0.00328947 0.00328407 0.00323625 0.00317292 0.00304878 0.00299476 0.00297816 0.00293594 0.00290698 0.00274223 0.00269397 0.00269107 0.00268336 0.00265303 0.00257069 0.00254453 0.00241109 0.00236518 0.00233028 0.00229885 0.00228598 0.00220264 0.00217707 0.00216450 0.00215054 0.00213675 0.00205761 0.00205630 0.00204082 0.00203046 0.00201207 0.00199626 0.00192994 0.00191571 0.00189394 0.00189394 0.00186220 0.00186104 0.00176857 0.00175285 0.00174368 0.00171858 0.00171821 0.00171233 0.00170940 0.00170010 0.00169205 0.00168388 0.00167926 0.00166251 0.00162866 0.00161117 0.00159264 0.00157791 0.00154784 0.00145666 0.00144425 0.00143062 0.00138058 0.00134228 0.00134228 0.00128238 0.00127623 0.00123762 0.00122026 0.00121212 0.00120048 0.00115473 0.00115207 0.00113507 0.00110756 0.00109787 0.00105625 0.00103748 0.00100819
resid	13.515836231132353
coverage	97.88984382837842
