	freyja/V350082740_L14_69-69_variants.tsv
summarized	[('Omicron', 0.9632771920156394), ('Other', 0.0010447299993906008)]
lineages	XAE B.1.1.529 AP.1
abundances	0.91106945 0.05220774 0.00104473
resid	20.45160649256249
coverage	100.0
