	freyja/V350082740_L14_10-10_variants.tsv
summarized	[('Other', 0.8153448423598362)]
lineages	B.1.1 D.2 B.1.1.132 B.1.177 B.1.1.359 B.1.1.58 B.1.177.72 B.1.478 B.1.1.37 B.1.1.187 B.1.1.160 B.1.195 B.1.1.197 B.1.274 B.1.177.2 B.1.1.185 B.1.1.172 B.1.1.92 B.1.1.95 B.1.1.166 B.1.1.180 B.1.1.12 B.1.1.408 B.1.177.17 B.1.1.33 B.1.1.203 B.1.1.249 B.1.1.463 B.1.1.169 B.1.1.296 B.1.1.380 B.1.1.115 B.1.1.213 B.1.1.71 B.1.1.98 B.1.8 B.1.1.258 B.1.201 B.1.1.43 B.1.1.178 B.1.1.217 B.1.1.111 B.1.187 B.1.1.109 B.1.1.344 B.1.1.5 B.1.1.83 B.1.76 B.1.70 B.1.177.75 B.1.1.312 B.1.1.255 B.1.1.301 B.1.1.192 B.1.1.315 B.1.199 B.1.1.383 B.1.1.123 B.1.1.17 B.1.1.371 B.1.1.349 B.1.1.113 B.1.483 B.1.1.135 B.1.181 B.1.1.165 B.1.1.86 B.1.1.320 B.1.1.3 B.1.1.395 B.1.1.392
abundances	0.41873451 0.12031321 0.08232611 0.07701926 0.00546666 0.00507974 0.00319085 0.00311566 0.00292290 0.00291732 0.00283329 0.00275813 0.00274115 0.00265620 0.00244356 0.00240903 0.00228497 0.00220565 0.00212142 0.00208169 0.00207365 0.00204286 0.00201854 0.00199676 0.00185350 0.00184696 0.00183993 0.00178040 0.00175390 0.00170408 0.00169057 0.00166130 0.00163354 0.00160749 0.00156881 0.00153172 0.00140898 0.00139668 0.00139574 0.00139018 0.00136486 0.00130719 0.00130102 0.00126113 0.00122112 0.00121934 0.00121205 0.00120498 0.00119945 0.00118687 0.00117270 0.00117243 0.00116944 0.00113691 0.00112974 0.00112229 0.00111722 0.00111512 0.00111216 0.00111205 0.00110703 0.00110553 0.00108038 0.00107507 0.00107384 0.00106161 0.00105774 0.00104745 0.00103844 0.00102230 0.00102047
resid	10.704727304848753
coverage	100.0
