,BA.4.1,B.1.1.529,BA.4.1.5,BA.4.1.1,BA.4.1.3,BA.2.9.1,B.1.128,W.2,BA.2.2.1,XY,XE,BA.4.3,XJ
0.025,0.9396718275537574,0.0,0.0,0.0013366238959177928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.939870120971304,0.0,0.0,0.0013835613724264653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9409252281902938,0.0018845152473480383,0.0,0.0015117149095160664,0.0011196311636519974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9416527030950288,0.0024615487751344116,0.0010883764573363765,0.0015882505942140463,0.001254757658779851,0.0011746212182715938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9425328291146247,0.003095580861797373,0.0011552247917594356,0.0016690862177902238,0.0013372564810475406,0.001397804840919638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.9442429066646966,0.004247362166581716,0.0012960899687704012,0.0018103783019137916,0.00151294700295073,0.0015834916241164072,0.0010447139368649047,0.001061501138430733,0.0010363748107064398,0.0,0.0,0.0,0.0
0.975,0.9443234826733602,0.004534433226270054,0.0013783031899568066,0.0018640255947860733,0.0015462405896738212,0.0016393374823064437,0.001059115789691706,0.0011153223966739428,0.0010590199300001119,0.0010467060255512463,0.0005256021400676216,0.0005360369270488627,0.0
