,Gamma,Other,Lambda
0.025,0.8922578058355511,0.02189324123881653,0.0031794634668767937
0.05,0.8925996437027721,0.02250936502127244,0.003217187807097787
0.25,0.893910133284263,0.024545503117843856,0.0035127573998258504
0.5,0.8952745452358873,0.025419423573960313,0.003771682151830414
0.75,0.8963822811179574,0.02627877073230655,0.004004242449142923
0.95,0.897638095232658,0.02814827202259955,0.004259239587052706
0.975,0.8982629010445674,0.02845019033177351,0.004374668154376917
