,BA.2.56,BA.2,BA.2.23,BA.2.68,B.1.1.529,BA.2.31,BA.2.9.5,BA.2.9.1,BA.2.40,BA.2.2.1,BA.2.29,BA.2.11,BA.2.71,BA.2.66,BA.2.8,BA.2.46,BA.2.55,BA.2.5,BA.2.27,BA.2.7,BA.2.32,BA.2.52,BA.2.65,BA.2.13.1,BA.2.50,BA.2.34,BA.2.61,C.37,BA.2.72,XAA,C.37.1,BA.2.33,BA.2.57,BA.2.44,BA.2.10.1,BA.2.43,BA.2.21,BA.2.53,BA.2.59,BA.2.63,BA.2.60,BG.1,miscBA1BA2Post17k,BA.2.51,B.1.128,BA.2.16,BA.2.54,BA.2.18,BA.2.79,BA.2.26,A.3,BA.2.1,BA.2.62,BA.2.45,XAK,BA.2.9.2,BA.2.25.1,B.1.474,BA.2.3.7,BA.2.30,BA.2.10,XE,BA.2.73,BA.2.64,BA.2.3.8,BA.2.28
0.025,0.5438278568085736,0.19834368629426796,0.10136392978913403,0.019958607366302814,0.0031053551455410343,0.002558959979928784,0.002106006223260692,0.0016460378929928625,0.0,0.0,0.0011350254827934775,0.0013276840391786811,0.0,0.0011276266413898152,0.00048012918478299764,0.0,0.0,0.0,0.0,0.0,0.0010527415533310076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5444864670736942,0.20142983199016334,0.1040650164005309,0.020203246808854065,0.0032335399084791622,0.0028837020622408736,0.00219748244024761,0.0016827226481250554,0.0,0.0,0.0012165265004128326,0.0014383463141836553,0.0,0.0012291936605858865,0.0010579831945882374,0.0,0.0,0.0,0.0,0.0,0.001101519937148693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5511387977207834,0.20640395478014867,0.10788002412636322,0.021370085088751076,0.006297607963201238,0.003763657795949381,0.002511950082769685,0.001897913637997364,0.0,0.0011943536964351418,0.001354066870573439,0.0017661673342055043,0.0011851857001044346,0.0015635703509022155,0.0011891588689244886,0.0,0.0,0.0010679551535034617,0.0,0.0,0.0012152349698381557,0.0013210404662996169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5541027817948331,0.2097292431706561,0.11062985149290797,0.021852426584424087,0.00847116319204965,0.004323967741601554,0.0026565474597576274,0.0020555144629996174,0.0018223419954985815,0.0014477034380148003,0.0015719501615712086,0.0020626878091663395,0.001511464999413379,0.0017792284367625848,0.001323787364631311,0.0,0.0011012857467016127,0.0013428238906483944,0.0,0.0,0.0013112013320369252,0.0015741446451595395,0.0,0.0011182524484006904,0.0,0.0010543657373083683,0.0011714963292264974,0.0,0.0010083417446499377,0.0,0.0,0.00110564381967061,0.0,0.0,0.0,0.0,0.0,0.0010113142721174498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5582582096786702,0.2120604827749107,0.11317612972551774,0.02250088605622886,0.010073398691642267,0.004889152124997529,0.002870072074971069,0.0022400648296624194,0.0023632568925698676,0.0016846180592024209,0.0017908273873023521,0.002336502112869057,0.0018648018737971181,0.0020148835049048396,0.001462667919068318,0.0010260503667052063,0.001415670068784237,0.0017023021495976133,0.0002850162869229736,0.0010905125400077651,0.0014285295670443394,0.001936183889978095,0.0,0.0014789403993240957,0.0,0.0013129390310850156,0.0014862073420040278,0.0011178360486505988,0.0011852934696386004,0.0,0.0,0.0012548529296282913,0.0,0.0010050298960268427,0.001218499131718303,0.0,0.0010763003495150802,0.0012601612489186306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5638524150225064,0.21660557239978315,0.1162264101784161,0.023155838992008942,0.01490569046843469,0.005637024740703984,0.003168815120230355,0.0025068207885004254,0.003300954799609836,0.002183964430834728,0.00202273064406238,0.002750398522626172,0.0023818737790378907,0.002295506270736018,0.0016734257740077976,0.0012732145271132597,0.001869747088309408,0.002444823682024437,0.0014808615043134334,0.0014595960572316956,0.0016438034487024592,0.002271001315263365,0.0011130639820141305,0.0019984915601565616,0.0,0.0015591739226933224,0.0018448687795691132,0.001694737972206673,0.0015710358731354393,0.0,0.0010176534651471763,0.0015570365736478963,0.0010595288792556098,0.0014929273906787634,0.0015409447899972079,0.001060592843662388,0.0012784767870152487,0.0015663880469849512,0.0010887598660820079,0.0012113962241690097,0.0,0.0010144385585069762,0.0011781524172202623,0.0010856400286524115,0.0,0.0011764314491221639,0.0,0.0,0.0011460552338163948,0.0010751488942007796,0.0010470164541927388,0.0011688419864503273,5.041495390370473e-05,0.0010521238174692046,5.2028068888337326e-05,0.0,5.245803328411059e-05,0.0,0.0010361413806650576,0.0,5.266227493964193e-05,0.0,0.0,0.0,0.0,0.0
0.975,0.5658234324413053,0.2181247499013678,0.11674599141223589,0.02330059752428227,0.015880440528687784,0.005823409427627483,0.0032033353166994647,0.0026044715166512232,0.0035261250376296895,0.0023503291551775518,0.002100226773258232,0.002802210047786832,0.0025276408370763274,0.002408667700435368,0.0017261947336093327,0.0013755186315440667,0.0023235832636515972,0.002558839464890604,0.0016282859126913096,0.0015768366336450415,0.001986923871789769,0.0023336317783296404,0.001260368242716441,0.0020649058983700265,0.0010899957863990876,0.0016335214480669574,0.0018880845752151307,0.0017873213237329718,0.0016530575829720655,0.0,0.001113238319778132,0.001642128746049479,0.0015540464530959437,0.0016153910211390327,0.0018165057282101852,0.0011665211453199726,0.0014317934148214936,0.0018133880424880575,0.0011236508690463762,0.0013645789309925968,0.0005305264519772047,0.0010181992680890462,0.0012448821717582822,0.001162621042277199,0.0,0.0011944606090151994,0.0005550171790475216,0.0005655973186407556,0.00135933065490644,0.0011244947463384548,0.001115400747177751,0.0011900647844212688,0.0010157561569801258,0.0011106633625090146,0.0010728976356884994,0.0,0.0011339916160235856,0.0010564989670850309,0.001126039983692592,0.0,0.0010683375713848098,0.0,0.0,0.0,0.0,0.0
