,C.37,BG.1,BA.2.9.1,BA.2.60,AM.3,BA.2.2.1,BG.3,B.1.444,B.1.629,AP.1,BA.2.12.2,BA.3,proposed590,V.1,P.1.7.1,B.1.474,B.1.524,BA.2.53,BA.5.2.5
0.025,0.939801790220747,0.0011280374767740618,0.0010134131052417636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.9399454512919277,0.0011450412891749534,0.0010827228626384905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.940633543295714,0.0012673867704639694,0.0012124612761554867,0.0,0.0,0.001040471740658504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.941204502207752,0.0013388840325286658,0.0013858583309904467,0.0010075329758771736,0.0,0.001203963852943993,0.001030377489714641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.941844314631212,0.0014397766863812006,0.0017142614986953412,0.001096674395202231,0.0,0.001331137405443387,0.0012017860651288071,0.0,0.0010063240361896943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.9425423450104514,0.0015230836417693412,0.0022717986367767626,0.0011562546811702537,0.0010025713202183003,0.0014937430821457846,0.0014797393827478465,0.0010353563119774307,0.0010787827920635193,0.00103930641917677,0.001022359556172032,0.0010640047960517487,0.0010425510809582272,0.0,0.0,0.0,0.0,0.0,5.000199938221886e-05
0.975,0.9428497278013563,0.0015585637637308373,0.0023695121121790567,0.0011679465293908272,0.0010272580521221248,0.0015236496524806515,0.001656084817664698,0.0010938957328166313,0.0010862352034160761,0.0010584763701532234,0.0010593891732160977,0.0010830463762692883,0.0010947449624994587,0.0,0.0,0.0,0.0,0.0,0.0010220276904341628
