,Other,Omicron,Gamma,BA.2* [Omicron (BA.2.X)],Lambda,Alpha,Delta,Theta,A,BA.5* [Omicron (BA.5.X)],BA.2.75* [Omicron (BA.2.75.X)]
0.025,0.6572042003095845,0.10755814591599014,0.032566328257573995,0.003606623765086212,0.002006660434345682,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.661437872281973,0.11172510345472637,0.03317846289116142,0.004114364760531595,0.0022186298488444524,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.669604008999202,0.11904551716924722,0.03475080181808286,0.0056821942918102416,0.0028147809477924455,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.6756666881377744,0.1226386338324238,0.035944327615158034,0.006823757227662685,0.0032671255644454037,0.0010608815766530578,0.0,0.0,0.0,0.0,0.0
0.75,0.6819844685108839,0.12855862008532845,0.03682733664041133,0.008013512267818643,0.0037319854861595355,0.0013197600997849307,0.0002501871451474215,0.0,0.0,0.0,0.0
0.95,0.6902179093533737,0.13597756345100132,0.038541057503717335,0.009351861900516512,0.004226289235908526,0.0015161149197352962,0.0011699236759872026,0.0010471541312623285,0.0,0.0,0.0
0.975,0.6918210174028334,0.13814073862084306,0.038946898997584,0.00967377936605508,0.00435273952736623,0.001547665228799799,0.001259620581008662,0.0010828469205084246,0.0005265015125768126,0.0,0.0
