,BA.2* [Omicron (BA.2.X)],Other,Gamma,Omicron,Lambda,BA.5* [Omicron (BA.5.X)],A
0.025,0.5593288226540938,0.19819986751117422,0.06613508081013475,0.026969415847302558,0.0024167426429968506,0.0011855211009841572,0.0
0.05,0.5597389605934421,0.19851456744565016,0.06645509105193244,0.028601357339312468,0.002461112163846121,0.0012008324947500799,0.0
0.25,0.5623538815714468,0.20362246276233753,0.06934932986772953,0.0327149624287953,0.0026835106994852072,0.0014171886638074127,0.0
0.5,0.5637693657766574,0.2058214639008256,0.07193549312458822,0.034761247513967884,0.0028626501429439557,0.0015459192551182843,0.0010670105002263018
0.75,0.5651591937439067,0.20803852853538612,0.073430036080631,0.03643046670907159,0.0030216344883446317,0.0016811469264690336,0.001232192208992159
0.95,0.5672222659771341,0.21100988434789944,0.07635261879554435,0.04022730787766692,0.0033447288420815,0.0027398665661927746,0.0013469192133908725
0.975,0.5674482136897369,0.21175117223444748,0.07844534197197521,0.04095078658126789,0.003449608656864227,0.002794266214144425,0.0013620686038368684
