,Other,A
0.025,0.8601408182371505,0.0
0.05,0.8609305638417072,0.0
0.25,0.8637681863220572,0.0
0.5,0.8660211859902789,0.0
0.75,0.8679462650615561,0.0
0.95,0.8706370465734111,0.0
0.975,0.8714546041150946,0.0
