,XAE,B.1.1.529,C.37
0.025,0.9042251690496826,0.004067969308427344,0.004942683897130063
0.05,0.9046161177123266,0.004184029606794579,0.005103876275069349
0.25,0.9056845522084971,0.04881537620820924,0.005385764759951093
0.5,0.9064176922927251,0.05025772895721969,0.0056368205568861525
0.75,0.9073388469331407,0.05119056330495914,0.005887674358249553
0.95,0.9517111920100708,0.05214192755224797,0.006178495360478975
0.975,0.9530325550043938,0.05243760627980034,0.006422162944542768
