	freyja/V350082740_L14_94-94_variants.tsv
summarized	[('BA.2* [Omicron (BA.2.X)]', 0.9287256539034183), ('Omicron', 0.00885557300165761)]
lineages	BA.2.56 BA.2 BA.2.23 BA.2.68 B.1.1.529 BA.2.31 BA.2.9.5 BA.2.9.1 BA.2.11 BA.2.40 BA.2.66 BA.2.29 BA.2.52 BA.2.71 BA.2.2.1 BA.2.5 BA.2.8 BA.2.32 BA.2.13.1 BA.2.61 BA.2.55 BA.2.34 BA.2.53 BA.2.33 BA.2.72
abundances	0.55521561 0.20921904 0.11008351 0.02181780 0.00885557 0.00436975 0.00263278 0.00214314 0.00197345 0.00183486 0.00179435 0.00155831 0.00155504 0.00152053 0.00144631 0.00133654 0.00131010 0.00127493 0.00124168 0.00119892 0.00111847 0.00104891 0.00101755 0.00100951 0.00100457
resid	16.06468896591873
coverage	100.0
