,C.26,B.1.1.1,B.1.177,C.13,B.1.274,B.1.177.17,B.1.195,B.1.67,B.1.8,B.1.177.2,B.1.187,B.1.177.72,C.37,B.1.177.75,B.1.76,B.1.1.86,B.1.478,B.1.70,B.1.97,AA.8,B.1.1.217,B.1.1.98,B.1.1.255,B.1.134,B.1.234,B.1.1.507,B.1.524,B.1.1.437,B.1.201,B.1.1.361,D.2,B.1.177.77,B.1.444,B.1.393,B.1.1.420,B.1.483,B.1.1.519,B.1.335,B.1.277,B.1.423,B.58,B.3,B.1.199,B.1.448,B.1.1.109,B.1.128,B.1.557,B.1.254,W.2,B.1.179,B.1.1.312,B.1.1.388,B.1.127,B.1.205,B.1.1.396,B.1.531,B.1.1.120,B.1.177.32,N.7,B.1.1.190,B.1.177.43,C.2,B.1.81,B.1.1.268,B.1.69,B.1.131,B.1.404,B.1.585,B.1.1.408,B.1.1.339,B.1.400.1,B.1.629,B.1.1.29,B.1.639,B.1.600,B.1.594,B.1.564.1,C.2.1,B.1.153,B.1.579,B.1.139,M.3,AP.1,B.1.203,B.1.338,B.1.1.320,B.1.1.338,B.1.1.524,B.1.177.25,B.1.177.33,B.1.188,B.1.550,B.1.1.133,B.1.1.186,B.1.181,B.1.37,A.3,B.1.421,B.1.243.2,B.1.1.327,Z.1
0.025,0.5099905908869169,0.2046150234469552,0.0790475714753927,0.0024435916399516834,0.0019908237744254396,0.001954017175623008,0.0022921840388507135,0.0,0.002261699937272592,0.0019054489075417563,0.0017596376120567756,0.0016317233002436662,0.0,0.001498168780118776,0.0012042237509034535,0.0,0.001180498943031801,0.0005096566545518677,0.0,0.0,0.0,0.0004774178903397249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010502359310370364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.510935345784221,0.20608261768552807,0.0799499656034803,0.002479338900381976,0.0020290394118937082,0.001985778832303103,0.0023501651541764416,0.0,0.002282244190634964,0.001953568919350914,0.001807014479029135,0.0017141015952859974,0.0,0.0015468457995888281,0.0012427214143730708,0.0,0.0011926359600384232,0.0010792993565722077,0.0,0.0,0.0,0.0010393034100689212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001084223114145554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5122990020212319,0.20906395637290762,0.08144710639387086,0.0027291917977136514,0.0022167006798885255,0.0021847391448799754,0.002625915633853528,0.001292355068904657,0.0025621410609395013,0.002170411199276649,0.00197792147966681,0.0018897749292294624,0.0,0.0016635358410505658,0.0013355989334600193,0.0,0.001353262175111326,0.0015428022338160492,0.0,0.0010411504418568046,0.0,0.0011763558658595512,0.0,0.0,0.0,0.0,0.0011077412847708193,0.0,0.0010565984414026266,0.0,0.0,0.001197697464222984,0.0,0.0013967632976277626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5135988743790505,0.211597742005542,0.08234320076251639,0.0028442812088525075,0.002401106769631703,0.0024608570724820675,0.0028007294547150985,0.0015243914187231446,0.0027401406491134933,0.0022952564862201348,0.002089172886691545,0.0020403733509083925,0.0011139811579048715,0.0018030459583686406,0.0014378035376036474,0.0011433651777908813,0.0014308236333171976,0.0017753622406965737,0.0010759058147843809,0.0012765294314574733,0.0,0.0012984698530485866,0.0010890211986160964,0.0,0.0005008928956446172,0.0,0.0011481508199376604,0.0,0.0011560080554241414,0.0010966603796692292,0.0010555122208291935,0.0012848881337427932,0.0,0.0017235669911648223,0.0,0.0010468186995018633,0.0,0.0,0.0,0.0,0.0011239144748890991,0.0,0.0,0.0,0.0010156516014969152,0.0010131965632538581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5149581630129171,0.2143098828384496,0.08327300825337,0.0029924227428921625,0.0025922304435531418,0.0026381104138335164,0.0029773613343941903,0.0017209661161129283,0.0029703031714116285,0.002433816331547039,0.0022004509158650687,0.002175324504578675,0.001312868727292679,0.0019292002080052804,0.0015776596008058308,0.0013022620372053098,0.0015331990961982163,0.002125273238593337,0.0012987924980281981,0.001431222440911538,0.0,0.001388918118463918,0.0012085517154630937,0.0,0.0010956145607674654,0.0,0.0012213241005473489,0.0010094763169808986,0.0012667904603426694,0.0012108996556510086,0.0012360746388711665,0.0013690634531147018,0.0,0.0019613451256377526,0.0010454512040371888,0.0011326260893189883,0.0,0.0011985263051299566,0.0010519477834724392,0.0010391637141020336,0.0011980704116125065,0.0,0.0,0.0,0.001124666498416693,0.0011261847485682951,0.0,0.0,0.0010076328208264123,0.0,0.0,0.001005278539082597,0.0,0.0,0.0,0.0,0.0,0.0010012892235270968,0.0,0.0,0.001132665581373139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5157232759380855,0.22118014202317193,0.08446673383725448,0.0031752456858578893,0.0028503581796818114,0.0030388370084599866,0.003233548376268342,0.0021744399503280127,0.003235910062066817,0.0025873563081026145,0.002427047026788799,0.0024746230079781516,0.0015098812500384524,0.0021050935846686383,0.0016933068253199815,0.0016339126264311244,0.0016257201201182007,0.0023840832549086146,0.0017226114553175731,0.0016248484015004235,0.0011287788557794252,0.0015685075959220196,0.0013491742245555478,0.0010939959245614046,0.0012215925159255467,0.0010896591950647783,0.0012871646602686678,0.0011117104929178473,0.0014399503637100648,0.0013211284317759405,0.0014657947971241665,0.0014358331070904219,0.001065400226017592,0.002140472746498987,0.001115294722864394,0.0013038511894705093,0.0010426121163511976,0.0014889281824775659,0.0011576941914738827,0.0011902435898430385,0.0013098028079549736,0.001271422252001829,0.0010900596132107487,0.0010444097006697092,0.0012373795889902412,0.001268009670047269,0.001150725824207436,0.0011808669699144736,0.001123105236490941,0.0010945894520550665,0.001101000718560655,0.0011002450393459995,0.001097582550896487,0.0011031730359891926,0.0,0.001041585449895643,0.0,0.0010912086821009053,0.0010142541783793894,5.0666976672089326e-05,0.0014578456032156484,5.098070053621825e-05,0.0,0.0010908454150126941,0.0011093000350496417,0.0,0.0,0.0010659032246357239,0.0011375806419371276,0.0,0.0,5.004619629727136e-05,0.0010939522675100645,0.001124749462123614,0.0,0.0010046989590154966,0.0,0.0010004251565891406,0.0010005760947515265,0.001069219462788669,0.0,0.0010205452061883165,0.0,0.0,0.0,0.0010412981653303336,0.0,0.0,0.0,0.0010285197401099253,5.017289331085733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.5161344334431589,0.22147716711977802,0.08459908732379309,0.003220186788119435,0.002887868383713706,0.003282654159631945,0.003338757905931478,0.0023897981956189462,0.003374298537292448,0.0026281859056876957,0.002469151417218762,0.002555138946888266,0.0015888367847174255,0.002135435047405282,0.0017147492095051099,0.0017121194748623326,0.0016556214632109073,0.0024326626715353034,0.0017766345057310662,0.0016607295036922163,0.001197817608125716,0.0016784552090559305,0.0013580772238290092,0.0011219960102103787,0.0012527163628661562,0.0011297310576853248,0.0013072520563563548,0.0011410946047790164,0.0015045252590454377,0.0013462176969155696,0.0016400636966044336,0.001468495673915403,0.0010830490390611176,0.002166560979040098,0.00114064121251101,0.0013299664844894882,0.0010709445396820407,0.0015423643898615582,0.001192727733580388,0.0012209195152373849,0.0013403659270510122,0.0013636245949521489,0.0011215985618272734,0.0010739253736265705,0.0012751699369615858,0.0012956723766906649,0.001358595835442566,0.001246489681974547,0.001213060919427493,0.0011161851639586097,0.0011203204081212388,0.0011048936597311022,0.0011406125967116593,0.0011239040893083693,0.0,0.001043318987067449,0.0,0.001121193206015469,0.001087731423603283,0.001027700538383625,0.0014927543931034261,0.0010373607954085283,0.0005303030300017641,0.0011455075823983067,0.0011310362319439193,0.0,0.0,0.001088484014390377,0.0011942772187131074,0.0010181781510445592,0.00104398348972468,0.0010078007378004899,0.0011825184276033382,0.001237637700935404,0.0,0.0010466008489710453,0.0005388115349120579,0.0010172057003075689,0.00100635417862806,0.0010797009794836225,0.0,0.0010841099555366275,0.0005270461793948063,0.0,0.0,0.0010771657638235957,0.0,0.0,0.0,0.001047741938737981,0.0010109739864416353,0.0,0.0,0.0,0.0,0.0005406449119328992,0.0,0.0,0.0,0.0,0.0
