,Omicron,Lambda,Other
0.025,0.9367423554096621,0.01246235577498255,0.0
0.05,0.9370552451561318,0.012715268602757136,0.0
0.25,0.9384247452823798,0.013117057089850838,0.0
0.5,0.9393288461545072,0.013468888019905612,0.0
0.75,0.9401714248062951,0.013774419020548946,0.0
0.95,0.9412122583785216,0.014114183267885357,0.001118047495308975
0.975,0.9417871082327016,0.014272109359939377,0.0011492626024539499
