,Other,Lambda
0.025,0.8723466583073434,0.0
0.05,0.872543616553706,0.0
0.25,0.8742548620565175,0.0
0.5,0.8761883365884418,0.0
0.75,0.8782980103235177,0.0
0.95,0.8807556112827986,0.0010627224278929514
0.975,0.8811557283907976,0.0010824710663710766
