,BA.1.1.15,BA.1.1.16,B.1.1.529,BA.1.20,C.37,BA.1.9,BA.1.3,BA.1.15.1,BA.1.16.2,BA.1.1.14,BA.1.10,BA.1.1.10,BA.1.1.11,BA.1.17.1,BA.1.1.4,BA.1.21.1,BA.1.5,BA.1.17.2,BA.1.1.18,proposed441,BA.1.14.2,BA.1.1.3,BA.1.1.17,BC.1,BA.1.1.5,BA.1.1.12,BA.1.1.6,BA.1.14.1,BA.1.4,BA.1.8,BA.1.12,BA.1.1.7,V.2
0.025,0.5443240461963733,0.15810810332830827,0.15618922032721524,0.03567579309499935,0.01246235577498255,0.009728500544702829,0.0020517013079465554,0.0,0.0013727969517492566,0.0014385094517445386,0.0012228609051950629,0.0004777248103417334,0.0011045745835963666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5452296495660809,0.15949585233515512,0.15643638086170994,0.035769931556258815,0.012715268602757136,0.00975950785515889,0.0021330496399316824,0.0009648437517889615,0.0014175023458007246,0.001480630692180504,0.0012552969804842387,0.0010364811985551382,0.0011192579332278726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5483944839342221,0.1620340950225523,0.15807677625547034,0.036115424257846244,0.013117057089850838,0.00996636274815498,0.002259944067963174,0.0014088679812418092,0.0015427702348190773,0.001631006126607742,0.0014653091664140086,0.0011541141346274341,0.0011896455921837992,0.0010477728212087455,0.0,0.0010173180144461423,0.0010588804725952783,0.0,0.0010513248399233956,0.0,0.0,0.0010795920454760083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5505545501712612,0.16408132750474805,0.15915232761228393,0.036433861179487464,0.013468888019905612,0.010151393597361627,0.002355706133103745,0.0015798412281814124,0.0016113846244002884,0.0017941647788699078,0.0015780844862995256,0.0012393164835228353,0.0012715494407837136,0.0011607029294867612,0.0010518109829116245,0.0010781384067225048,0.0011762570514448297,0.0,0.0011176037406595714,0.0,0.0010346738290195152,0.0011766671845155259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5529664601062251,0.16572681577847798,0.16039397805273778,0.036699755451038506,0.013774419020548946,0.01030862265109153,0.002446529387597598,0.0017431959967444378,0.0016752692277213325,0.0019301883828698057,0.0017418200826769996,0.0013482122641485582,0.0013356199113011198,0.0012612175842838225,0.0011537837290559595,0.001141852304597315,0.0012563276225370573,0.001010724833108548,0.0011905602077277532,0.0,0.0011060878360702486,0.0012423908954235351,0.0,0.0010767160171354475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5560623710414094,0.16765298668196998,0.16239290085080324,0.03719514230166738,0.014114183267885357,0.010550693309874593,0.002550941051036011,0.0019019140736532103,0.0017489768153280412,0.002109073655218089,0.0019986504823896766,0.0014437575674219744,0.0014154275042015264,0.0015077468719341205,0.0012904324161790222,0.001312726246129711,0.0014124095091323468,0.0010732905594610475,0.001290930674064802,0.001118047495308975,0.0011837985457584443,0.0013235944613925658,0.0,0.0012195800636130975,0.0010288078930023076,0.0010490322697084811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.5565826913135489,0.16837845225236406,0.1627204653377752,0.03730160676928906,0.014272109359939377,0.010657819976284469,0.0025955714873729715,0.0019864847581210834,0.0017604786595375233,0.0021716358635307585,0.0020503809086800354,0.0014658527516110634,0.0014390178325355267,0.0015338419837807602,0.0013052828179121385,0.0013260151228101076,0.0014548284078080176,0.001127223167907492,0.0013013277892343572,0.0011492626024539499,0.0012494935477990962,0.001347211607494524,0.0005371600220896555,0.0012652512544445679,0.0010527634384387254,0.0010839503884919448,0.0010252562896914707,0.0,0.0010165471353635138,0.0010325155726525546,0.0,0.0,0.0
