,BA.2.9,miscBA1BA2Pre4321,XZ,BA.2.23,C.37,XAD,BA.2,BA.2.31,BA.2.68,BA.2.52,BA.2.9.1,BA.2.11,BA.2.2.1,BA.2.9.5,BA.2.57,BA.2.29,BA.2.72,BA.2.71,BA.2.40,BA.2.27,BA.2.8,BA.2.5,BA.2.21,BA.5.6.1,BA.2.66,BA.2.47,BA.2.63,BA.2.33,BA.2.60,BA.2.28,BG.1,BA.2.3.7,BA.2.10.1,BA.2.54,BA.2.13.1,BA.2.16,BA.2.62,BA.2.59,BA.2.53,B.1.203,BA.2.45,BA.2.50,BA.2.41,BA.2.25.1,BA.2.46,BA.2.44,BA.2.36,BA.2.18,BA.5.2.5,BA.2.51,AP.1,BA.2.1,B.1.1.338,BA.2.26,B.1.1.529,N.10,BA.2.37,BA.2.34,BA.2.3.12,Z.1,B.1.1.353,BA.2.24,BA.2.61,BA.2.3.8,BA.2.80,BA.3.1,XL,B.1.524,AH.1,BA.2.22,N.7,BG.3,BA.2.12.2,BA.2.10,BA.2.64,V.2,B.1.1.224,XN,XY,BA.2.3.4,BA.2.79,BA.2.42,BA.2.9.4,B.1.474,BA.2.75,C.37.1,proposed590,A.3,B.1.1.251,BA.2.20,BA.2.19,B.1.1.176,B.1.243.2,B.1.128,B.1.411,AM.3,B.1.348,XAK,B.1.1.147,B.1.603,BA.2.7,BA.2.70,BA.2.48,BA.2.49,B.1.1.396,B.1.629,B.1.177.39,AV.1,BA.2.32
0.025,0.46206243900586463,0.24186930667886397,0.037760966502632956,0.02500357928898899,0.019117462035973736,0.00393342672420393,0.0,0.0036748032863093355,0.003577048017252818,0.002765707141585484,0.002505253167830756,0.002325364992090307,0.002425952730727834,0.002338531164715409,0.0,0.002144864003850004,0.0,0.001867108592390087,0.0,0.0,0.001796845525195379,0.0,0.0015458010837081108,0.0013512755363454454,0.0013453963405264703,0.0015051117789399743,0.0,0.0014722599621499839,0.0012333822682999121,0.0011671960929129706,0.0014181402368879737,0.0,0.0,0.0,0.0011762744546016087,0.0,0.0,0.0010275262138116394,0.0010820139288048986,0.0010800809019703306,0.0,0.0,0.0011089999665396244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004753277580813094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011144742012809637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.462931033469786,0.24242194225104516,0.03851932922073879,0.0254221766875366,0.019278464619222554,0.003989201597457758,0.0,0.003713337822728445,0.0035950092534398357,0.0028118958876406945,0.002539120677414942,0.002367396860766924,0.00244853870384256,0.0023566695098789277,0.0,0.0021582984346839246,0.0009720809952247446,0.0019376803162008838,0.0,0.0011354082686817796,0.0018091938696253168,0.0,0.0016213394828574314,0.0013771984321214272,0.0013768338878157684,0.0015607724215746593,0.001077455389540395,0.0014908920788295438,0.001267714454256479,0.0012116510158650042,0.0014522223756420446,0.0009531772507715522,0.0,0.0,0.00126037343494678,0.0010847048347649754,0.0,0.0010575049659198859,0.001097296897599938,0.0011020498487033618,0.0,0.0009547400617516277,0.001136648739761644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010062003120769963,0.0010853367364199926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011420131572749284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.4663951478695841,0.2455004921566722,0.039748671902714576,0.027581836725390874,0.020009373792440603,0.004202163095839472,0.0,0.0041236603283336965,0.003774636163795986,0.0030234765932941306,0.0027137779604404894,0.002611330295029849,0.002639730360936148,0.0024701326714153113,0.0020120630154806547,0.00229082825938737,0.0011893520885985583,0.0022324161379398974,0.0014697567415081533,0.0012827049894046745,0.0019036942729374756,0.001176547654202314,0.0017127344791070217,0.0015522210442114573,0.001469027472525839,0.0016344069734193004,0.0012302305044481253,0.0016658525250494017,0.00141586831409198,0.0012972599945075115,0.00156624370971745,0.0011414969627531752,0.0011096751493578111,0.0011787672369356348,0.001578110022111081,0.0012357106252627176,0.0012260306254234514,0.0012031775236762403,0.0012227132965242312,0.0012749133366066062,0.0011207605365567378,0.00118662501846837,0.0012590712932173081,0.0012055200479373159,0.001037131360314767,0.0,0.0,0.0,0.0,0.0010284043490548505,0.0011079903324224569,0.0012987499075885187,0.0,0.001053326970541813,0.0013177744892724059,0.0,0.0010256202873948,0.0011127360745920851,0.0011015584089750154,0.0,0.0,0.0013478459087377772,0.0010087989179034514,0.0010166194333739293,0.0,0.0,0.0,0.0010748854264451284,0.0,0.0010055756300194616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.4681416846985973,0.24736573553019892,0.04060139159134955,0.029602648721253635,0.020429934253565922,0.004369969598887963,0.003346348956352244,0.004401809504290926,0.003874892322081473,0.003214614762851951,0.002859249091886032,0.0027731080254950044,0.0028070956148895858,0.002560386448998644,0.0025412966340114616,0.0023773736302423343,0.0014821884219341555,0.002413153509362751,0.0018547531627280441,0.001459404018660046,0.001967320580622712,0.0013562810317058942,0.0018057986603887922,0.0016708000477305938,0.0015485769210083953,0.001704720793139514,0.001355796426192199,0.0017745572904260415,0.0015708397836663441,0.0013967971160745263,0.0016413409823053077,0.001311463736540706,0.0012478945603017584,0.0013026077293124263,0.0017713359672905018,0.0013851726440028953,0.0014057366485292946,0.0012519442299277744,0.0013193423796700986,0.0014000210368559092,0.0013404769710192352,0.0013152594320691364,0.001331106115091363,0.001338986162197356,0.0012488097755853336,0.0011261066044567405,0.0010030326383682793,0.0011032673609941241,0.0010684019702812799,0.001086593653038902,0.0011927419930805258,0.0014415808141676448,0.0010339659875586989,0.0011194585342182255,0.0015324261213565536,0.0,0.0010897951006842996,0.0012177568228590985,0.0011798675361891493,0.0010973208596905038,0.0010467151772096698,0.00151363788029019,0.0010955691254006523,0.001091472670155789,0.0,0.0,0.0010311354492665201,0.0011896477050976728,0.0,0.0010466021514419187,0.0,0.0010985988453053328,0.001027508657440283,0.0010893581349435736,0.001059613773985446,0.0010574625617902373,0.0010228660156361641,0.0,0.0,0.0,0.0,0.0,0.0010490660763265362,0.0,0.001080179108721885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.4694838625127415,0.24938711754808457,0.04191740029118479,0.03140318378547283,0.02082756963827733,0.0045330353627111505,0.0054818135895834345,0.004733820861023511,0.003994413333832475,0.0033671752020175034,0.0030124638150342024,0.0029306786775327555,0.0029540041150444393,0.0026961813635905615,0.0029875428189408736,0.0024871110238232582,0.0017823972473196333,0.0025532499614413255,0.0021783330284353302,0.001662597701838665,0.0020357333786394697,0.0015519689427532176,0.0018890523874814458,0.0017630729530062866,0.0016534385400939805,0.0018291206032153297,0.0014518780654767798,0.0018890823134817113,0.0016335634304713781,0.001494006657803221,0.0016988835819625415,0.0014547852329084617,0.0013840156756936314,0.0014056601813170265,0.0019321266725185163,0.0015353703002781056,0.0016014619507574504,0.0013653343166316902,0.0013970701200646377,0.0015126240029007972,0.0014793200946783213,0.001428745668790018,0.0014306062705695156,0.0015380016203673116,0.0013957731227226089,0.0013539846888535267,0.0011621801874390522,0.0014848929341671239,0.0011596619308121632,0.0011687317160100949,0.0012439640004411506,0.001553359913483362,0.0011178179493675432,0.0011968815036042697,0.001741927359557729,0.0,0.0011512018599770558,0.001341576168015436,0.001318485214371481,0.0012232516288276716,0.001150933510097723,0.0016444502106056336,0.0011877904419996678,0.0011656254218597886,0.0010174889990678254,0.0,0.001170618292070829,0.0012970957407899698,0.0010356190755923403,0.0011107300173100907,0.0010696938150629603,0.0013385356407502528,0.001102244881324683,0.0012919218901823147,0.0011908147724165282,0.0011102972048857777,0.0010634238189385571,0.0010670601517020367,0.0010508917007009126,0.0,0.0010283421926319532,0.0002502365872640862,0.0011344390139971326,0.0,0.001163115219573664,0.0,0.0,0.0,0.0010066220651428425,0.0,0.0010604377095608298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.4734066387132644,0.251115188168637,0.042749315918723226,0.03429391099253524,0.021421965537353278,0.004833166620805883,0.007644045031348441,0.005124568974960765,0.004169636350993197,0.003608088003521975,0.0032529468931138473,0.0030816964582069148,0.0032177403204616123,0.0028392001927619714,0.0037449396112308395,0.0026717296871993828,0.002410137007011881,0.002777367582139659,0.0026646339096659337,0.001953904052293569,0.002121645584818904,0.001874060690796955,0.0020549862394935448,0.0019240260999401758,0.0017387450802650046,0.001952588258281469,0.0016552530446485277,0.0020311873006202564,0.0017901245677920045,0.0016276261075834457,0.0017815046124611126,0.0015879639488817368,0.0016070974335811324,0.0015976964035972429,0.002306868042409566,0.0017778738371338506,0.0019337466466232934,0.0015704283492911767,0.001645574135365212,0.0015747692768411853,0.001919546876968536,0.0015681024504299865,0.0015776905658251052,0.0018126007695317753,0.0016650623347884408,0.0016572674188753596,0.0014594779229995998,0.001865192845849857,0.001262030938443569,0.0012678650724896555,0.001320616449038066,0.0017311256045243232,0.0012142898989582897,0.0012960396708910536,0.002114274066822945,0.001101229997309977,0.0012188103627572995,0.0015061265790107374,0.001551989892398995,0.001364023391659406,0.001291611894962304,0.0018290632176048258,0.001385630151036492,0.0012747525629725213,0.0011634915966097035,0.001033757865687966,0.0013552809899674992,0.0014605319192949565,0.0011111468022540914,0.0011927829169589342,0.0012468006146294365,0.0016042500004955266,0.0011775204760213853,0.0015189296138318055,0.0013883675541403269,0.0012722924015650039,0.0011338044766471009,0.0012199175105876345,0.00121461595942314,0.0010143842929971334,0.0013852684140015954,0.0011604401281939288,0.0012489099804685777,0.0010122676177691725,0.0012515418297998366,0.0011316853366654645,0.001060885179666019,0.001093328420672432,0.0011122627665536883,0.0,0.0011693559929460138,0.0,0.0010746547010352856,0.0010132099963626687,0.0010175955004332689,0.0010413289027276986,0.0010077663495139408,0.0,0.0010261065223059022,0.0011564879486856503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.4747614734422973,0.25177862417500396,0.04314417104563264,0.03448821207591274,0.021590183878631618,0.0049135940776086915,0.008279429588628012,0.005146893742228863,0.0042063847276562595,0.0036918992365495636,0.0033064555689217142,0.0031496146330563146,0.0032578631237113044,0.0028738444269794674,0.003993067952192044,0.002699634564425695,0.002516140672396807,0.0030275776823677322,0.0029586330648042848,0.0019826381471845897,0.0021255228155886512,0.0019065679425484749,0.00211280100830506,0.0019862373586530192,0.0017423765268890284,0.002009140653339521,0.0016794953522527075,0.0020580314675802966,0.0018664894716717815,0.0016751139045673422,0.0018164244353586468,0.0016309235625222226,0.001634313366997438,0.0016445885981897807,0.002362847875003465,0.0018456673274278152,0.0021982821147634927,0.001594822255265559,0.0017208489196792892,0.001619375980918942,0.002046678834439499,0.0016383027692468155,0.0016229417056662983,0.001967714960585633,0.0017298840902007576,0.0016756947932693544,0.001616358290523075,0.0018847437964148877,0.0012722375629925383,0.0012750951853462934,0.0013564269551587075,0.0018464826783001686,0.0012279995532854236,0.0013084093761311058,0.0022433454739845767,0.0011100537635259757,0.0012408673269421345,0.0015333255798835419,0.0017118755944867138,0.0014577866259357065,0.0013149466525995738,0.0018921235173605323,0.001436312834573578,0.0013107161024363816,0.0011910604402888432,0.001106861272009046,0.0013917472850999539,0.0015030542796267644,0.001159463410329687,0.0012059891580944045,0.0013058438340250234,0.0016964596908260168,0.0011852962863201603,0.001565824427334722,0.0014873392829298437,0.0012895841795856268,0.0011821349879309368,0.0012541695497921826,0.001277924792587186,0.0010247463167416852,0.0014425290834360481,0.001204585557725746,0.0012848875802418647,0.0010446147441851236,0.0012856036053877943,0.0011879285836415355,0.001097401902796093,0.0011497671524125749,0.0011506272615088827,0.0,0.0011930230349535868,0.0,0.0011249784263163613,0.001017132134632555,0.0011050874215236658,0.0010661876787184555,0.001033146254463632,0.0011037538038362982,0.0010538358175092746,0.0012621319546949233,0.0,0.0,0.0010030362638249715,0.0010893573861834108,0.0010084428202042054,0.0005284994307384085,0.0,0.0,0.0
