,C.26,B.1.1.1,B.1.177,B.1.177.72,B.1.274,B.1.195,B.1.177.17,B.1.8,B.1.187,B.1.70,B.1.201,B.1.478,B.1.254,B.1.177.43,B.1.177.75,C.2,AA.8,B.1.76,B.1.1.109,B.1.97,B.1.199,B.3,B.1.639,B.1.1.29,B.1.177.77,B.1.1.98,B.1.393,B.1.483,B.1.23,B.1.177.32,B.1.350.1,W.2,B.1.1.133,B.1.67,B.1.444,B.1.524,B.1.330,B.1.69,B.1.81,B.1.1.86,B.1.205,B.1.1.361,B.1.128,B.58,B.1.1.251,A.3,B.1.134,B.1.557,B.1.579,B.1.585,B.1.181,B.1.1.217,B.1.1.145,B.1.177.33,B.1.177.25,B.1.600,B.1.1.312,B.1.131,B.1.139,N.7,B.1.188,B.1.142,B.1.474,D.2,B.1.179,M.3,B.1.564.1,B.1.273,B.1.1.255,C.2.1,B.1.550
0.025,0.5151681043938761,0.2078984855630457,0.09385820398796922,0.002949211412423633,0.002336649266749614,0.0021411258252281356,0.0019377411041264928,0.002042388983011641,0.0014956948779973093,0.0,0.001057936461595059,0.0013455371994558016,0.0010155475772053923,0.0,0.0010348256555773579,0.0,0.0004863088913086034,0.0011977360909880704,0.0010356123435101932,0.0010073607572655561,0.001024030406347887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5153875076012137,0.20870983502080595,0.09422319071511706,0.0030503612981824953,0.0023945972896184417,0.0021745814632674193,0.0019674862323345223,0.002082950483598502,0.0015678144337091182,0.0,0.0011053879950547667,0.0013821345873654529,0.0010556510740857502,0.0,0.0010599377943728292,0.0,0.0010317532131704108,0.001219506555662444,0.0010412603237883473,0.00101869518605473,0.0010864990789629114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5167024090850884,0.21039123644359609,0.09538257780709372,0.0033341473006965414,0.0025602205839795576,0.0023263883248530325,0.002171374825757179,0.0022322888950244988,0.0017804524970153088,0.0011624141124147785,0.0012669999821071885,0.0014947285897179664,0.0011936171104651127,0.0,0.0011424908789094347,0.0,0.0012026237029527493,0.0013174698456842717,0.0011174372730205352,0.0011384194372061655,0.001195689085255508,0.0,0.0010498664645496787,0.0,0.0010663902278394222,0.0,0.001045121148561399,0.001030633061813349,0.0,0.0010377260964219324,0.0,0.0,0.0,0.0010287499355759403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010069949416702062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.517378411692472,0.21159704172696678,0.09603845264198593,0.00352502615390633,0.0026482992727806117,0.0024498831244379442,0.0022724826371299254,0.002385552649872927,0.0019832184611048437,0.0013406603950831075,0.001327895619173894,0.001561595990030205,0.0012942865411848426,0.0,0.0011986559959012108,0.00100264150672856,0.0012849656587411344,0.0013705920766674904,0.0011852484118665455,0.0012709153490931399,0.0012598563133943074,0.0010855318295219549,0.0011527849580000174,0.0,0.0011176431184218914,0.001016389420752499,0.0011120999131608602,0.0011031849079413988,0.0,0.0010913138914607366,0.0,0.0,0.0,0.0011796807873953746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010397226790173737,0.001041621165826972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5181195456764923,0.2128235297622672,0.09683983399827019,0.003747571185093347,0.002770612095821263,0.0025784286103388617,0.002458326348944741,0.0024715673716465304,0.0020902511863445457,0.0015086760294494327,0.0014032338549279943,0.0016323907931898843,0.001395281287973572,0.0011167194857731088,0.0012489201252483832,0.0011945857308256727,0.0013743277870413545,0.0014286210746336514,0.001242134274950017,0.001371319318723362,0.001338332068168086,0.0011862133339076721,0.0012146083132676994,0.0,0.001181992014396109,0.0011780579314642002,0.0011578436134145262,0.0011771860834360213,0.0010356051910593261,0.001142261465455755,0.0,0.0,0.0,0.0013528440568743995,0.0,0.0010163365158978163,0.0,0.0,0.0,0.0010088961156895545,0.001018850765897097,0.0,0.001107825604199601,0.0010850060264789487,0.0010040648859165155,0.001042322070914145,0.0010088695229921504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5191564777336611,0.2151656367502267,0.09786641677046413,0.003947284491093368,0.0029757886087767586,0.002739860349526676,0.0026021942281338486,0.0026447319322732235,0.0022691309132791123,0.0016800654893655562,0.0014908039853209585,0.001690570466587887,0.0014526071088444188,0.0013328652912072117,0.0013517575174975833,0.0014538777043112373,0.001487538474810325,0.0015362172261341462,0.0013124155698288622,0.0015186565215424145,0.001437036150423363,0.0013079364540220834,0.0013496533472807314,0.001083928899270105,0.0012514799423426852,0.0013333470788587387,0.0012222611427296045,0.0012963730920155297,0.0011114887666479095,0.0012055542975245536,0.0010521842728173957,0.0010628715141809424,0.0010087445149857238,0.0017975584647664492,0.001037981020975141,0.0010853210723812288,0.0,0.0010485333482156405,0.0010753749654666869,0.0011712120044473568,0.0011411660627425198,0.0010861239545224147,0.001170729892489825,0.0011555397978846571,0.0010782515605402257,0.0011310702910642576,0.0010690138234419882,0.0,0.001028997664572515,0.0010216962620946744,0.0010773251317666673,0.0010046273654672419,0.0010232850638458384,0.0,0.0,0.0010054777905435296,0.0010308402066434984,0.0,0.0,0.0,0.0,0.0,0.0,0.001013586922526574,0.0,0.0010175434746882682,0.0,0.0,0.0,0.0,0.0
0.975,0.5194897319579724,0.2158087405706522,0.09820161573643828,0.004025358773432873,0.0030210388392995224,0.002807766697568028,0.002638255658643289,0.00266608029322299,0.0022849100526483646,0.0017519234793126647,0.0015302790488481274,0.0017345642135429137,0.0014744259449257448,0.0013682940750527441,0.0013616775698364592,0.0015413091152783475,0.0015329371038134215,0.0015753806132170719,0.0013180709824564588,0.00159533230526237,0.001457504236411037,0.0013275870382923939,0.0013732437856477989,0.0011332186384821951,0.0012772480384246028,0.001372369519543181,0.0012570483668013005,0.0013256955007803428,0.0011322185147599505,0.001223364721243893,0.001126072048945747,0.0010916189518208291,0.0010532354817794668,0.0018816494195694436,0.0010645552227057623,0.0011079908816019415,0.0,0.0010607548681992407,0.0012176415890862717,0.001197913430644617,0.0011577478735391778,0.001093954919277073,0.0012142096951005472,0.0011706597984296422,0.0010974514583248164,0.0011439854464421356,0.0010987739214089528,0.0005489655927664706,0.0010427366250503251,0.0010476315713751018,0.001123739144770977,0.0010276391357102706,0.0010512509165864577,0.0005655665458917695,0.0,0.001061856994095864,0.001072055385036436,0.0005329949238344627,0.0,0.0010241002571433793,0.0005277044850516008,0.0,0.0,0.0010550879172739722,0.0010124051980835243,0.0010719483443118363,0.0,0.0,0.0,0.0,0.0
