,BA.2.56,BA.2.23,BA.2,BA.2.68,BA.2.31,BA.2.9.1,BA.2.52,BA.2.11,BA.2.29,BA.2.9.5,BA.2.71,C.37,BA.2.27,BA.2.13.1,BA.2.59,BA.2.21,BA.2.5,BA.2.8,BA.2.40,BA.2.25.1,BA.2.43,BA.2.2.1,BA.2.53,BA.2.60,BA.2.46,BG.1,BA.2.10.1,BA.2.7,BA.2.62,BA.2.42,BA.2.72,BA.2.45,BA.2.34,B.1.128,BA.2.26,XAK,XAA,BA.2.48,BA.2.57,BG.3,BA.2.41,BA.2.33,BA.2.65,BA.2.22,BA.2.18,BA.2.63,BA.2.44,BA.2.50,BA.2.1,BA.2.51,BA.2.28,XL,BA.2.3.7,BA.2.54,BA.2.66,BA.2.24,BA.2.79,BA.2.64,BA.2.55,BA.2.70,BA.2.80,BA.2.3.8,BA.2.10,BA.2.73
0.025,0.3739453655964552,0.2543688608295698,0.2365501749477705,0.0027520325838181385,0.002292149920400718,0.002451522144364577,0.002087935005404803,0.001972444126307878,0.0021326965442542375,0.002045424099674762,0.0017277591043662291,0.0016947444409165242,0.0012691557285192314,0.001566361195578462,0.001736300891338069,0.0014949763303522682,0.0,0.0014507490490117032,0.0,0.0,0.0012946798061039566,0.0012068306851135161,0.0011136591866001233,0.0010450035809454685,0.0,0.0,0.0,0.00048745443679696157,0.0,0.0,0.0,0.0,0.001091406859670644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.37451569744751406,0.25470428398403727,0.2369844076109407,0.002767188935756638,0.00231654668848914,0.0024763875541523143,0.0021227257404224306,0.002061379467849356,0.0021438706316510773,0.002070244103126895,0.0017892057059545616,0.0018018888978618495,0.001305918378312013,0.0015983253852382088,0.0017481552729632097,0.0015239121754710707,0.0,0.0014913213682177043,0.0,0.0,0.001318173629515529,0.0012317290983067605,0.0011224577356950328,0.0010693428920975346,0.0,0.0,0.0,0.0010387816124234285,0.0,0.0,0.0,0.0,0.0011089657106738645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.37751839503192597,0.25591900517911853,0.23909397453188264,0.002937151517892441,0.0026390859328157515,0.002645594466069925,0.0023365078391509257,0.002207994328258962,0.0022782040683678624,0.0021927424930891946,0.0019502108638880036,0.0020186397259477446,0.001470177377244634,0.0018269164573189009,0.0018437059838899352,0.001626971042373354,0.0010142853395809551,0.001567387578433087,0.0010148437412463448,0.0010371071793388502,0.001441327567367002,0.001311296049633745,0.0012203934411207287,0.0011722390315249418,0.0011056268863090424,0.0010631622477371419,0.0,0.0012118711650655604,0.0,0.0010636188588787952,0.0011136375108867988,0.0,0.0011877805987792471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.3802443603367558,0.25706863499739313,0.24067996631245722,0.003026732653112586,0.0027987473130680557,0.0027436485160403142,0.0024681596723311796,0.002293651996694666,0.0023632600168358936,0.0022868966625785676,0.002053983453803524,0.002123206348052806,0.0015811759257640411,0.0019421090166288311,0.0018918657708041247,0.0016943522612893522,0.0011347439706047217,0.0016014791127029683,0.0012159058028755334,0.0011954323996507268,0.0015373875996053253,0.001361398444502014,0.0013086891434953292,0.0012473538819296295,0.0012553062435017898,0.0011130221330625635,0.001062059546375449,0.0013205763809667464,0.0014129089862613604,0.0011213934212696737,0.0012223128156763994,0.0010647860432697444,0.001257326505755648,0.0,0.0,0.0,0.0,0.0,0.0011679400481712657,0.0,0.0010277669569789937,0.0010510999988763863,0.0,0.0,0.0,0.0,0.0,0.0010005718467833201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.38218755473357613,0.2581143035565453,0.24219416647038133,0.003118127121206436,0.002996109176393864,0.002878347788921331,0.0026093239722344524,0.002388439319454286,0.0024462593716384155,0.002381987049899163,0.0022327188980717327,0.00225093135252148,0.0017013971126378568,0.0020177110783820753,0.0019533959983755083,0.0017592448874975746,0.0013192062093284039,0.0016594785316979591,0.001443602911435536,0.0013483907413168693,0.0016538908599698456,0.0014212366063249071,0.0014015532250440798,0.001321115432143964,0.0013433094493347298,0.0011902121383203905,0.0011369611205309259,0.001448277907784572,0.001790243287998967,0.0012043758492149858,0.0013107372860575845,0.0011514946897476152,0.0013484715902345905,0.0,0.001042839837877983,0.0,0.0010526900822977704,0.0010144646488251927,0.0013077520729876191,0.0,0.001117552603946893,0.0011637994582242785,0.0010732268911330584,0.0010008865623161918,0.0011054056239485977,0.0,0.0010148134753507475,0.0011332513234086617,0.0011018000599619347,0.0,0.0010234705446055675,0.0,0.0010719882753936476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.38545301385017605,0.26002592857885154,0.24419081659029682,0.003214367954745597,0.0032140545255739924,0.0030317145897665377,0.002842687444126597,0.0025397497066770506,0.0025965244957418363,0.002538483199501834,0.002451570083202809,0.0023805844007400725,0.0018537956311977643,0.0022127610536961076,0.0020287716423587447,0.0018973015179405072,0.0015377494088562908,0.0017142057602543175,0.0017012418710298978,0.0014835216904242525,0.001785535274951803,0.0014986324480392927,0.0014946677840937744,0.0014134572877434915,0.001531296601560203,0.0012736648790007369,0.0012378545725680577,0.0016244906244956665,0.00240434030167323,0.0012716880689910388,0.0014653196517399687,0.0012992889383767736,0.0014637512551331608,0.0010735522753726686,0.0011275243815652004,0.0010071765703569557,0.0012316802787305737,0.0010812075263049428,0.0017546833851301426,0.0012101061502706705,0.001270914851839431,0.0013365066755843286,0.0012760426732064505,0.0010939272223485328,0.0012835887382451091,0.0011091155303350544,0.001213967276520884,0.0012304888949706497,0.0012698800294719144,0.001048007231380689,0.0010895020975040558,0.0010903209360439022,0.0012284587176349295,0.0010495267223128537,0.0010718366656366747,0.001057922512885011,0.0012170559059480417,0.0011000968156378054,5.1558739190633525e-05,5.0266119831507736e-05,0.0,0.0,0.0,0.0
0.975,0.38635628901558366,0.2602441907898305,0.2448560921306294,0.0032884136226484935,0.003232077346143256,0.0030613237187708223,0.0029680493628024243,0.002581446770779425,0.0026109140464322974,0.00257307890501987,0.002532478597781732,0.0023932421717846983,0.0019093820334863574,0.0023183205003088495,0.002038858126456771,0.0019125369290624134,0.0015530062398993905,0.0017289492239079562,0.0018041448812455483,0.0015448396387392634,0.0018306151020797095,0.0015294984859472109,0.0015136175768214332,0.0014371033880350304,0.0016271428013904395,0.001315026922226063,0.001290759558207344,0.001724271798237579,0.002691619125712643,0.0013592336099897129,0.001489118578944846,0.001329881424281568,0.0015235165563183108,0.0011138638321175392,0.0011373898344625628,0.001030151596613528,0.0012788950907228272,0.0011277937468499473,0.0018657753634334355,0.0012833343547317664,0.001279956698203111,0.0013720089478308811,0.0013161008234251377,0.0011130732866330676,0.001328878468455415,0.0011735389536897938,0.0013173250337930886,0.0012606449549985841,0.0013146975253831448,0.001064338865003763,0.0011232038200585156,0.0011593255760508328,0.0012538534803982846,0.0010639393228222278,0.0010993064103361058,0.0011483940236052107,0.0012515089418972938,0.0011410243943944314,0.0011311651822828593,0.001022787247203249,0.0,0.0,0.0,0.0
