,P.1.1,P.1,B.1.177,P.1.12,B.1.478,B.1.177.72,B.1.187,B.1.70,B.1.177.17,P.1.13,B.1.177.4,B.1.177.75,B.1.177.2,P.1.15,P.1.7.1,P.1.14,P.1.16,B.1.254,B.1.273,B.1.177.43,W.2,B.1.23,P.1.10,AA.8,Z.1
0.025,0.6504823291399168,0.1891312753831042,0.014780064399958943,0.012670120014312364,0.011377413848451054,0.007556348935463683,0.002013763178923058,0.0,0.0014451698002168358,0.001029163324653536,0.0,0.0010701355524480468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.651314972293842,0.18963398994794453,0.015239628952918366,0.012993236026440964,0.011629508783269139,0.007758589116187067,0.0021570186029880594,0.0,0.0014649547731355322,0.0011254602912238168,0.0,0.0010768100542418336,0.0,0.0011128153123906353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.654814864398608,0.19250895995815281,0.01731807971575369,0.013571415602260696,0.0120405997802166,0.00815363507799514,0.002550475164967555,0.001223618430947397,0.001675543980820209,0.0016387088272231678,0.0,0.0011927734301678972,0.0012106648449860867,0.0013851307435026312,0.0,0.000751051472044683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.6574364140989224,0.19557991005515196,0.01835024497544383,0.013926835450734181,0.01235658035629661,0.008528266096125947,0.002762415527891417,0.0015425737112898402,0.0018549297141912662,0.0020881966758156865,0.001105484658313896,0.001280561927600499,0.0013964325307305888,0.0017666731516820958,0.0,0.001094371008525202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.660852529631703,0.19922559315436608,0.01961021230344419,0.014230330214540272,0.012530616900670933,0.008853828673403038,0.003062304033220168,0.0017835661165200687,0.0020403444035097655,0.0024726857177938093,0.0012585596457484031,0.001347392826217381,0.0017207251326827255,0.0020458448765929183,0.0,0.0011755846414073425,0.0010199517160145233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.6629690721382424,0.20236561843502907,0.021791790114385885,0.014593807699293523,0.012874514728570279,0.00964842107485871,0.003515662939313137,0.002056762606513354,0.0022152599109235773,0.0031847784481909298,0.0014128504389941,0.0014549893026091479,0.0019650383896864616,0.002407373329129074,0.0011576883026513404,0.001300943690638259,0.0011417676753102625,0.0011197001872313402,0.0010458778204606378,5.461950273265774e-05,0.0010309344908763394,0.0,0.0,0.0,0.0
0.975,0.6642534282761922,0.20317537474219655,0.022438748477637497,0.014796892633227263,0.013028063914334566,0.009669732613074548,0.0037633901647337897,0.002193647982559007,0.0022807921011329356,0.003597240827134857,0.0014322948471822033,0.0015108970796876087,0.002003696290843846,0.002518228032332045,0.0011799808936022735,0.0013214151845690946,0.0011772066668116201,0.0011847280362940916,0.0010908333981519682,0.0011207534525610248,0.001089780436039814,0.0,0.0010426053155170297,0.0,0.0
